"Team","iCF.60_mean","ixGF.60_mean","ZSR_mean","CF..QoT_mean","CF..QoC_mean","iCF.60_sd","ixGF.60_sd","ZSR_sd","CF..QoT_sd","CF..QoC_sd","iCF.60_min","ixGF.60_min","ZSR_min","CF..QoT_min","CF..QoC_min","iCF.60_max","ixGF.60_max","ZSR_max","CF..QoT_max","CF..QoC_max"
"EDM",9.60558823529412,0.397058823529412,48.8129411764706,46.7891176470588,49.9067647058824,4.86246987444214,0.311034728761185,10.4132056396388,0.851869130819271,0.96399019417946,0,0,0,44.86,47.79,21.74,1.08,63.64,48.95,53.94
"FLA",10.3445945945946,0.377027027027027,50.8867567567568,48.9197297297297,49.3513513513514,4.35000740394938,0.261181767962306,14.2255474516906,0.858064639129783,1.03377722229954,0,0,0,46.97,44.31,18.14,0.98,100,51.1,50.37
"L.A",11.8603703703704,0.471851851851852,51.4855555555556,53.3537037037037,49.6803703703704,2.83736128970547,0.227055347997203,4.76316905926921,1.13316150029684,0.347247212775894,5.89,0.07,43.22,50.23,48.97,17.43,0.86,65.31,55.54,50.27
"MIN",9.32840909090909,0.357727272727273,45.4086363636364,44.9206818181818,49.9695454545455,3.76169737985259,0.2565138704837,8.82497897511405,1.42298474019384,0.879550505036005,0,0,26.92,42,46.89,17.07,0.85,72.73,48.93,52.04
"MTL",9.94,0.358125,49.5296875,47.6034375,49.8215625,3.97335074326849,0.237682866781117,7.42332439412989,0.837082527148945,0.607921415629228,2.51,0.07,38.41,45.59,47.81,19.24,0.88,75,49.8,50.92
"N.J",9.12,0.426388888888889,52.8813888888889,49.4788888888889,49.8822222222222,3.98007609403209,0.572204522765257,9.48830231774978,1.78801530478873,0.647064188077244,3.71,0.03,40,42.71,48.47,22.6,3.45,100,52.69,52.3
"NSH",9.14314285714286,0.403428571428571,49.2834285714286,46.3502857142857,50.2157142857143,3.42714404461222,0.268338491868922,10.7863295678474,1.41205833431052,0.990496861990711,0,0,32.88,43.15,48.6,17.76,1.22,100,49.18,53.27
"NYI",9.94451612903226,0.423225806451613,48.4612903225806,47.2977419354839,49.8896774193548,3.36878102455441,0.276964343033229,9.57940037856771,1.14630336205102,0.667000669019993,0,0,20,44.65,47.28,15.48,1.1,75,49.02,52
"NYR",9.59166666666667,0.442,50.3383333333333,47.617,49.6606666666667,4.25248899395144,0.307855765601025,12.7127847903768,1.26394606497762,0.8607852603105,3.86,0.08,28.73,45.09,46.39,21,1.05,100,52.23,50.86
"OTT",11.5638709677419,0.421290322580645,56.0945161290323,52.2132258064516,49.4861290322581,4.10055173313653,0.270847336279854,10.7380506731001,1.21058494703118,0.611122886820399,0,0,44.16,48.6,47.6,17.57,0.9,100,54.68,51.61
"PHI",10.7029032258065,0.473225806451613,51.21,49.5103225806452,49.771935483871,3.42649596872022,0.311591475030733,6.38252092306272,0.879122607569493,0.398333355828496,3.78,0.08,39.82,47.47,48.71,17.83,1.02,68.18,51.11,50.69
"PIT",10.57125,0.4290625,55.4503125,53.5403125,49.539375,4.70220041147519,0.286247798977311,8.08097905453533,1.46746541284734,0.46720125869804,0,0,33.33,48.3,48.32,22.11,0.96,70.97,55.35,50.33
"S.J",11.7677777777778,0.503333333333333,51.152962962963,51.2748148148148,49.7751851851852,2.96556951766479,0.262590643690605,4.943881078056,1.09768066804643,0.449438712946667,5.97,0.1,41.9,49.02,48.84,17.19,0.98,62.41,53.83,50.61
"STL",10.5236666666667,0.473333333333333,53.9753333333333,51.9093333333333,49.7623333333333,3.76529568682134,0.306732876410835,8.97116520065656,1.29112069291688,0.515743075125813,4.98,0.09,40,47.35,48.48,20.67,1.36,84.62,53.81,51.16
"T.B",10.7708571428571,0.447142857142857,45.4025714285714,47.7762857142857,49.7074285714286,4.24048580140681,0.284414480360363,9.90110728889545,1.07586924012574,0.400619688050627,5.28,0.1,30.23,46.21,48.17,25.15,1.14,70.95,50.73,50.26
"TOR",10.0820689655172,0.44551724137931,47.5748275862069,48.4968965517241,49.8358620689655,3.75113923581923,0.283606697066007,7.8533185072525,1.00359746999153,0.300778955872192,2.28,0.05,23.08,45.53,49.27,18.12,1.18,63.1,50.5,50.36
"VAN",10.6909090909091,0.398484848484848,45.6254545454545,50.8687878787879,49.560303030303,3.82767991382865,0.257319368831337,16.1996753615059,1.55064655381182,0.691368592216214,0,0,12.94,48.07,48.02,17.73,0.93,80.27,53.55,52.3
"WPG",10.9082857142857,0.453714285714286,53.9971428571429,49.7194285714286,49.4214285714286,3.64486382035153,0.345254260222348,10.1597526519881,1.08649989268601,0.625465205018694,4.15,0.07,28.25,46.5,47.83,21.14,1.61,77.78,51.55,50.96
"WSH",9.94777777777778,0.373333333333333,45.2277777777778,48.1674074074074,49.7174074074074,4.19534571174124,0.255824459045952,11.5973585630964,0.676885358959542,0.656649962909596,0,0,0,46.76,48,21.26,0.87,55.23,49.58,52.25
