CF_max,CF_mean,CF_sd,CF% QoC_max,CF% QoC_mean,CF% QoC_sd,CF% QoT_max,CF% QoT_mean,CF% QoT_sd,GS_max,GS_mean,GS_sd,GS/60_max,GS/60_mean,GS/60_sd,iCF/60_max,iCF/60_mean,iCF/60_sd,ixGF/60_max,ixGF/60_mean,ixGF/60_sd,P1_max,P1_mean,P1_sd,P1/60_max,P1/60_mean,P1/60_sd,Rel CF%_max,Rel CF%_mean,Rel CF%_sd,TOI% QoC_max,TOI% QoC_mean,TOI% QoC_sd,TOI% QoT_max,TOI% QoT_mean,TOI% QoT_sd,ZSR_max,ZSR_mean,ZSR_sd
-282,-110.76091954022979,-3.7782629469252242,0.6700000000000017,0.47544827586207106,0.2485076575361964,-5.309999999999995,-3.287229885057471,-1.3940222634446537,-15.600000000000009,-9.149804597701152,-4.123493674109188,-12.399999999999999,-1.237103448275862,-1.5309024295885323,0.9800000000000004,-0.8272413793103439,1.0467339920273977,0.020000000000000018,-0.027632183908046004,0.050838888166504004,-4,-1.5804597701149419,0.5230346500251581,-9.27,-0.2667586206896553,-1.5524257358286684,-26.85,-3.913402298850575,-3.483451685267074,0.41000000000000014,0.0572298850574704,-0.023075428641518125,0.5700000000000003,-0.2604827586206895,-0.1656378943395196,-10.819999999999993,-5.693954022988507,-5.888506048756317
299,92.62068965517233,28.322245459582632,2.5700000000000003,0.04862068965517352,0.08589643684708481,5.259999999999998,4.448620689655172,1.2837677193636254,32.7,11.092758620689658,7.508755555432527,12.28,1.2286206896551723,1.8127372703157363,-5.25,0.12655172413793103,-0.9550065358504485,0.1399999999999999,0.0065517241379310365,-0.028781329404200695,17,3.137931034482758,2.9153155693693735,13.18,0.6241379310344828,2.1161588330844494,3.4100000000000037,1.4989655172413796,2.2196230095051765,0.23000000000000043,-0.05551724137930947,0.18171783831287436,0.3100000000000023,0.2044827586206921,0.2028877537380127,-11.040000000000006,2.648620689655175,4.624352280356371
60,60.96875,36.19270562008455,0.5,0.09093749999999545,-0.16018872899866765,2.460000000000001,2.2337500000000006,0.2528625992440935,26.840000000000003,2.1721875000000015,2.8742398416997794,0.6799999999999997,0.44999999999999996,-0.4149320976189741,4.6199999999999974,-0.5228124999999988,1.524989236425705,0.020000000000000018,-0.11218749999999994,-0.022776417162971074,11,0.0625,0.5407935077660699,0.18999999999999995,0.02375000000000005,-0.023470790547452824,2.5,0.4665625,0.49972240734600515,-0.1999999999999993,0.15781250000000213,-0.16591264774856973,0.18999999999999773,0.20968749999999758,-0.01431578582932147,-3.1099999999999994,-3.3031249999999943,1.9910096800409764
228,57.14942528735628,74.01045871172369,-0.8599999999999994,-0.16347381864623145,0.17589881921796252,0.5799999999999983,-0.8967816091954006,0.39764952851420254,8.370000000000005,0.7192337164750953,3.5109572690011497,0.21999999999999975,-0.27586206896551735,0.36730595384406584,3.6900000000000013,-0.41434227330779017,0.5668904189224451,0.15999999999999992,-0.018837803320561952,0.05155173662399498,8,1.4802043422733089,2.8821372536758325,0.020000000000000018,0.008250319284802021,0.06972574076485438,0,-1.771021711366539,2.519730147635662,-0.5799999999999983,-0.21347381864623216,0.1459761034627885,1.3099999999999987,0.36690932311621793,0.6335530390611281,-27.200000000000003,-8.234699872286079,-0.17922559128035687
255,125.96443965517244,33.13445156528229,1.269999999999996,0.16276939655172384,0.1956574204992545,-0.5700000000000003,-0.2971551724137882,-0.13419008925106657,2.1199999999999974,7.428480603448273,2.6894591813817605,0.04999999999999982,0.25058189655172414,-0.08567299636605563,-2.34,0.21969827586206847,-1.1022049094412316,-0.13,0.03229525862068966,-0.01793084422009142,7,4.754310344827585,1.9975290135266714,0.039999999999999813,0.19832974137931025,0.03508518322924159,-3.549999999999999,-0.3835237068965518,-0.8567907819170957,-0.09000000000000341,-0.12283405172413708,0.12661285116515053,-0.25,0.5510021551724158,-0.23687138587923795,-3.8500000000000014,-1.6261422413793056,-1.064426216113858
80,-90.75714285714287,-3.6065098982844574,0.4099999999999966,-0.01950000000000074,0.03753564619955857,2.75,1.7991428571428614,0.5585488008289069,-15.61,-2.689857142857143,-2.3267028904386926,1.8199999999999994,0.39057142857142857,-1.0848159127229373,1.6600000000000001,0.09242857142857197,-0.5797108324455138,0.22999999999999987,0.01471428571428568,-0.005783251698901759,-11,-1.742857142857142,-2.707985634337115,0.48,0.1072142857142857,0.0602706951676143,-0.03000000000000025,-0.5240714285714285,0.3629644643034231,0.5,0.09928571428571331,0.058445366687433165,1.0300000000000011,0.5899285714285725,0.24078823076211764,-12.5,4.687571428571431,-8.408383008326236
-242,-105.82179054054052,-12.175712148028822,-1.5600000000000023,-0.5235135135135138,0.019011717471074552,1.3100000000000023,-0.932888513513511,1.323690554670838,3.5799999999999983,-3.516393581081079,1.944556449258993,2.8699999999999997,0.03535472972972964,0.6187029082586233,7.27,0.7768074324324328,0.1600807957929442,0.3500000000000001,0.01958614864864866,0.03805622923354046,4,-1.3589527027027035,0.6607067411974086,0.9500000000000002,0.14798986486486487,0.18947630692362272,14.129999999999999,1.6668243243243244,-1.3357412035070038,0.030000000000001137,-0.08424831081081052,0.03436628759428273,0.6499999999999986,-0.45461148648648475,0.16195735180577797,0,-5.5998226351351335,-2.8762412835254167
64,77.27586206896547,29.38815179307329,-0.36000000000000654,-0.16827586206896683,0.09497923185189483,1.3599999999999994,1.369310344827582,-0.06603768739769622,-1.3299999999999983,3.698275862068968,1.432156716331587,-0.9700000000000002,0.006896551724137945,0.13562638927989656,0.41000000000000014,0.4475862068965508,0.07161377341461073,0.17000000000000004,0.04551724137931029,0.06321842485668211,-6,-0.068965517241379,0.12347177668372389,-0.31000000000000005,-0.11344827586206896,-0.0551967579334357,0.71,-1.6475862068965519,2.1868778293835556,0.26000000000000156,-0.1344827586206918,0.0484468364946159,-0.8500000000000014,-0.44344827586207103,-0.25241097703588844,-14.149999999999999,-1.4210344827586212,-0.042621675189892017
-220,57.482051282051316,-19.537798305676233,-0.9699999999999989,-0.17123076923076752,-0.19259905623827966,2.789999999999999,3.2007948717948693,0.052367230544699384,8.739999999999995,5.074384615384616,0.6856043143261346,2.03,0.8593333333333333,-0.3297034527743128,1,2.247871794871795,-0.05018795089468586,0.12,0.10476923076923073,0.027305746028025324,2,1.26923076923077,0.8656992302793753,1.7200000000000002,0.27205128205128215,0.21640381016012422,5.06,1.2682820512820514,-0.9132548671013687,0.5899999999999999,0.004692307692305775,0.17881102236711466,0.17999999999999972,-0.19907692307692315,0.3264227893364071,-14.130000000000003,2.5180512820512817,-4.282107922034986
-25,5.810661764705856,-23.75824335955207,0.3500000000000014,0.11218749999999744,-0.21827844111794226,0.05000000000000426,-3.843658088235287,1.3968640691490193,6.310000000000002,-6.4390624999999995,1.7735497571801364,-0.33000000000000007,-0.7245404411764707,0.02780191561219114,-6.669999999999998,-0.8612867647058824,-0.9189595532997306,-0.32999999999999996,-0.07648897058823534,-0.053747627756701916,16,-0.805147058823529,2.8879379734944326,-0.26,-0.20994485294117649,-0.06667937812290048,-4.74,0.8621691176470587,-2.82189721643992,1.2799999999999976,0.1014705882352942,-0.05381612012802006,2.4400000000000013,-0.24619485294117283,0.9083895271102871,33.33,6.328676470588235,-1.3200187783202146
