result_factor,past_series_game_count,q1_record,q2_record,q3_record,q4_record,sd_record,player_points,weighted_goalie_save_percentage,weighted_GPS,H2H
L,0,0,-0.19999999999999996,0,0.27272727272727276,-0.006702119894975267,-1.3170731707317076,0.014108191080794308,1.3061441638671232,0.375
L,0,-0.04999999999999993,0,0.14999999999999997,0.13636363636363635,-0.018146388685929438,0.5853658536585362,0.004126814715065152,-2.468313903108081,1
W,-2,-0.19999999999999996,0.29999999999999993,0.14999999999999997,0,-0.01596773026524964,1.1219512195121961,0.00494930403427063,-4.152713312966361,0.375
W,0,0.1499999999999999,0.25,0.14999999999999997,-0.045454545454545414,-0.05327810417417392,0.7926829268292694,0.0011969330104923959,-1.6945924132364798,1
L,1,0.10000000000000003,-0.1499999999999999,-0.14999999999999997,0.3636363636363637,0.0014862675459693941,-0.6707317073170733,8.295282395661685e-4,2.550527893475823,0.5
W,0,-0.19999999999999996,0.24999999999999994,0.14999999999999997,0.045454545454545525,-0.008046689383916644,0.20731707317073234,0.002655249206667043,-4.417388797950757,0.375
W,0,0.24999999999999994,0.050000000000000044,0,0.1363636363636364,-0.06038942562100674,0.5853658536585371,8.340718435547734e-4,-2.3921553295058837,0.75
W,-1,0.29999999999999993,0.050000000000000044,0,0,-0.05359330385433944,0.34146341463414664,-0.008712168716121793,-1.0266136563694044,NA
W,0,0.09999999999999998,0.15000000000000002,0.20000000000000007,0.1363636363636364,-0.0654451855137384,1.1341463414634143,0.017511648117060963,3.320733633419083,0.8333333333333334
W,0,-0.09999999999999998,0.25,0.19999999999999996,0,-0.03857128917435648,1.987804878048781,-0.01185190193379182,-5.732086109156444,0.75
L,0,0,0.14999999999999997,0.25,-0.09090909090909083,-0.0358514150965947,0.2317073170731705,0.004228783530304203,-4.393191334703019,0.25
W,0,0.09999999999999998,-0.20000000000000007,-0.09999999999999998,0.2272727272727273,0.03522715573002205,0.3658536585365848,-0.005403660719705994,-0.38870321444404077,0.6666666666666666
L,0,0.30000000000000004,0.19999999999999996,0.19999999999999996,-0.13636363636363635,-0.04273010781430417,0.536585365853659,0.0022619498723251974,1.0595930113473422,0.6666666666666666
W,0,0.24999999999999994,0.24999999999999994,-0.04999999999999993,0.045454545454545414,-0.04719203612192438,2.536585365853658,-0.00944071080183928,-3.2244198974519964,0.5
W,0,0.14999999999999997,0.10000000000000003,-0.04999999999999999,0,-0.02931771452280757,0.7073170731707314,0.007383926568227173,0.24178307169038504,0.5
W,0,-0.050000000000000044,0,-0.04999999999999993,0.09090909090909088,-0.004415684525551994,0.34146341463414664,0.011164507306755,-3.04585552911508,1
L,0,0.09999999999999998,0.35000000000000003,0.050000000000000044,-0.09090909090909083,-0.03696045404383291,1.0975609756097553,0.013304993485990457,0.5214041441466097,1
L,3,-0.04999999999999993,0.4,0.09999999999999998,-0.18181818181818188,-0.0536356665441827,0.1341463414634152,-0.005849873343771961,-3.0393512747712927,0.75
W,1,0.19999999999999996,0.19999999999999996,0.15000000000000002,-0.09090909090909094,-0.05043552216554942,1.6585365853658534,-0.012964028031830943,-2.398319145443459,0.75
L,2,0.09999999999999998,-0.2,-0.10000000000000003,0.13636363636363635,0.022760413690131404,-0.6341463414634152,0.001026069495670745,0.44018896483422054,0.5
W,2,0.04999999999999993,-0.10000000000000003,0,0.045454545454545525,0.025336581818308224,0.7439024390243896,-0.004376795111039611,-1.6070185100083751,0.5
