Year,Team1,Team2,Conference,Highest.Seed,Round
2012,Philadelphia Flyers,Pittsburgh Penguins,eastern,Pittsburgh Penguins,quarter-finals
2012,Los Angeles Kings,Vancouver Canucks,western,Vancouver Canucks,quarter-finals
2012,St Louis Blues,San Jose Sharks,western,St Louis Blues,quarter-finals
2012,Phoenix Coyotes,Chicago Blackhawks,western,Phoenix Coyotes,quarter-finals
2012,Nashville Predators,Detroit Red Wings,western,Nashville Predators,quarter-finals
2012,New York Rangers,Washington Capitals,eastern,New York Rangers,semi-finals
2012,New Jersey Devils,Philadelphia Flyers,eastern,Philadelphia Flyers,semi-finals
2012,Los Angeles Kings,St Louis Blues,western,St Louis Blues,semi-finals
2012,Phoenix Coyotes,Nashville Predators,western,Phoenix Coyotes,semi-finals
2012,New Jersey Devils,New York Rangers,eastern,New York Rangers,finals
2012,Los Angeles Kings,Phoenix Coyotes,western,Phoenix Coyotes,finals
2012,Los Angeles Kings,New Jersey Devils,N/A,New Jersey Devils,stanley-cup-final
2014,Minnesota Wild,Colorado Avalanche,western,Colorado Avalanche,quarter-finals
2014,Chicago Blackhawks,St Louis Blues,western,St Louis Blues,quarter-finals
2014,Anaheim Ducks,Dallas Stars,western,Anaheim Ducks,quarter-finals
2014,Los Angeles Kings,San Jose Sharks,western,San Jose Sharks,quarter-finals
2014,Boston Bruins,Detroit Red Wings,eastern,Boston Bruins,quarter-finals
2014,Montreal Canadiens,Tampa Bay Lightning,eastern,Tampa Bay Lightning,quarter-finals
2014,Pittsburgh Penguins,Columbus Blue Jackets,eastern,Pittsburgh Penguins,quarter-finals
2014,New York Rangers,Philadelphia Flyers,eastern,New York Rangers,quarter-finals
2014,Montreal Canadiens,Boston Bruins,eastern,Boston Bruins,semi-finals
2014,New York Rangers,Pittsburgh Penguins,eastern,Pittsburgh Penguins,semi-finals
2014,Chicago Blackhawks,Minnesota Wild,western,Chicago Blackhawks,semi-finals
2014,Los Angeles Kings,Anaheim Ducks,western,Anaheim Ducks,semi-finals
2014,Los Angeles Kings,Chicago Blackhawks,western,Chicago Blackhawks,finals
2014,New York Rangers,Montreal Canadiens,eastern,Montreal Canadiens,finals
2014,Los Angeles Kings,New York Rangers,N/A,Los Angeles Kings,stanley-cup-final
2015,Minnesota Wild,St Louis Blues,western,St Louis Blues,quarter-finals
2015,Chicago Blackhawks,Nashville Predators,western,Nashville Predators,quarter-finals
2015,Anaheim Ducks,Winnipeg Jets,western,Anaheim Ducks,quarter-finals
2015,Calgary Flames,Vancouver Canucks,western,Vancouver Canucks,quarter-finals
2015,Montreal Canadiens,Ottawa Senators,eastern,Montreal Canadiens,quarter-finals
2015,Tampa Bay Lightning,Detroit Red Wings,eastern,Tampa Bay Lightning,quarter-finals
2015,New York Rangers,Pittsburgh Penguins,eastern,New York Rangers,quarter-finals
2015,Washington Capitals,New York Islanders,eastern,Washington Capitals,quarter-finals
