"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Derek Boogaard","9-10","MIN","L","58","345.47","--","4","4","1","0.69","0.17","-1.45","-0.25","247","297","-50","45.4","-1.99","8","20","-12","9.35","10.83","-1.48","46.33","-4.11","30","19","-11","42","7.29","2.66","0.46","--","94.5","46.75","12.99","28.08","47.41","27.28","49.33"
"Derek Dorsett","9-10","CBJ","R","50","498.93","3","8","11","8","1.32","0.96","11.85","1.43","380","403","-23","48.53","2.35","16","11","5","13.56","15.12","-1.56","47.28","0.63","31","31","--","83","9.98","3.91","0.47","5.77","101.99","45.38","21.86","28.85","47.88","28.57","50.42"
"Derek Joslin","9-10","S.J","D","24","297.08","--","1","1","--","0.2","--","-0.45","-0.09","258","310","-52","45.42","-3.4","11","12","-1","11.22","13.6","-2.38","45.21","-3.37","6","3","-3","33","6.66","0.55","0.11","--","101.08","44.85","27.54","27.78","51.52","28.8","50.98"
"Derek Mackenzie","9-10","CBJ","C","18","142.58","1","3","4","3","1.68","1.26","5.7","2.4","124","99","25","55.61","7.46","5","2","3","4.48","3.27","1.21","57.81","8.38","--","2","2","23","9.68","1.11","0.47","7.69","104.13","47.83","17.09","27.45","47.22","27.27","49.17"
"Derek Meech","9-10","DET","D","49","509.8","1","4","5","4","0.59","0.47","6.38","0.75","462","429","33","51.85","-1.94","8","20","-12","16.44","17.79","-1.35","48.03","-4.79","7","1","-6","78","9.18","1.79","0.21","2.7","95.42","58.27","21.97","26.95","52.54","27.94","49.88"
"Derek Morris","9-10","BOS/ ARI","D","76","1176.08","2","9","11","4","0.56","0.2","22.61","1.15","1097","950","147","53.59","1.88","44","43","1","42.88","36.92","5.96","53.73","2.73","13","5","-8","165","8.42","3.27","0.17","2.74","99.15","53.16","33.06","28.16","52.41","29.29","49.53"
"Derek Peltier","9-10","COL","D","3","25.9","--","--","--","--","--","--","-0.22","-0.51","21","31","-10","40.38","-1.5","1","1","--","1.22","1.08","0.14","53.04","11.4","--","--","--","3","6.95","0.02","0.05","--","103.21","63.16","19.11","28.19","44.15","27.32","50.12"
"Derek Roy","9-10","BUF","C","80","1063.93","11","24","35","27","1.97","1.52","39.45","2.22","1019","965","54","51.36","1.1","44","39","5","46.4","43.55","2.85","51.58","0.9","17","25","8","231","13.03","11.16","0.63","8.66","100.82","52.12","29.1","29.41","48.68","29.47","50"
"Derek Smith","9-10","OTT","D","2","23.42","--","--","--","--","--","--","0.05","0.13","26","22","4","54.17","5.66","--","4","-4","0.82","1.08","-0.26","43.16","-15.01","--","--","--","6","15.37","0.17","0.44","--","69.23","77.78","24.58","26.85","52.03","28.24","51.64"
"Derick Brassard","9-10","CBJ","C","78","915.3","5","17","22","17","1.44","1.11","16.61","1.09","744","800","-56","48.19","-0.04","37","48","-11","30.87","34.34","-3.47","47.34","-1.23","13","16","3","141","9.24","7.36","0.48","6.1","97.86","63.81","25.62","29.71","48.28","28.52","50.06"
"Deryk Engelland","9-10","PIT","D","9","138.28","--","1","1","--","0.43","--","0.15","0.07","109","127","-18","46.19","-7.38","4","8","-4","3.94","6.02","-2.08","39.56","-11.26","3","4","1","14","6.07","0.12","0.05","--","94.4","46.15","32.58","27.18","51.77","28.55","48.73"
"Devin Setoguchi","9-10","S.J","R","69","853.72","12","12","24","17","1.69","1.19","30.41","2.14","836","818","18","50.54","-1.06","35","27","8","38.93","33.94","4.99","53.42","1.27","8","20","12","241","16.94","13.07","0.92","9.68","102.15","52.8","27.26","31.21","51.45","29.52","49.94"
"Dion Phaneuf","9-10","CGY/ TOR","D","81","1381.97","4","6","10","10","0.43","0.43","26.7","1.16","1400","1279","121","52.26","1.62","52","55","-3","51.74","54.64","-2.9","48.64","-1.05","24","28","4","298","12.94","5.68","0.25","3.17","99.72","54.67","37.19","28.73","51.8","29.59","49.76"
"Dj King","9-10","STL","L","12","53.88","--","--","--","--","--","--","-0.18","-0.2","47","39","8","54.65","-3.24","--","4","-4","1.28","2.47","-1.19","34.13","-21.92","9","7","-2","6","6.68","0.18","0.2","--","81.82","67.65","10.32","28.42","50.44","26.12","46.79"
"Dmitry Kulikov","9-10","FLA","D","68","947.48","2","4","6","5","0.38","0.32","2.12","0.13","804","975","-171","45.19","0.5","28","30","-2","31.05","37.65","-6.6","45.2","-0.55","11","4","-7","115","7.28","2.4","0.15","3.77","101.1","47.13","30.18","28.02","44.32","28.33","49.8"
"Dominic Moore","9-10","FLA/ MTL","C","69","849.07","6","16","22","14","1.55","0.99","18.7","1.32","714","825","-111","46.39","-0.09","29","32","-3","30.25","31.49","-1.24","49","1.54","16","19","3","188","13.29","7.65","0.54","5.83","99.86","42.49","26.33","29.65","44.77","28.79","49.79"
"Donald Brashear","9-10","NYR","L","36","222.93","--","1","1","--","0.27","--","-2.45","-0.66","166","226","-60","42.35","-8.68","2","11","-9","6.53","10.73","-4.2","37.83","-11.9","13","10","-3","30","8.07","1.11","0.3","--","93.53","53.33","13.55","26.86","49.82","27.32","49.52"
"Doug Janik","9-10","DET","D","13","156.33","--","2","2","1","0.77","0.38","0.18","0.07","115","137","-22","45.63","-3.01","2","6","-4","3.72","4.63","-0.91","44.55","-7.46","6","3","-3","13","4.99","0.35","0.13","--","95.81","42.86","25.89","24.45","52.19","27.43","49.52"
"Douglas Murray","9-10","S.J","D","78","1264.77","3","10","13","8","0.62","0.38","18.88","0.9","1217","1164","53","51.11","-0.05","55","52","3","51.41","48.65","2.76","51.38","-1.44","17","7","-10","171","8.11","3.08","0.15","4.35","100.75","50.78","35.57","29.79","52.11","29.6","50.1"
"Doug Weight","9-10","NYI","C","35","388.33","1","10","11","6","1.7","0.93","5.64","0.87","338","437","-99","43.61","-7.72","18","16","2","16.96","19.33","-2.37","46.73","-7.35","3","2","-1","58","8.96","3.96","0.61","2.78","102.04","42.6","23.66","29.48","47.27","28.65","49.91"
"Drayson Bowman","9-10","CAR","L","9","92.75","1","--","1","1","0.65","0.65","1.38","0.89","88","92","-4","48.89","4.08","3","3","--","3.34","4.05","-0.71","45.2","-0.3","2","1","-1","27","17.47","1.34","0.87","7.69","101.31","66","21.92","28","48.25","28.27","49.24"
"Drew Doughty","9-10","L.A","D","82","1385.73","6","14","20","13","0.87","0.56","28.32","1.23","1192","1079","113","52.49","2.73","55","40","15","51.5","43.84","7.66","54.02","4.65","18","13","-5","162","7.01","3.49","0.15","8.96","100.87","55.96","36.85","28.99","48.77","29.59","50.19"
"Drew Larman","9-10","BOS","C","4","31.88","--","--","--","--","--","--","1.57","2.95","37","11","26","77.08","22.26","--","1","-1","1.12","0.3","0.82","78.87","24.65","--","--","--","9","16.94","0.45","0.85","--","83.33","66.67","16.28","27.16","51.67","26.92","49.94"
"Drew Miller","9-10","T.B/ DET","L","80","821.95","8","6","14","9","1.02","0.66","21.47","1.57","680","633","47","51.79","-1.15","20","18","2","26.3","23.44","2.86","52.87","2.62","4","11","7","141","10.29","7.55","0.55","8.89","100.23","48.48","22","28.4","52.46","28.32","49.81"
"Drew Stafford","9-10","BUF","R","70","811.33","7","14","21","17","1.55","1.26","26.55","1.96","746","739","7","50.24","0.02","38","33","5","34.57","32.94","1.63","51.21","0.73","8","9","1","208","15.38","10.77","0.8","5.15","101.33","50","25.21","29.89","49.51","29.16","49.86"
"Duncan Keith","9-10","CHI","D","82","1580.03","8","33","41","23","1.56","0.87","64.58","2.45","1647","1215","432","57.55","1.74","83","70","13","66.3","49.05","17.25","57.48","0.9","14","8","-6","294","11.16","5.92","0.22","5.67","98.34","52.11","40.71","28.62","53.98","29.81","50.04"
"Dustin Boyd","9-10","CGY/ NSH","C","78","827.03","10","10","20","17","1.45","1.23","25.61","1.86","737","725","12","50.41","-2.05","23","19","4","27.87","29.16","-1.29","48.87","-2.69","6","12","6","155","11.25","9.8","0.71","9.9","100.98","51.9","22.48","28.9","51.9","28.09","49.33"
"Dustin Brown","9-10","L.A","L","82","1114.43","14","18","32","28","1.72","1.51","38.41","2.07","937","984","-47","48.78","-2.79","38","42","-4","39.5","42.43","-2.93","48.21","-4.21","14","51","37","306","16.47","13.84","0.75","8.48","99.33","55.65","29.64","30.4","50.82","29.53","50.09"
"Dustin Byfuglien","9-10","CHI","R","82","1071.1","10","10","20","15","1.12","0.84","32.64","1.83","1005","846","159","54.29","-3.12","34","38","-4","39.67","34.48","5.19","53.5","-4.71","24","13","-11","249","13.95","12.74","0.71","6.49","97.57","53.86","27.6","30.04","54.34","28.88","49.63"
"Dustin Jeffrey","9-10","PIT","C","1","8.58","--","--","--","--","--","--","-0.35","-2.45","4","12","-8","25","-29.22","--","--","--","0.19","0.32","-0.13","37.25","-17.68","--","--","--","--","--","--","--","--","100","66.67","17.2","28.69","51.76","28.26","53.12"
"Dustin Kohn","9-10","NYI","D","22","239.88","--","4","4","2","1","0.5","2.48","0.62","197","214","-17","47.93","-2.5","8","10","-2","8.65","9.26","-0.61","48.3","-1.67","1","1","--","20","5","0.25","0.06","--","100.59","48.8","24.2","27.17","48.32","28.94","49.78"
"Dustin Penner","9-10","EDM","R","82","1071.87","23","21","44","37","2.46","2.07","44.2","2.47","1002","1005","-3","49.93","6.9","55","44","11","49.17","42.68","6.49","53.53","10.78","13","14","1","243","13.6","14.36","0.8","16.43","101.39","45.06","28.15","29.88","44.07","29.63","49.98"
"Dwight Helminen","9-10","S.J","C","3","26.58","1","--","1","1","2.26","2.26","0.14","0.32","18","31","-13","36.73","-3.85","1","2","-1","0.57","0.98","-0.41","36.77","-3.19","--","1","1","4","9.03","0.1","0.23","100","97.98","27.27","21.31","26.63","50.64","27.78","51.78"
"Dylan Reese","9-10","NYI","D","19","234.12","2","2","4","3","1.03","0.77","4.55","1.17","229","232","-3","49.67","0.45","13","10","3","10.14","10.43","-0.29","49.3","1.83","5","1","-4","28","7.18","0.84","0.22","12.5","102.44","42.97","28.44","26.78","47.98","29.23","50.13"
"Ed Jovanovski","9-10","ARI","D","66","930.97","3","12","15","9","0.97","0.58","10.28","0.66","816","928","-112","46.79","-7.49","36","43","-7","31.83","34.43","-2.6","48.04","-6.05","14","4","-10","146","9.41","2.91","0.19","4.11","99.08","49.2","31.4","28.56","52.7","29.98","50.38"
"Enver Lisin","9-10","NYR","R","57","582.25","5","7","12","8","1.24","0.82","15.88","1.64","553","527","26","51.2","2.05","21","22","-1","23.24","24.58","-1.34","48.6","0.03","9","9","--","160","16.49","6.88","0.71","6.17","100.06","51.38","22.45","29.55","49.71","28.6","49.36"
"Eric Belanger","9-10","MIN/ WSH","C","77","853.58","10","16","26","21","1.83","1.48","30.29","2.13","782","765","17","50.55","-0.23","32","25","7","29.49","28.84","0.65","50.56","-2.99","14","15","1","190","13.36","8.29","0.58","8.7","101.49","43.02","23.97","29.84","48.37","28.68","49.66"
"Eric Boulton","9-10","ATL","L","62","421.05","1","6","7","5","1","0.71","4.14","0.59","322","378","-56","46","-3.24","14","15","-1","12.23","16.24","-4.01","42.96","-1.69","30","24","-6","59","8.41","2.71","0.39","2.63","100.85","44.31","15.06","26.9","48.35","27.82","49.43"
"Eric Brewer","9-10","STL","D","59","954.65","8","2","10","9","0.63","0.57","11.55","0.73","832","859","-27","49.2","-3.06","32","47","-15","34.06","37.43","-3.37","47.64","-4.24","16","12","-4","147","9.24","2.72","0.17","12.9","97.27","52.84","36.19","27.91","51.69","29.07","49.91"
"Eric Fehr","9-10","WSH","R","69","721.92","16","15","31","25","2.58","2.08","36.2","3.01","688","658","30","51.11","-2.67","42","23","19","28.22","27.2","1.02","50.92","-1.49","11","14","3","207","17.2","9.71","0.81","13.56","104.91","53.39","22.46","29.04","51.94","28.34","49.27"
"Eric Godard","9-10","PIT","R","45","181.97","1","2","3","2","0.99","0.66","1.01","0.33","133","163","-30","44.93","-6.79","7","5","2","5.5","6.3","-0.8","46.61","-5","19","11","-8","29","9.56","2.01","0.66","6.25","102.61","44.71","8.95","27.32","50.73","27","49.03"
"Eric Nystrom","9-10","CGY","L","82","883.28","10","8","18","12","1.22","0.82","16.95","1.15","727","784","-57","48.11","-4.82","26","30","-4","26.32","31.96","-5.64","45.16","-6.89","16","18","2","166","11.28","7.57","0.51","12.2","99.77","48.66","23.18","28.75","52.75","28.25","49.34"
"Eric Staal","9-10","CAR","C","69","997.38","12","23","35","27","2.11","1.62","36.84","2.22","1004","1024","-20","49.51","2.1","48","40","8","43.53","46.05","-2.52","48.59","2.37","21","19","-2","313","18.83","17.09","1.03","6.59","101.52","51.99","31.68","31.3","47.8","30.07","49.8"
"Eric Tangradi","9-10","PIT","C","1","10.88","--","--","--","--","--","--","0.88","4.85","15","5","10","75","24.02","--","--","--","0.47","0.21","0.26","69.12","2.82","--","1","1","5","27.57","0.21","1.16","--","100","50","31.74","29.22","52.03","27.07","46.95"
"Erik Christensen","9-10","ANA/ NYR","C","58","706.62","7","13","20","12","1.7","1.02","18.21","1.55","607","648","-41","48.37","-0.75","30","20","10","27.54","29.82","-2.28","48.01","-0.62","7","8","1","133","11.29","7.36","0.62","10.77","103.58","55.58","26.91","31.36","49.89","29.52","50.25"
"Erik Cole","9-10","CAR","L","40","512.08","7","4","11","10","1.29","1.17","7.71","0.9","449","550","-101","44.94","-4.99","17","25","-8","20.22","22.72","-2.5","47.09","0.01","12","14","2","117","13.71","6.95","0.81","10.61","97.76","50.16","28.02","30.98","49.56","29.73","49.98"
"Erik Johnson","9-10","STL","D","79","1266.05","3","17","20","9","0.95","0.43","27.1","1.28","1187","1077","110","52.43","2.33","53","48","5","48.17","46.66","1.51","50.8","1.66","25","13","-12","195","9.24","4.68","0.22","3.06","100.45","59.38","35.94","27.78","49.54","28.88","49.88"
"Erik Karlsson","9-10","OTT","D","60","943.02","3","8","11","6","0.7","0.38","20.82","1.32","902","744","158","54.8","3.73","31","42","-11","35.33","33.27","2.06","51.5","-1.83","9","11","2","170","10.82","3.48","0.22","4.48","95.99","58.95","34.35","27.73","50.65","28.73","49.67"
"Ethan Moreau","9-10","EDM","L","76","899.08","6","7","13","10","0.87","0.67","-0.55","-0.04","711","1028","-317","40.89","-5.65","23","42","-19","25.05","41","-15.95","37.93","-10.18","18","8","-10","218","14.55","7.62","0.51","4.76","98.39","45.35","25.39","29.23","46.29","28.78","50.16"
"Evander Kane","9-10","ATL","C/L","66","801.62","12","12","24","20","1.8","1.5","25.3","1.89","700","746","-46","48.41","-0.7","40","41","-1","28.7","36.86","-8.16","43.78","-1.15","22","32","10","193","14.45","9.94","0.74","10.62","100.99","47.31","26.95","29.51","48.49","29.06","49.69"
"Evan Oberg","9-10","VAN","D","2","12.57","--","--","--","--","--","--","-0.2","-0.95","10","15","-5","40","1.35","--","--","--","0.18","0.24","-0.06","42.86","0.79","--","--","--","1","4.77","--","--","--","100","80","13.01","27.05","50.65","27.88","52.2"
"Evgeni Malkin","9-10","PIT","C","66","949.02","11","26","37","27","2.34","1.71","35.23","2.23","958","921","37","50.98","-1.75","47","55","-8","42.74","38.82","3.92","52.4","-1.71","40","33","-7","244","15.43","11.98","0.76","7.91","97.42","57.09","32.12","29.64","52.31","29.41","49.48"
"Evgeny Artyukhin","9-10","ANA/ ATL","R","54","468.47","9","7","16","12","2.05","1.54","7.33","0.94","338","412","-74","45.07","-2.37","17","19","-2","13.97","19.2","-5.23","42.12","-4.39","26","6","-20","79","10.12","3.56","0.46","23.08","100.7","56.47","19.12","28.25","46.92","27.93","50.32"
"Evgeny Dadonov","9-10","FLA","R","4","45.05","--","--","--","--","--","--","0.38","0.51","34","33","1","50.75","3.82","--","1","-1","1.26","0.98","0.28","56.25","14.55","--","1","1","6","7.99","0.11","0.15","--","94.44","52.63","23.58","26.58","42.84","28.64","49.1"
"Fabian Brunnstrom","9-10","DAL","L","44","421.85","2","8","10","8","1.42","1.14","5.66","0.81","308","379","-71","44.83","-2.91","13","15","-2","11.96","13.58","-1.62","46.83","-0.61","4","5","1","53","7.54","2.9","0.41","6.45","99.95","52.94","20.48","28.41","48.7","28.44","49.81"
"Fedor Tyutin","9-10","CBJ","D","79","1270.35","3","9","12","5","0.57","0.24","12.09","0.57","982","1046","-64","48.42","0.81","49","54","-5","39.64","41.5","-1.86","48.85","1.29","15","8","-7","143","6.75","2.21","0.1","4.48","99.04","48.53","35.02","28.06","48.25","29.39","50.43"
"Fernando Pisani","9-10","EDM","R","40","467.1","4","3","7","6","0.9","0.77","-1.8","-0.23","365","536","-171","40.51","-4.7","13","29","-16","14.32","21.56","-7.24","39.91","-6.2","3","3","--","82","10.53","3.67","0.47","8.89","96.27","47.1","25.16","29.63","44.89","29.38","50.07"
"Filip Kuba","9-10","OTT","D","53","837.73","1","14","15","12","1.07","0.86","18.54","1.33","779","695","84","52.85","1.22","36","44","-8","34.04","29.06","4.98","53.95","0.92","11","1","-10","108","7.74","2.02","0.14","2","96.66","54.18","33.78","27.93","51.44","29.21","50.16"
"Francis Bouillon","9-10","NSH","D","81","1282.03","1","1","2","2","0.09","0.09","4.3","0.2","1071","1168","-97","47.83","-5.38","35","34","1","42.92","47.52","-4.6","47.46","-5.37","18","13","-5","153","7.16","3.25","0.15","1.67","100.78","47.55","33.3","26.93","52.51","28.72","49.9"
"Francis Wathier","9-10","DAL","L","5","26.38","--","--","--","--","--","--","-0.44","-1","12","30","-18","28.57","-13.95","--","--","--","0.34","1.11","-0.77","23.45","-21.05","1","1","--","6","13.65","0.19","0.43","--","100","61.54","10.73","27.46","47.24","28.65","51.69"
"Francois Beauchemin","9-10","TOR","D","82","1480.5","1","11","12","6","0.49","0.24","29.3","1.19","1568","1369","199","53.39","0.94","47","58","-11","62.67","54.81","7.86","53.35","-0.01","11","15","4","230","9.32","5.38","0.22","1.02","97.71","53.2","39.1","28.23","52.12","29.38","49.85"
"Frans Nielsen","9-10","NYI","C","75","832.12","9","13","22","19","1.59","1.37","27.16","1.96","829","766","63","51.97","5.76","31","32","-1","32.79","31.03","1.76","51.38","2.67","2","4","2","163","11.75","8.26","0.6","9.89","99.03","45.54","24.44","29.93","47.3","29.52","50.01"
"Frazer Mclaren","9-10","S.J","L","23","135.57","1","5","6","5","2.66","2.21","5.03","2.23","109","123","-14","46.98","-0.99","8","2","6","5.51","4.91","0.6","52.88","6.24","11","11","--","19","8.41","1.86","0.82","7.69","109.64","54.88","13.32","28.15","51.66","27.61","49.8"
"Freddy Meyer","9-10","NYI","D","64","896.77","3","11","14","8","0.94","0.54","16.1","1.08","847","823","24","50.72","3.68","35","38","-3","38.71","33.11","5.6","53.9","6.74","14","9","-5","108","7.23","2.96","0.2","6","98.77","45.83","31.02","26.83","46.4","28.83","50.01"
"Fredrik Modin","9-10","CBJ/ L.A","L","44","507.35","2","3","5","5","0.59","0.59","5.86","0.69","398","426","-28","48.3","-2.47","8","14","-6","15.14","16.92","-1.78","47.22","-1.01","8","5","-3","102","12.06","4.52","0.53","3.7","97.98","48.25","25.29","29.99","48.35","28.86","49.3"
"Fredrik Sjostrom","9-10","CGY/ TOR","R/L","65","605.03","2","7","9","8","0.89","0.79","10.7","1.06","496","509","-13","49.35","-1.33","15","19","-4","17.31","19.07","-1.76","47.58","-1.31","5","8","3","98","9.72","4.03","0.4","3.64","98.82","51.31","20","28.63","51.54","28.2","49.39"
"Garnet Exelby","9-10","TOR","D","51","437.75","1","3","4","2","0.55","0.27","4.65","0.64","436","411","25","51.48","-0.85","14","23","-9","15.79","16.22","-0.43","49.33","-4.68","21","15","-6","51","6.99","0.92","0.13","7.14","96.1","46.67","18.76","27.15","51.7","28.24","49.24"
"George Parros","9-10","ANA","R","57","335.03","4","--","4","4","0.72","0.72","2.4","0.43","225","319","-94","41.36","-6.91","8","5","3","8.04","12.68","-4.64","38.8","-8.29","29","33","4","31","5.55","1.85","0.33","18.18","103.46","62.29","13.13","25.61","45.36","26.92","48.84"
"Georges Laraque","9-10","MTL","R","28","157.28","1","2","3","1","1.14","0.38","-3.55","-1.35","89","187","-98","32.25","-12.09","3","9","-6","3.89","6.89","-3","36.09","-6.88","5","6","1","8","3.05","0.97","0.37","50","96.13","38.57","12.18","27.6","46.49","27.04","49.67"
"Gilbert Brule","9-10","EDM","C","65","804.95","15","17","32","23","2.39","1.71","25.46","1.9","679","784","-105","46.41","1.94","38","42","-4","32.27","32.16","0.11","50.09","4.14","12","15","3","170","12.67","11.02","0.82","14.42","99.57","47.67","26.85","29.53","44.93","29.16","50.38"
"Glen Metropolit","9-10","MTL","C","69","748.2","6","10","16","13","1.28","1.04","16.02","1.28","650","708","-58","47.86","1.67","22","23","-1","23.29","28.42","-5.13","45.04","-1","7","8","1","142","11.39","6.55","0.53","6.74","100.24","43.85","23.17","28.66","45.35","28.36","50.18"
"Grant Clitsome","9-10","CBJ","D","11","140.62","1","2","3","2","1.28","0.85","2.48","1.06","117","112","5","51.09","8.52","10","10","--","5.75","5.05","0.7","53.24","10.83","4","--","-4","18","7.68","0.22","0.09","14.29","99.12","47.37","27.81","26.63","48.96","27.72","51.45"
"Greg Mauldin","9-10","NYI","C","1","9.83","--","--","--","--","--","--","0.26","1.59","11","10","1","52.38","-2.16","--","1","-1","0.27","0.82","-0.55","24.77","-32.03","--","1","1","3","18.31","0.07","0.43","--","87.5","50","26.84","27.41","47.34","29.31","51.9"
"Greg Moore","9-10","CBJ","R","4","22.08","--","--","--","--","--","--","-0.19","-0.52","15","25","-10","37.5","-10.19","--","--","--","0.61","0.63","-0.02","49.19","1.51","--","1","1","3","8.15","0.13","0.35","--","100","28.57","12.48","24.76","44.62","26.83","52.46"
"Gregory Campbell","9-10","FLA","C","60","742.47","2","11","13","7","1.05","0.57","4.7","0.38","568","782","-214","42.07","-4.23","19","28","-9","24.14","27.66","-3.52","46.6","-0.71","15","18","3","130","10.51","6.88","0.56","2.53","99.08","40.2","26.67","29.75","45.12","28.82","50.08"
"Gregory Stewart","9-10","MTL","L","5","20.97","--","--","--","--","--","--","-0.31","-0.89","25","24","1","51.02","2.95","--","3","-3","0.58","1.34","-0.76","30.21","-15.39","4","2","-2","5","14.31","0.32","0.92","--","78.57","58.33","9.28","27.32","45.12","26.26","50.14"
"Greg Zanon","9-10","MIN","D","81","1430.03","1","7","8","4","0.34","0.17","6.9","0.29","1121","1259","-138","47.1","-1.26","45","55","-10","40.17","41.84","-1.67","48.98","-0.9","13","9","-4","123","5.16","1.74","0.07","2.08","99.11","41.26","38.62","28.19","48.83","29.54","50.05"
"Guillaume Desbiens","9-10","VAN","R","1","9.4","--","--","--","--","--","--","-0.05","-0.32","3","4","-1","42.86","-0.62","--","--","--","0.13","0.19","-0.06","40.62","4.06","--","--","--","--","--","--","--","--","100","100","20.62","30.05","49.79","29","48.47"
"Guillaume Latendresse","9-10","MTL/ MIN","L","78","969.57","18","11","29","29","1.79","1.79","30.21","1.87","836","881","-45","48.69","1.23","36","36","--","34.58","30.03","4.55","53.52","6.77","5","11","6","242","14.98","11.19","0.69","14.17","100.65","48.22","26.81","29.53","46.65","28.88","49.96"
"Guillaume Lefebvre","9-10","BOS","L","1","11.02","--","--","--","--","--","--","--","--","9","9","--","50","11.97","--","--","--","0.32","0.38","-0.06","45.71","13.99","--","--","--","1","5.44","0.07","0.38","--","100","50","21.08","26.59","50.94","26.89","51.2"
"Hal Gill","9-10","MTL","D","68","994.22","2","5","7","4","0.42","0.24","-1.41","-0.09","783","968","-185","44.72","-4.14","24","32","-8","30.72","36.54","-5.82","45.67","-1.71","24","5","-19","98","5.91","1.58","0.1","5.56","99.51","45.71","31.3","27.53","46.92","28.81","49.78"
"Henrik Sedin","9-10","VAN","C","82","1162.67","19","52","71","46","3.66","2.37","75.16","3.88","1226","969","257","55.85","6.29","85","46","39","56.12","43.34","12.78","56.42","7.78","17","20","3","185","9.55","13.82","0.71","15.97","105.19","57.79","31.68","31.7","48.35","30.01","49.41"
"Henrik Tallinder","9-10","BUF","D","82","1319.95","4","12","16","10","0.73","0.45","18.07","0.82","1189","1185","4","50.08","-0.35","63","53","10","51.15","50.76","0.39","50.19","-0.81","11","6","-5","119","5.41","3.24","0.15","8.51","101.37","50.62","35.24","28.27","49.6","29.5","50.23"
"Henrik Zetterberg","9-10","DET","L","74","1074.72","14","24","38","30","2.12","1.67","57.2","3.19","1146","889","257","56.31","3.2","52","51","1","47.68","40.3","7.38","54.19","2.59","10","17","7","369","20.6","17.41","0.97","6.45","98.57","52","30.74","31.66","54.09","30.16","50.1"
"Ian Laperriere","9-10","PHI","R","82","769.92","3","15","18","10","1.4","0.78","8.63","0.67","574","693","-119","45.3","-6.89","24","30","-6","21.01","28.2","-7.19","42.69","-11","34","31","-3","99","7.72","3.7","0.29","6.25","99.61","40","21.07","28.33","49.14","28.46","49.84"
"Ian White","9-10","TOR/ CGY","D","83","1489.2","9","15","24","17","0.97","0.68","43.7","1.76","1591","1323","268","54.6","2.06","70","58","12","66.69","54.72","11.97","54.93","0.85","20","6","-14","286","11.52","5.82","0.23","7.26","99.92","58.25","38.37","28.67","51.83","29.48","49.84"
"Ilkka Heikkinen","9-10","NYR","D","7","57.68","--","--","--","--","--","--","1.1","1.14","62","63","-1","49.6","-2.63","2","--","2","3.43","2.47","0.96","58.14","10.25","--","1","1","9","9.36","0.14","0.15","--","105.88","75","18.02","27.69","50.19","27.23","49.46"
"Ilkka Pikkarainen","9-10","N.J","R","31","240.9","1","3","4","4","1","1","2.04","0.51","158","194","-36","44.89","-6.97","5","7","-2","5.66","8.26","-2.6","40.66","-12.95","5","1","-4","42","10.46","1.79","0.45","4","99.07","58.95","16.42","26.81","50.58","27.49","49.14"
"Ilya Kovalchuk","9-10","ATL/ N.J","L","76","1155.78","28","24","52","45","2.7","2.34","53.33","2.77","981","1005","-24","49.4","-1.19","62","45","17","43.09","45.25","-2.16","48.78","2.02","14","23","9","321","16.66","14.72","0.76","15.73","103.74","50.08","32.98","30.95","50.3","29.83","49.61"
"Ivan Vishnevskiy","9-10","DAL","D","2","23.08","--","--","--","--","--","--","-0.45","-1.17","18","28","-10","39.13","-7.49","--","1","-1","0.66","0.96","-0.3","40.74","-6.98","--","--","--","4","10.4","0.04","0.1","--","93.33","28.57","22.57","27.49","47.81","28.38","50.18"
"Jack Hillen","9-10","NYI","D","68","1039.53","1","12","13","9","0.75","0.52","8.2","0.47","932","1077","-145","46.39","-0.7","41","45","-4","43.41","42.69","0.72","50.42","2.36","19","10","-9","117","6.75","2.83","0.16","1.85","99.64","45.91","33.59","27.35","48.43","29.44","50.09"
"Jack Johnson","9-10","L.A","D","80","1329.98","4","12","16","9","0.72","0.41","14.2","0.64","1187","1230","-43","49.11","-2.72","52","69","-17","45.82","52.79","-6.97","46.47","-7.39","15","11","-4","201","9.07","3.52","0.16","5.26","98.05","55.67","36.22","28.09","50.88","29.08","49.84"
"Jack Skille","9-10","CHI","R","6","45.97","1","1","2","1","2.61","1.31","2.77","3.62","45","24","21","65.22","0.73","2","5","-3","1.86","0.81","1.05","69.66","1.05","--","1","1","13","16.97","1.14","1.49","11.11","65.74","68","15.95","27.5","55.02","27.86","47.4"
"Jacob Dowell","9-10","CHI","C","2","11.22","--","--","--","--","--","--","0.52","2.78","14","8","6","63.64","7.15","--","--","--","0.6","0.25","0.35","70.59","6.44","1","1","--","3","16.04","0.13","0.7","--","100","60","12.57","24.23","54.83","27.64","49.36"
"Jaime Sifers","9-10","MIN","D","14","164.05","--","--","--","--","--","--","-0.55","-0.2","120","154","-34","43.8","-3.55","7","6","1","5.02","4.91","0.11","50.55","2.88","3","--","-3","15","5.49","0.31","0.11","--","102.94","51.65","25.76","27.82","48.02","28.75","49.81"
