"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Adrian Aucoin","8-9","CGY","D","80","1137.42","5","9","14","8","0.74","0.42","27.15","1.43","1121","869","252","56.33","0.87","43","49","-6","46.74","-7.68","45.06","39.88","5.18","53.05","-0.53","15","6","-9","185","9.76","3.55","0.19","6.58","97.8","53.07","32.32","28.84","54.7","29.25","49.55"
"Ales Hemsky","8-9","EDM","R","72","954.67","16","14","30","25","1.89","1.57","38.02","2.39","904","844","60","51.72","5.81","40","36","4","52.63","3.47","35.2","35.81","-0.61","49.57","1.54","12","25","13","237","14.9","8.58","0.54","12.21","100.62","48.62","29.67","30.67","46.53","29.99","50.11"
"Ales Kotalik","8-9","BUF/ EDM","R","75","887.92","9","10","19","14","1.28","0.95","24.5","1.66","787","798","-11","49.65","2.93","35","37","-2","48.61","-0.59","30.14","30.84","-0.7","49.43","1.18","7","8","1","238","16.08","9.27","0.63","6.04","99.6","54.53","26.57","29.54","48.52","28.97","49.82"
"Alex Bolduc","8-9","VAN","C","7","44.78","--","1","1","--","1.34","--","0.82","1.1","33","36","-3","47.83","-4.67","2","--","2","100","41.18","1.57","1.18","0.39","57.09","2.61","2","--","-2","8","10.72","0.34","0.46","--","112.5","40","14.28","27.97","47.23","28.06","50.75"
"Alex Burrows","8-9","VAN","L","81","1023.72","20","20","40","30","2.34","1.76","48.13","2.82","954","829","125","53.51","5.81","53","36","17","59.55","4.69","42.47","34.07","8.4","55.49","7.89","37","37","--","239","14.01","13.58","0.8","13.89","102.18","44.46","28.95","31.16","48.13","29.51","50.33"
"Alex Edler","8-9","VAN","D","79","1174.85","3","6","9","7","0.46","0.36","14.06","0.72","972","1017","-45","48.87","-0.84","48","32","16","60","5.81","42.24","42.38","-0.14","49.92","-0.05","19","8","-11","187","9.55","3.9","0.2","3.66","102.96","50.34","34.03","28.05","48.76","28.72","50.01"
"Alexei Ponikarovsky","8-9","TOR","L","81","993.52","17","25","42","33","2.54","1.99","50.95","3.08","1075","910","165","54.16","5.42","56","50","6","52.83","8.83","46.38","36.08","10.3","56.25","9.88","13","13","--","258","15.58","13.04","0.79","11.81","99.36","53.64","26.81","30.37","48.37","29.42","49.56"
"Alexei Semenov","8-9","S.J","D","47","553.25","1","5","6","2","0.65","0.22","8.41","0.91","484","430","54","52.95","-1.6","16","16","--","50","0.88","19.52","17.92","1.6","52.14","-4.29","22","14","-8","62","6.72","1.14","0.12","3.7","99.01","53.21","26.06","28.14","53.98","28.7","49.02"
"Alex Frolov","8-9","L.A","L","77","1015.53","15","12","27","20","1.6","1.18","28.01","1.65","934","888","46","51.26","0.57","37","42","-5","46.84","1.9","39.83","36.76","3.07","52","0.66","12","11","-1","181","10.69","12.1","0.71","15","98.96","50.52","30.1","30.34","50.38","29.67","50.48"
"Alex Giroux","8-9","WSH","L","12","114.3","1","1","2","2","1.05","1.05","4.07","2.14","115","93","22","55.29","2.98","5","1","4","83.33","34.62","5.08","3.72","1.36","57.73","4.77","5","1","-4","32","16.8","2.02","1.06","5.26","105.27","59.26","21.04","28.09","54.45","27.99","48.57"
"Alex Goligoski","8-9","PIT","D","45","603.23","2","7","9","7","0.9","0.7","15.43","1.53","554","500","54","52.56","7.62","29","21","8","58","9.28","19.8","17.91","1.89","52.51","6.39","4","6","2","88","8.75","1.41","0.14","5.13","101.86","52.45","30.16","27.47","46.87","28.53","49.36"
"Alex Henry","8-9","MTL","D","2","12.82","--","--","--","--","--","--","-0.95","-4.45","7","21","-14","25","-34.85","--","2","-2","--","-100","0.21","1.14","-0.93","15.56","-50.23","2","2","--","--","--","--","--","--","84.62","75","14.28","27.95","48.25","27.73","48.69"
"Alex Kovalev","8-9","MTL","R","78","987.68","14","14","28","22","1.7","1.34","24.98","1.52","890","979","-89","47.62","-0.4","37","36","1","50.68","1.42","35.77","40.79","-5.02","46.72","-0.91","22","21","-1","232","14.09","11.29","0.69","11.02","101.07","47.54","28.99","29.66","48.56","29.75","49.71"
"Alex Nikulin","8-9","ARI","C","1","5.43","--","--","--","--","--","--","-0.33","-3.65","3","6","-3","33.33","-23.08","--","1","-1","--","--","0.07","0.16","-0.09","30.43","-16.44","--","--","--","1","11.05","--","--","--","66.67","100","12.32","28.62","47.63","26.98","49.28"
"Alex Ovechkin","8-9","WSH","L","79","1222.35","27","23","50","43","2.45","2.11","80.36","3.94","1471","1092","379","57.39","4.12","66","55","11","54.55","1.04","56.83","47.44","9.39","54.5","0.2","27","30","3","616","30.24","24.35","1.2","8.85","99.77","58.84","34.55","31.13","52.59","29.63","48.93"
"Alex Picard","8-9","OTT/ CBJ","D/L","62","762.18","--","4","4","2","0.31","0.16","10.6","0.83","668","619","49","51.9","3.65","27","30","-3","47.37","5.64","28.58","24.53","4.05","53.81","5.64","10","11","1","104","8.19","3.03","0.24","--","98.15","50.79","27.53","27.88","48.54","28.71","49.58"
"Alex Pietrangelo","8-9","STL","D","8","108.33","--","--","--","--","--","--","1.27","0.7","108","92","16","54","11.02","7","7","--","50","12.5","5.06","4.94","0.12","50.6","10.28","--","--","--","12","6.65","0.24","0.13","--","101.21","56.36","30.28","28.24","47.62","28.94","48.93"
"Alex Semin","8-9","WSH","L","62","804.17","22","17","39","36","2.91","2.69","55.53","4.14","901","668","233","57.43","2.67","47","27","20","63.51","13.9","39.3","28.03","11.27","58.37","4.73","19","19","--","302","22.53","13.86","1.03","13.1","101.69","59.28","29.12","31.18","54.36","29.27","48.93"
"Alex Steen","8-9","TOR/ STL","C","80","961.35","3","9","12","10","0.75","0.62","14.53","0.91","829","866","-37","48.91","-1.02","25","35","-10","41.67","-9.49","32.22","33.95","-1.73","48.69","-3.23","11","7","-4","199","12.42","7.84","0.49","2.61","97.78","48.27","26.85","30.27","48.36","29.45","50.86"
"Alex Sulzer","8-9","NSH","D","2","13.03","--","--","--","--","--","--","0.2","0.92","13","10","3","56.52","0.27","--","--","--","--","--","0.24","0.68","-0.44","26.09","-29.28","--","--","--","--","--","--","--","--","100","85.71","14.46","25.07","49.76","28.51","48.04"
"Alex Tanguay","8-9","MTL","L","50","565.9","11","12","23","18","2.44","1.91","18.41","1.95","506","588","-82","46.25","-3.06","33","22","11","60","6.6","21.38","25.12","-3.74","45.98","-3.89","10","16","6","87","9.22","5.42","0.57","23.4","107.34","46.31","26.29","29.9","49.03","29.45","49.22"
"Andreas Lilja","8-9","DET","D","59","789.83","2","8","10","8","0.76","0.61","24.07","1.83","776","572","204","57.57","0.23","46","35","11","56.79","1.01","29.86","26.65","3.21","52.84","0.7","14","8","-6","113","8.58","1.88","0.14","3.64","100.02","52.01","29.73","26.2","56.21","28.15","49.57"
"Andreas Nodl","8-9","PHI","R","38","383.15","1","2","3","3","0.47","0.47","1.75","0.27","316","349","-33","47.52","-1.22","5","20","-15","20","-35.96","11.31","14.36","-3.05","44.06","-5.31","1","4","3","60","9.4","2.38","0.37","3.12","92.37","48.76","22.49","29.62","47.52","28.41","49.11"
"Andre Deveaux","8-9","TOR","C","21","148.2","--","1","1","1","0.4","0.4","-0.52","-0.21","102","142","-40","41.8","-7.31","2","4","-2","33.33","-11.26","4.06","7.05","-2.99","36.54","-8.98","19","16","-3","22","8.91","0.81","0.33","--","98.28","59.49","15.26","28.24","50.03","28.32","49.11"
"Andrei Kostitsyn","8-9","MTL","L","74","859.82","15","7","22","21","1.54","1.47","26.93","1.88","827","829","-2","49.94","3.16","42","44","-2","48.84","0.25","31.41","36.06","-4.65","46.55","--","14","20","6","229","15.98","9.7","0.68","11.9","99.64","45.13","26.49","29.78","47.57","29.3","49.72"
"Andrei Markov","8-9","MTL","D","78","1167.45","4","14","18","11","0.93","0.57","16.2","0.83","1102","1178","-76","48.33","0.58","49","46","3","51.58","3.23","43.93","49.93","-6","46.8","-1.42","11","6","-5","157","8.07","3.67","0.19","5.88","101.79","43.53","34.12","27.94","47.78","29.35","49.66"
"Andrej Meszaros","8-9","T.B","D","52","866.35","1","4","5","3","0.35","0.21","4.75","0.33","727","813","-86","47.21","-2.13","32","33","-1","49.23","1.61","30.04","36.2","-6.16","45.35","-6.76","12","6","-6","119","8.24","2.88","0.2","1.92","100.8","49.79","38.48","28.23","48.24","29.31","49.53"
"Andrej Sekera","8-9","BUF","D","69","1072.87","2","10","12","9","0.67","0.5","19.57","1.09","1005","906","99","52.59","3.91","44","51","-7","46.32","-5.86","39.52","35.37","4.15","52.77","0.92","8","8","--","144","8.05","2.53","0.14","3.39","97.89","54.22","35.03","27.9","48.75","29","49.69"
"Andre Roy","8-9","CGY","R/L","43","233.73","3","--","3","3","0.77","0.77","4.11","1.06","212","181","31","53.94","-1.08","5","5","--","50","-5.95","7.03","8.07","-1.04","46.56","-7.09","25","17","-8","45","11.55","1.68","0.43","11.54","100.7","66.36","12.38","26.37","55.71","27.17","49"
"Andrew Alberts","8-9","PHI","D","79","1021.9","1","10","11","5","0.65","0.29","9.88","0.58","899","979","-80","47.87","0.37","45","40","5","52.94","2.94","36.94","39.58","-2.64","48.27","-0.06","22","10","-12","113","6.63","1.8","0.11","2.33","101.01","49.9","29.32","26.91","47","28.15","49.18"
"Andrew Brunette","8-9","MIN","L","80","1053.37","13","17","30","27","1.71","1.54","27.8","1.58","920","934","-14","49.62","3.22","42","42","--","50","4.17","36.33","33.32","3.01","52.16","7.76","7","10","3","125","7.12","8.49","0.48","15.66","99.86","48.58","28.59","31.56","46.82","29.69","50.2"
"Andrew Cogliano","8-9","EDM","C","82","912.58","12","13","25","19","1.64","1.25","21.54","1.42","791","869","-78","47.65","0.05","35","35","--","50","-0.67","34.39","38.4","-4.01","47.25","-1.4","7","16","9","160","10.52","8.88","0.58","13.48","101.28","54.04","24.97","29.37","46.52","28.69","50.06"
"Andrew Ebbett","8-9","ANA","C","48","544.48","2","19","21","14","2.31","1.54","27.1","2.99","513","414","99","55.34","4.02","31","19","12","62","15.78","22.21","18.27","3.94","54.87","1.5","4","7","3","113","12.45","6.42","0.71","2.78","102.67","62.27","25.05","29.39","49.64","28.45","49.59"
"Andrew Ference","8-9","BOS","D","47","754.43","--","6","6","2","0.48","0.16","9.85","0.78","680","679","1","50.04","-1.54","27","19","8","58.7","-0.92","27.82","26.72","1.1","51.01","0.06","14","8","-6","108","8.59","2.15","0.17","--","102.13","48.23","34.52","28.05","50.91","29.44","49.7"
"Andrew Gordon","8-9","WSH","R","1","7.2","--","--","--","--","--","--","-0.12","-1","4","8","-4","33.33","-16.67","--","--","--","--","--","0.13","0.39","-0.26","25","-23.52","--","--","--","3","25","0.11","0.92","--","100","100","15.3","27.53","54.65","29.47","51.94"
"Andrew Hutchinson","8-9","T.B/ DAL","D","40","513.53","2","2","4","3","0.47","0.35","6.97","0.81","434","417","17","51","0.3","14","23","-9","37.84","-18.04","14.91","18.84","-3.93","44.18","-8.97","5","1","-4","97","11.33","2.04","0.24","3.92","96.07","54.68","27.86","27","48.91","28.45","49.37"
"Andrew Ladd","8-9","CHI","L","82","1030.37","13","28","41","31","2.39","1.81","57.39","3.34","975","750","225","56.52","1.71","57","38","19","60","9.14","43.57","35.42","8.15","55.16","2.21","8","18","10","265","15.43","12.16","0.71","7.3","101.1","41.54","28.25","31.16","53.39","29.83","50.53"
"Andrew Macdonald","8-9","NYI","D","3","29.58","--","--","--","--","--","--","0.52","1.05","28","25","3","52.83","-2.58","2","--","2","100","33.33","1.45","0.92","0.53","61.18","4.66","1","--","-1","4","8.11","0.08","0.16","--","116.67","62.5","21.71","26.15","45.65","28.14","48.47"
"Andrew Murray","8-9","CBJ","C","67","623.13","7","2","9","8","0.87","0.77","14.91","1.44","487","449","38","52.03","0.03","14","19","-5","42.42","-12.6","19.38","16.44","2.94","54.1","2.06","4","5","1","125","12.04","6.63","0.64","8.75","96.99","48.87","20.94","28.87","51.1","28.66","50.43"
"Andrew Peters","8-9","BUF","L","28","111.93","--","1","1","1","0.54","0.54","-0.05","-0.03","67","84","-17","44.37","-3.01","1","3","-2","25","-18.43","2.33","3.6","-1.27","39.29","-7.55","17","15","-2","15","8.04","0.37","0.2","--","95.51","50.65","8.94","27.23","48.8","27.27","48.54"
"Andy Greene","8-9","N.J","D","49","682.82","2","6","8","3","0.7","0.26","9.62","0.85","596","597","-1","49.96","-3.56","20","18","2","52.63","-3.51","25.39","23.41","1.98","52.03","-3.05","7","5","-2","78","6.85","1.57","0.14","7.41","101.13","52.23","30.5","27.24","51.77","28.33","48.84"
"Andy Hilbert","8-9","NYI","C","67","792.97","8","11","19","18","1.44","1.36","22.07","1.67","757","837","-80","47.49","2.32","28","30","-2","48.28","7.83","30.59","31.26","-0.67","49.46","5.43","10","11","1","238","18.01","9.73","0.74","5.97","99.31","44.29","26.72","29.33","44.67","29.11","49.65"
"Andy Mcdonald","8-9","STL","C","46","623.65","7","11","18","14","1.73","1.35","19.14","1.84","535","516","19","50.9","5.41","25","30","-5","45.45","-7.55","22.06","21.32","0.74","50.85","3.33","10","8","-2","132","12.7","6.34","0.61","9.09","97.54","43.41","30.61","30.55","48.38","29.38","50.29"
"Andy Sutton","8-9","NYI","D","23","361.42","1","6","7","3","1.16","0.5","1.35","0.22","299","412","-113","42.05","-2.17","16","15","1","51.61","32.01","11.7","15.14","-3.44","43.59","0.88","13","7","-6","38","6.31","0.64","0.11","6.25","102.37","45","35.47","27.62","46.28","29","49.81"
"Andy Wozniewski","8-9","STL","D","1","6.68","--","--","--","--","--","--","-0.4","-3.59","2","10","-8","16.67","-19.54","--","--","--","--","--","0.13","0.65","-0.52","16.67","-26.54","--","--","--","--","--","--","--","--","100","100","15.59","27.72","48.86","29.23","51.2"
"Anssi Salmela","8-9","N.J/ ATL","D","26","310.37","--","3","3","1","0.58","0.19","3.25","0.63","286","306","-20","48.31","-4.13","11","10","1","52.38","0.77","11.94","11.18","0.76","51.64","-0.94","4","3","-1","49","9.47","0.72","0.14","--","101.65","61.74","27.04","26.64","49.62","28.39","49.31"
"Anthony Stewart","8-9","FLA","C/R","59","444.07","2","4","6","3","0.81","0.41","2.84","0.38","346","442","-96","43.91","-2.61","6","14","-8","30","-21.53","13.7","17.57","-3.87","43.81","-2.33","9","11","2","87","11.75","5.06","0.68","3.57","97.53","44.4","16.41","28.35","45.39","28.17","49.86"
"Antoine Vermette","8-9","OTT/ CBJ","C","79","971.1","10","14","24","21","1.48","1.3","21.39","1.32","805","899","-94","47.24","-3.05","30","38","-8","44.12","-4.3","35.64","36.01","-0.37","49.74","0.6","13","10","-3","197","12.17","11.44","0.71","8.4","98.37","48.68","27.4","29.43","50.12","29.08","49.95"
"Anton Babchuk","8-9","CAR","D","72","972.1","5","11","16","10","0.99","0.62","30.75","1.9","1033","882","151","53.94","2.27","41","33","8","55.41","9.06","42.61","36.98","5.63","53.54","4.11","6","8","2","185","11.42","3.84","0.24","5.95","99.59","56.12","29.92","28.52","51.45","28.76","49.1"
"Anton Stralman","8-9","TOR","D","37","418.58","1","5","6","2","0.86","0.29","9.5","1.36","421","374","47","52.96","5.39","19","20","-1","48.72","2.49","14.59","15.36","-0.77","48.71","2.37","6","6","--","69","9.89","1.29","0.18","3.33","97.87","63.84","25.08","27.8","49.76","28.46","49.26"
"Anton Volchenkov","8-9","OTT","D","68","1063.25","2","4","6","6","0.34","0.34","11.75","0.66","879","870","9","50.26","1.25","23","35","-12","39.66","-10.99","35.32","33.68","1.64","51.19","1.18","17","3","-14","150","8.46","4.18","0.24","3.12","97.01","47.57","35.03","29.03","49.21","29.41","49.53"
"Antti Miettinen","8-9","MIN","R","82","1034.8","8","16","24","20","1.39","1.16","21.84","1.27","821","903","-82","47.62","0.62","32","34","-2","48.48","1.61","27.78","33.13","-5.35","45.61","-1.63","8","4","-4","228","13.22","8.52","0.49","6.3","100.27","46.52","27.49","31.34","47.46","29.73","50.44"
"Antti Pihlstrom","8-9","NSH","L","53","564.17","1","5","6","4","0.64","0.43","17.04","1.81","529","417","112","55.92","7.43","12","13","-1","48","-4.63","19.69","16.06","3.63","55.08","5.83","2","6","4","143","15.21","5.73","0.61","1.19","98.43","57.02","22.77","29.38","47.6","28.33","49.85"
"Anze Kopitar","8-9","L.A","C","82","1148.25","17","19","36","29","1.88","1.52","48.23","2.52","1140","965","175","54.16","5.21","49","51","-2","49","5.38","48.28","37.87","10.41","56.04","7.21","8","19","11","280","14.63","14.72","0.77","11.41","98.21","52.83","31.9","30.84","49.14","30.12","50.22"
"Arron Asham","8-9","PHI","R","78","660.87","8","12","20","15","1.82","1.36","16.77","1.52","545","590","-45","48.02","0.47","30","31","-1","49.18","-0.18","23.77","24.1","-0.33","49.66","2.01","37","36","-1","105","9.53","5.46","0.5","11.59","100.2","53.35","19.39","27.77","46.82","27.79","49.25"
"Artem Anisimov","8-9","NYR","C","1","9.45","--","--","--","--","--","--","0.06","0.38","4","4","--","50","-19.12","--","--","--","--","--","0.16","0.2","-0.04","44.44","-20.43","--","--","--","1","6.35","0.07","0.44","--","100","66.67","19.2","26.59","50.4","28.08","46.58"
"Barret Jackman","8-9","STL","D","82","1408.23","2","12","14","9","0.6","0.38","10.4","0.44","1159","1221","-62","48.7","1.23","46","66","-20","41.07","-12.77","48.61","49.59","-0.98","49.5","0.11","29","14","-15","144","6.14","3.16","0.13","2.86","97.18","43.31","38.99","27.84","47.43","29.59","50.72"
"Barry Tallackson","8-9","N.J","R","4","15","--","--","--","--","--","--","0.66","2.64","21","9","12","70","15.51","--","--","--","--","--","0.57","0.19","0.38","75","21.35","--","--","--","1","4","0.05","0.2","--","100","88.89","8.33","26.3","49.9","27.39","46.51"
"Ben Eager","8-9","CHI","L","75","619.52","10","4","14","13","1.36","1.26","18.3","1.77","537","465","72","53.59","-2.64","22","21","1","51.16","-4.34","21.6","22.42","-0.82","49.07","-5.18","42","30","-12","126","12.2","6.3","0.61","13.16","100.27","63.86","18.6","27.17","52.56","27.94","49.42"
"Ben Guite","8-9","COL","R","50","501.17","5","7","12","8","1.44","0.96","11.21","1.34","402","440","-38","47.74","-0.15","17","17","--","50","11.31","13.64","16.47","-2.83","45.3","-4.81","12","8","-4","94","11.25","3.48","0.42","9.43","99.89","43.01","21.96","28.44","45.55","28.33","50.16"
"Benjamin Ondrus","8-9","TOR","R","11","76.77","--","--","--","--","--","--","-1.81","-1.41","57","94","-37","37.75","-12.37","--","3","-3","--","-50","1.78","3.75","-1.97","32.19","-14.84","6","7","1","7","5.47","0.28","0.22","--","94.34","56.76","14.77","26.64","48.05","27.87","49.45"
"Ben Lovejoy","8-9","PIT","D","2","21.33","--","--","--","--","--","--","-0.4","-1.13","13","22","-9","37.14","-12.86","1","1","--","50","21.43","0.53","0.58","-0.05","47.75","-3.49","--","--","--","--","--","--","--","--","102.78","50","24.99","26.54","48.55","28.17","50.69"
"Ben Maxwell","8-9","MTL","C","7","66","--","--","--","--","--","--","-1.19","-1.08","47","71","-24","39.83","-10.52","--","1","-1","--","-62.5","1.8","2.94","-1.14","37.97","-12.26","1","2","1","9","8.18","0.36","0.33","--","96.88","63.64","22.04","28.02","48.36","28.36","49.71"
"Benoit Pouliot","8-9","MIN","L","37","345.17","3","4","7","5","1.22","0.87","3","0.52","252","311","-59","44.76","-4.07","11","8","3","57.89","16.41","9.23","10.92","-1.69","45.81","-3.43","6","2","-4","39","6.78","1.81","0.31","14.29","103.88","44.57","20.81","28.09","46.7","27.89","48.98"
"Ben Walter","8-9","NYI","C","4","35.87","--","--","--","--","--","--","-0.75","-1.25","24","37","-13","39.34","-4.99","--","2","-2","--","-25","0.42","2.27","-1.85","15.61","-23.6","--","--","--","6","10.04","0.08","0.13","--","90.91","36","18.47","28.71","44.46","28.54","49.46"
"Bill Guerin","8-9","NYI/ PIT","R","78","935.52","13","12","25","22","1.6","1.41","22.93","1.47","863","974","-111","46.98","-0.3","37","40","-3","48.05","4.17","34.48","40.48","-6","46","-3.33","21","12","-9","257","16.48","11.26","0.72","8.72","99.93","51.63","27.22","30.56","46.16","29.33","49.61"
"B J..crombeen","8-9","DAL/ STL","R","81","923.43","10","8","18","15","1.17","0.97","18.55","1.21","760","779","-19","49.38","1.61","25","35","-10","41.67","-8.09","29.19","29.77","-0.58","49.51","0.09","39","34","-5","202","13.12","8.64","0.56","8.85","97.87","46.14","26.12","30.3","46.78","29.61","50.86"
"Blair Betts","8-9","NYR","C","81","570.9","4","3","7","6","0.74","0.63","7.7","0.81","430","476","-46","47.46","-6.19","12","23","-11","34.29","-15.49","18.83","21.5","-2.67","46.69","-6.28","3","6","3","107","11.25","6.03","0.63","5.97","96.38","43.04","15.9","26.4","49.76","28.32","49.24"
"Blake Comeau","8-9","NYI","L","53","669.85","5","12","17","12","1.52","1.07","8.02","0.72","565","692","-127","44.95","-1.78","23","37","-14","38.33","-7.47","22.9","28.33","-5.43","44.7","-2.47","8","8","--","122","10.93","6.01","0.54","8.62","97.88","45.71","27.56","30.11","45.77","29.12","50.09"
"Blake Wheeler","8-9","BOS","R","80","887.15","15","21","36","27","2.43","1.83","42.7","2.89","870","799","71","52.13","1.96","57","24","33","70.37","15.92","40.02","33.17","6.85","54.68","5.07","18","13","-5","190","12.85","11.05","0.75","11.81","106.19","53.83","24.06","29.57","50.37","29.08","49.42"
"Bobby Holik","8-9","N.J","C","62","598.42","4","4","8","5","0.8","0.5","12.4","1.24","526","458","68","53.46","1.09","13","13","--","50","-1.5","21.41","19.62","1.79","52.18","-0.8","31","10","-21","117","11.73","5.3","0.53","5.26","99.46","49.31","21.13","28.41","48.98","27.7","49.06"
"Bobby Ryan","8-9","ANA","R","64","776.87","18","15","33","26","2.55","2.01","44.08","3.4","736","587","149","55.63","6.36","50","31","19","61.73","15.52","33.1","27.18","5.92","54.91","3.95","11","18","7","209","16.14","11.11","0.86","14.52","103.44","61.18","27.05","30.39","50.28","28.94","50.05"
"Boris Valabik","8-9","ATL","D","50","650.07","--","5","5","4","0.46","0.37","-4.88","-0.45","497","636","-139","43.87","-2.51","19","33","-14","36.54","-15.54","20.66","28.87","-8.21","41.71","-4.99","45","26","-19","48","4.43","0.54","0.05","--","97.9","37.79","29.33","27.13","46.87","28.87","49.45"
"Boyd Devereaux","8-9","TOR","C","23","255.83","3","5","8","6","1.88","1.41","6.91","1.62","234","276","-42","45.88","-3.3","10","11","-1","47.62","1.14","9.14","9.58","-0.44","48.82","2.29","1","4","3","53","12.43","1.98","0.46","8.57","99.3","53.97","23.97","29.09","49.22","28.82","49.68"
"Boyd Gordon","8-9","WSH","C","63","586","4","7","11","8","1.13","0.82","10.74","1.1","441","492","-51","47.27","-8.72","13","19","-6","40.62","-14.99","16.84","18.05","-1.21","48.27","-6.35","5","5","--","106","10.85","5.69","0.58","6.25","98.47","43.53","20.75","27.31","54.01","28.28","49.08"
"Boyd Kane","8-9","PHI","L","1","8.2","--","--","--","--","--","--","-0.1","-0.73","7","10","-3","41.18","-11.2","--","--","--","--","--","0.05","0.22","-0.17","18.52","-32.55","--","--","--","2","14.63","--","--","--","100","--","16.54","26.49","39.45","26.34","49.27"
"Brad Boyes","8-9","STL","R","82","1117.42","13","17","30","24","1.61","1.29","30.22","1.62","1003","987","16","50.4","3.66","40","55","-15","42.11","-9.92","43.06","40.26","2.8","51.68","3.41","8","12","4","244","13.1","11.91","0.64","10","96.81","46.68","30.94","30.13","48.42","29.49","50.3"
"Brad Lukowich","8-9","S.J","D","58","824.33","--","5","5","4","0.36","0.29","15.82","1.15","752","627","125","54.53","1.26","24","26","-2","48","-2","31.84","24.74","7.1","56.27","0.73","5","4","-1","88","6.41","1.85","0.13","--","98.01","54.57","30.83","28.51","54.63","28.94","49.42"
