year,team,rpi,penaltykill_post_allstar
2018,Chicago Blackhawks,0.54,74.1
2018,Edmonton Oilers,0.539,85.1
2018,New York Rangers,0.535,80.9
2018,Vancouver Canucks,0.531,79.1
2018,Detroit Red Wings,0.527,74.8
2018,Arizona Coyotes,0.527,80.2
2018,Montreal Canadiens,0.525,67.9
2018,Ottawa Senators,0.519,78.1
2018,Buffalo Sabres,0.512,76.7
2019,Tampa Bay Lightning,0.61,87.2
2019,Boston Bruins,0.578,81.7
2019,Calgary Flames,0.576,81
2019,Washington Capitals,0.574,82.4
2019,New York Islanders,0.573,82.1
2019,Toronto Maple Leafs,0.568,77.9
2019,Pittsburgh Penguins,0.568,76.4
2019,Nashville Predators,0.567,84.8
2019,Carolina Hurricanes,0.567,85
2019,San Jose Sharks,0.567,80
2019,Columbus Blue Jackets,0.566,90.1
2019,Winnipeg Jets,0.565,78.2
2019,St Louis Blues,0.565,85.3
2019,Montreal Canadiens,0.562,84
2019,Dallas Stars,0.557,82.2
2019,Vegas Golden Knights,0.555,75.3
2019,Colorado Avalanche,0.552,82.3
2019,Florida Panthers,0.547,82.4
2019,Arizona Coyotes,0.544,81.5
2019,Minnesota Wild,0.543,77.3
2019,Chicago Blackhawks,0.543,70.2
2019,Philadelphia Flyers,0.541,84.7
2019,Vancouver Canucks,0.537,84.9
2019,Anaheim Ducks,0.535,78.1
2019,New York Rangers,0.535,82.2
2019,Edmonton Oilers,0.534,70.7
2019,Buffalo Sabres,0.532,80
2019,Detroit Red Wings,0.529,76.3
2019,New Jersey Devils,0.527,86.4
2019,Los Angeles Kings,0.523,80.7
2019,Ottawa Senators,0.515,85.2
