year,team,scf,sca,hdcf,hdca
2019,Carolina Hurricanes,29.64,24.86,51.2,11.68
2019,Chicago Blackhawks,26.84,30.12,49.34,14.18
2019,Ottawa Senators,24.35,29.34,44.58,15.09
2019,Columbus Blue Jackets,26.47,24.77,51.91,13.37
2019,Detroit Red Wings,23.56,28.07,47.76,13.23
2019,Winnipeg Jets,24.58,25.86,51.88,14.49
2019,St Louis Blues,27.88,25.25,51.78,12.35
2019,Arizona Coyotes,24.86,26.23,45.9,11.53
2019,Dallas Stars,25.68,25.41,50.45,10.4
2019,Minnesota Wild,25.12,22.58,48.31,11.44
2019,Colorado Avalanche,26.87,25.51,49.95,11.89
2019,Philadelphia Flyers,24.23,26.6,47.79,15.03
2019,Vegas Golden Knights,30.04,24.53,51.2,11.4
2019,Los Angeles Kings,23.31,26.92,44.63,13.16
2019,Florida Panthers,23.97,25.06,46.66,14.62
2019,Tampa Bay Lightning,29.43,26.36,55.77,15.17
2019,Edmonton Oilers,24.33,27.07,46.8,13.11
2019,New Jersey Devils,23.28,25.8,44.13,11.79
