team,elo_rating,year
Columbus Blue Jackets,1488.5378471590768,2016
Vancouver Canucks,1450.4154611437045,2016
Edmonton Oilers,1474.9337290316275,2016
Toronto Maple Leafs,1462.396627937197,2016
Washington Capitals,1527.6092750980908,2017
Pittsburgh Penguins,1517.4843154770685,2017
Chicago Blackhawks,1511.6132132605837,2017
Columbus Blue Jackets,1511.2976130974519,2017
Minnesota Wild,1489.1445098870006,2017
Anaheim Ducks,1540.8002591061982,2017
Edmonton Oilers,1542.6200249920241,2017
Montreal Canadiens,1522.4763623339034,2017
New York Rangers,1494.8259474448796,2017
San Jose Sharks,1497.126533658612,2017
St. Louis Blues,1539.275570239582,2017
Ottawa Senators,1506.1582669467048,2017
Boston Bruins,1532.676309787957,2017
Toronto Maple Leafs,1514.4832157525716,2017
Calgary Flames,1523.529652980023,2017
Tampa Bay Lightning,1528.1118914032163,2017
Nashville Predators,1518.053164330915,2017
New York Islanders,1519.9296446729568,2017
Philadelphia Flyers,1498.5674575565085,2017
Winnipeg Jets,1524.1092891188075,2017
Carolina Hurricanes,1483.981036968899,2017
Los Angeles Kings,1483.1368528380208,2017
Florida Panthers,1474.9169464525216,2017
Dallas Stars,1487.55213316323,2017
Detroit Red Wings,1472.3754718660898,2017
Buffalo Sabres,1470.8456336226034,2017
Arizona Coyotes,1474.0550724459194,2017
New Jersey Devils,1427.7285460350417,2017
Vancouver Canucks,1433.042906989645,2017
Colorado Avalanche,1432.4728824729739,2017
Nashville Predators,1549.236577788101,2018
Winnipeg Jets,1550.4699162972981,2018
Tampa Bay Lightning,1505.979203048388,2018
Boston Bruins,1515.370050127761,2018
Vegas Golden Knights,1501.201066283792,2018
Toronto Maple Leafs,1522.6298134446367,2018
Washington Capitals,1530.8075862519522,2018
Minnesota Wild,1520.0477245938744,2018
Anaheim Ducks,1543.1831016359167,2018
Pittsburgh Penguins,1525.8317039231217,2018
San Jose Sharks,1509.0575206934268,2018
Los Angeles Kings,1519.363710208047,2018
Philadelphia Flyers,1513.299143257977,2018
Columbus Blue Jackets,1531.5306541713546,2018
New Jersey Devils,1522.5257516754943,2018
Florida Panthers,1539.3539087813938,2018
Colorado Avalanche,1499.5483385531354,2018
St. Louis Blues,1486.6870808101098,2018
Dallas Stars,1482.3255822765664,2018
Calgary Flames,1456.9555558272436,2018
Carolina Hurricanes,1475.387439133929,2018
New York Islanders,1474.3252570278585,2018
Edmonton Oilers,1487.8449820083986,2018
New York Rangers,1456.0420308453931,2018
Chicago Blackhawks,1462.2352993003533,2018
Vancouver Canucks,1482.7832339618587,2018
Detroit Red Wings,1449.8204142205984,2018
Montreal Canadiens,1462.2879534650888,2018
Arizona Coyotes,1511.8332402746041,2018
Ottawa Senators,1460.617794402327,2018
Buffalo Sabres,1451.4183657099995,2018
Tampa Bay Lightning,1566.0839010467269,2019
Calgary Flames,1522.7238778822125,2019
Boston Bruins,1541.0882691721467,2019
Washington Capitals,1538.1568816014321,2019
New York Islanders,1508.8952044306684,2019
San Jose Sharks,1488.5598161517369,2019
Nashville Predators,1509.2211456852544,2019
Toronto Maple Leafs,1489.1768943315442,2019
Pittsburgh Penguins,1514.1537840778344,2019
Winnipeg Jets,1494.7758876884982,2019
Carolina Hurricanes,1532.280396439868,2019
St. Louis Blues,1534.245209602786,2019
Columbus Blue Jackets,1515.6521598326074,2019
Montreal Canadiens,1504.9387311864157,2019
Dallas Stars,1515.395588776373,2019
Vegas Golden Knights,1494.7160273489085,2019
Colorado Avalanche,1522.7118436724932,2019
Arizona Coyotes,1505.5240946256863,2019
Florida Panthers,1510.4838178369562,2019
Chicago Blackhawks,1493.9725075644897,2019
Minnesota Wild,1480.6013640061194,2019
Philadelphia Flyers,1474.891365141345,2019
Vancouver Canucks,1472.6976153543033,2019
Anaheim Ducks,1511.626569501894,2019
Edmonton Oilers,1483.7259210846062,2019
New York Rangers,1470.356371793481,2019
Buffalo Sabres,1436.3621977042656,2019
Detroit Red Wings,1473.2861790893796,2019
New Jersey Devils,1463.9523671172117,2019
Los Angeles Kings,1468.836033161578,2019
Ottawa Senators,1460.9079770911783,2019
