year,team,weighted_goalie_save_percentage,weighted_GPS,player_points
2008,Calgary Flames,0.9060496267903975,10.922049626790397,7.378048780487805
2008,Boston Bruins,0.9148627332931969,9.871763997591811,6.817073170731708
2008,Carolina Hurricanes,0.8987937601296596,8.444611021069692,8.487804878048781
2008,Nashville Predators,0.9103054545454546,7.524525252525252,7.7317073170731705
2008,Buffalo Sabres,0.902233888777354,11.078558522385064,8.597560975609756
2008,Vancouver Canucks,0.9137556806756485,12.462034988940278,6.804878048780488
2008,Edmonton Oilers,0.9073817527010803,7.735894357743097,7.317073170731708
2008,Chicago Blackhawks,0.9054692556634305,6.491828478964401,7.670731707317073
2008,Florida Panthers,0.9220124848973017,13.991260571888846,6.878048780487805
2008,Phoenix Coyotes,0.9134393145161291,8.840967741935485,6.951219512195122
2008,Toronto Maple Leafs,0.8965282485875707,8.127522195318804,7.646341463414634
