team,iCF/60_mean,P1_mean,P1/60_mean,GS_mean,GS/60_mean,CF_mean,Rel CF%_mean,ixGF/60_mean,ZSR_mean,CF% QoT_mean,CF% QoC_mean,TOI% QoT_mean,TOI% QoC_mean,iCF/60_sd,P1_sd,P1/60_sd,GS_sd,GS/60_sd,CF_sd,Rel CF%_sd,ixGF/60_sd,ZSR_sd,CF% QoT_sd,CF% QoC_sd,TOI% QoT_sd,TOI% QoC_sd,iCF/60_max,P1_max,P1/60_max,GS_max,GS/60_max,CF_max,Rel CF%_max,ixGF/60_max,ZSR_max,CF% QoT_max,CF% QoC_max,TOI% QoT_max,TOI% QoC_max,year
VAN,10.1625,7.305555555555555,0.6313888888888889,9.035555555555556,0.8663888888888889,494.47222222222223,0.24027777777777773,0.4127777777777778,52.08361111111111,47.778888888888886,49.86416666666667,28.58388888888889,28.56833333333333,2.786692227611182,7.898713980116163,0.5401912506710815,9.180731824064836,1.2835668000375868,382.11647335118806,8.407828830020305,0.2393158237393915,13.709626055706318,1.3873237911847769,0.7819366982051679,1.3987449022560552,0.48721072003219096,15.49,28,1.71,29.09,5.94,1141,37.76,0.84,100,51.3,52.92,30.85,29.49,2017
WPG,9.799666666666667,10.5,0.7986666666666666,14.690333333333333,0.9696666666666667,579.2,-0.843,0.43333333333333335,49.50966666666667,48.68666666666667,49.907000000000004,28.891,28.538333333333334,2.4115004391075887,10.344913792744256,0.5414968610940534,15.80763793634067,1.016957881789277,397.9633842106756,3.7555578583728684,0.24818421041406033,10.964676664991819,1.3004225661586741,0.5460210302884324,2.4212996652553183,0.6760589819878411,14.64,35,1.75,51.72,2.61,1436,8.18,0.85,100,51.55,52.14,32.65,29.39,2017
WSH,9.876206896551723,12.413793103448276,0.8165517241379311,22.099655172413794,1.46,660.8965517241379,-1.2327586206896552,0.416551724137931,51.28,51.93,49.57103448275862,28.17241379310345,28.38758620689655,4.1973115662571985,10.851323952730079,0.6665865920711759,17.266457880352593,1.0061383034723834,461.97899958668387,5.566366406855504,0.2444713810605149,15.038056247876112,1.2671396360081457,0.42731173655429144,1.3986796201428533,0.8465081856511397,19.54,31,2.08,46.52,2.89,1409,11.07,0.86,90.91,54.58,50.17,30.85,29.73,2017
ANA,10.013783783783785,8.756756756756756,0.8278378378378378,12.152702702702703,0.7289189189189189,553.7837837837837,-2.6305405405405407,0.4318918918918919,50.52,48.024324324324326,49.76972972972973,28.52891891891892,28.35135135135135,3.1684375323487757,9.396823947499511,0.6356717144316935,14.18694698357313,1.100307491829705,442.13026833069705,4.958850643011917,0.25497099876301654,8.026408149214552,1.1281709399154323,0.8971513141496704,1.8825570432316312,0.8899068682925394,16.71,31,2.39,44.41,3.05,1280,5.42,0.82,71.43,49.95,51.45,32.24,29.69,2018
ARI,10.1190625,8.875,0.645,11.421875,0.703125,620.34375,-1.9109375,0.3828125,48.6965625,48.13,50.0253125,28.4971875,28.64375,3.2028015552667877,7.962614257042194,0.4782022787010103,11.130164024383353,0.9469252022782356,442.5628885054169,6.838256408299207,0.25094960778044917,12.270819729532231,0.8006569882935056,0.7411193990914544,1.1532653063954905,0.4122773103690781,15.16,26,1.46,40.03,2.65,1391,8.75,0.85,100,50.09,52.7,30.24,29.45,2018
BOS,11.340571428571428,10.4,0.8728571428571429,20.151142857142858,1.5862857142857143,635.4285714285714,-1.4317142857142857,0.49028571428571427,54.00228571428571,51.92657142857143,49.614,28.645714285714284,28.562571428571427,3.8859838203601464,10.178408519999579,0.6461313444538302,18.01335709826405,1.0887609949854378,419.1334397732236,4.255961552868611,0.2737161014658814,11.28837743921083,1.5843034150453528,0.6571560831697889,1.2837405952786514,0.6631712708296265,19.24,41,2.19,64.15,3.53,1328,5.01,1.07,70.87,53.95,51.07,31.39,29.83,2018
BUF,9.728571428571428,6.8,0.6288571428571429,8.268571428571429,0.6825714285714286,493.0571428571429,-0.9674285714285714,0.38085714285714284,51.70914285714286,47.33857142857143,49.92057142857143,28.516000000000002,28.523714285714284,3.3292828611801517,7.622721453191188,0.5510138859602437,11.75525342956405,0.9008275373792924,390.34637279767634,4.617440303672934,0.2666609593226777,9.817277797910403,0.6900133965329647,0.41119583753574507,1.3271025493422084,0.5044920900346834,17.62,27,1.75,42.53,2.76,1280,9.39,1.15,77.78,48.45,51.21,30.78,29.5,2018
CAR,12.346551724137932,10.241379310344827,1.0413793103448274,22.35896551724138,1.9782758620689656,735.3448275862069,0.8555172413793103,0.5320689655172414,59.76655172413793,53.99206896551724,49.68793103448276,28.376206896551725,28.341724137931035,4.209386853774438,10.052203640473895,1.6892744091936778,18.2486749704558,1.9450285876810531,528.103431147865,6.062220589264828,0.35070723759635053,11.625192863488353,1.4473606010112363,0.7616212937371771,1.3860669273500448,0.8950381834054313,24.3,36,9.11,54.03,10.63,1560,16.13,1.35,100,55.88,51.85,30.56,29.58,2018
CBJ,11.3003125,11.28125,0.7725,19.6921875,1.468125,691.5625,-0.4453125,0.508125,53.3746875,50.459375,49.8203125,28.3671875,28.5325,3.5403302965784094,10.333891547530826,0.5672741841473133,18.325859876736317,0.8884435012079888,477.02667386703354,5.235299531976764,0.30755474204576766,10.011514333707577,1.0758580596510536,0.6328659052534416,1.5451970004375786,0.5289490493177896,19.2,40,2.12,67.55,3.13,1553,13.89,1.34,80,52.55,52.18,31.3,29.42,2018
CGY,11.830645161290322,9.741935483870968,0.7803225806451612,19.61935483870968,1.4990322580645161,705.1290322580645,-0.9732258064516129,0.5490322580645162,51.292580645161294,52.21806451612903,49.81516129032258,28.328387096774193,28.376451612903224,2.55185806225434,9.892649601043809,0.6201154939254877,18.761850821189235,0.9111909965852738,525.029443106796,4.7133826403103,0.28501876942533305,8.674477877752237,1.4353243985358353,0.41353654387282346,1.914713375894146,0.6960533906106953,17.4,38,2.19,60.06,3.62,1702,9.95,1.21,71.43,55.36,51.11,31.83,29.43,2018
