year,team,blocks_at_ES,hits_at_ES,faceoff_win_percentage,give_aways,take_aways,win_percent_lead_1P,win_percent_lead_2P,win_percent_trail_1P,win_percent_trail_2P,ot_losses_lead_1P,ot_losses_lead_2P
2006,Tampa Bay Lightning,12.91,11.71,49.7,0.10097560975609755,0.08926829268292684,0.833,0.839,0.25,0.143,0.012195121951219513,0.024390243902439025
2006,New York Islanders,13.93,18.27,52,0.10426829268292684,0.10804878048780488,0.64,0.852,0.172,0.031,0.012195121951219513,0.012195121951219513
2006,Nashville Predators,13.14,13.91,45.9,0.08914634146341463,0.07951219512195122,0.706,0.857,0.524,0.3,0.04878048780487805,0.04878048780487805
2006,Edmonton Oilers,13.93,14.36,49.5,0.18414634146341463,0.09548780487804878,0.696,0.84,0.259,0.273,0.036585365853658534,0.024390243902439025
2006,Minnesota Wild,12.3,10.2,47.5,0.10231707317073171,0.07646341463414634,0.783,0.828,0.217,0.133,0.012195121951219513,0.024390243902439025
2006,Pittsburgh Penguins,14.67,15.9,48.7,0.08926829268292684,0.059024390243902436,0.722,0.81,0.056,0,0.036585365853658534,0.036585365853658534
2006,Los Angeles Kings,12.25,16.38,49.5,0.12146341463414635,0.056951219512195124,0.786,0.893,0.233,0.286,0.012195121951219513,0
2007,Anaheim Ducks,8.72,18.36,47.6,0.10658536585365853,0.08329268292682927,0.724,0.842,0.45,0.2,0.06097560975609756,0.06097560975609756
2007,Tampa Bay Lightning,12.08,15.31,50.1,0.11390243902439025,0.10682926829268292,0.769,0.815,0.371,0.303,0.024390243902439025,0.036585365853658534
2007,Pittsburgh Penguins,14.76,16.44,51.9,0.08719512195121952,0.06304878048780488,0.676,0.848,0.429,0.2,0.07317073170731707,0.06097560975609756
2007,Montreal Canadiens,15.07,21.3,52.7,0.12378048780487805,0.11182926829268293,0.737,0.867,0.297,0.263,0.024390243902439025,0.024390243902439025
2007,New York Rangers,16.58,21.32,47.7,0.11499999999999999,0.09073170731707318,0.645,0.771,0.25,0.258,0.04878048780487805,0.06097560975609756
2007,Toronto Maple Leafs,12.43,22.37,50.1,0.135,0.07865853658536585,0.769,0.8,0.174,0.125,0.036585365853658534,0.04878048780487805
2007,Columbus Blue Jackets,11.98,16.92,51.9,0.06487804878048781,0.07304878048780489,0.8,0.808,0.094,0.14,0.036585365853658534,0.04878048780487805
2007,Nashville Predators,12.15,14.93,49.2,0.09402439024390244,0.08756097560975609,0.744,0.854,0.412,0.2,0.036585365853658534,0.06097560975609756
2007,Colorado Avalanche,15.08,11.62,51.5,0.09524390243902439,0.1002439024390244,0.692,0.818,0.417,0.13,0.024390243902439025,0.024390243902439025
2007,Detroit Red Wings,10.05,15.29,48.6,0.14439024390243901,0.09560975609756098,0.741,0.892,0.5,0.321,0.04878048780487805,0.036585365853658534
2007,Boston Bruins,12.42,16.55,48.4,0.09268292682926829,0.07134146341463414,0.607,0.72,0.185,0.143,0.036585365853658534,0.06097560975609756
2007,Washington Capitals,13.42,18.68,51.1,0.1353658536585366,0.09695121951219512,0.594,0.778,0.129,0.049,0.07317073170731707,0.06097560975609756
2007,Buffalo Sabres,14.95,15.24,50.3,0.14426829268292682,0.07390243902439024,0.893,0.848,0.471,0.263,0,0.024390243902439025
2007,San Jose Sharks,12.78,17.74,53.6,0.12097560975609756,0.07060975609756098,0.853,0.891,0.308,0.136,0.024390243902439025,0.036585365853658534
2007,Edmonton Oilers,15.52,15.69,47.8,0.18865853658536585,0.11304878048780487,0.682,0.917,0.212,0.091,0.04878048780487805,0.024390243902439025
2007,Phoenix Coyotes,12.82,17.17,49.8,0.10219512195121952,0.07207317073170733,0.714,0.792,0.171,0.114,0.024390243902439025,0.04878048780487805
2007,Ottawa Senators,14.98,22.23,48.9,0.11902439024390243,0.09999999999999999,0.789,0.8,0.438,0.154,0.04878048780487805,0.04878048780487805
2007,Minnesota Wild,12.01,11.98,47.9,0.09792682926829267,0.08024390243902439,0.815,0.966,0.423,0.185,0.012195121951219513,0
2007,Philadelphia Flyers,15.21,15.87,52.3,0.14182926829268294,0.0851219512195122,0.625,0.923,0.108,0.044,0.06097560975609756,0.012195121951219513
2007,New Jersey Devils,13.46,16.1,52.9,0.11926829268292682,0.09268292682926829,0.783,0.912,0.375,0.192,0.036585365853658534,0.012195121951219513
2007,Calgary Flames,12.41,17.96,51.1,0.13439024390243903,0.09841463414634147,0.806,0.933,0.273,0.148,0.012195121951219513,0.012195121951219513
2007,New York Islanders,15.66,21.66,50.3,0.11304878048780487,0.11146341463414634,0.821,0.829,0.206,0.156,0.04878048780487805,0.06097560975609756
2007,Dallas Stars,12.45,20.01,49.5,0.11890243902439024,0.0998780487804878,0.893,0.882,0.345,0.323,0.024390243902439025,0.012195121951219513
2007,Atlanta Thrashers,15.47,17.96,51.4,0.12951219512195122,0.1198780487804878,0.667,0.727,0.367,0.219,0.06097560975609756,0.06097560975609756
2007,Florida Panthers,12.27,21.34,48.3,0.11048780487804878,0.08195121951219513,0.64,0.765,0.148,0.097,0.07317073170731707,0.06097560975609756
2007,Carolina Hurricanes,13.04,23.57,47,0.10817073170731706,0.08024390243902439,0.885,0.9,0.344,0.156,0.024390243902439025,0
2007,Los Angeles Kings,13.74,18.06,47.1,0.12207317073170731,0.055365853658536586,0.571,0.708,0.118,0.075,0.06097560975609756,0.06097560975609756
2007,Chicago Blackhawks,12.19,16.26,49.9,0.0625609756097561,0.05048780487804878,0.571,0.739,0.179,0.186,0.036585365853658534,0.024390243902439025
2007,St Louis Blues,14.53,16.27,51.6,0.11963414634146342,0.06878048780487804,0.5,0.767,0.2,0.143,0.08536585365853659,0.04878048780487805
2007,Vancouver Canucks,10.43,14.44,49,0.08231707317073171,0.07060975609756098,0.778,0.833,0.24,0.227,0.024390243902439025,0.06097560975609756
2008,Colorado Avalanche,13,14.05,47.3,0.08670731707317074,0.09414634146341463,0.778,0.875,0.324,0.25,0.012195121951219513,0.024390243902439025
