year,team,average_age,regular_season_winpercentage,otl,points,points_percentage_ofmax,goals_for,goals_against,goal_diff,srs,sos,penalty_mins_pg,powerplay_goals,powerplay_oppurtunities,powerplay_percentage,penaltykill_percentage,sog,shot_percentage
2014,San Jose Sharks,28.7,0.6219512195121951,0.10975609756097561,1.353658536585366,0.677,2.9146341463414633,2.3536585365853657,0.5609756097560976,0.6,0,9,0.6097560975609756,3.548780487804878,17.18,84.93,34.76829268292683,8.4
2014,Pittsburgh Penguins,28.3,0.6219512195121951,0.08536585365853659,1.329268292682927,0.665,2.951219512195122,2.4878048780487805,0.46341463414634143,0.47,-0.04,10.1,0.7926829268292683,3.3902439024390243,23.38,85.04,29.926829268292682,9.9
2014,Chicago Blackhawks,27.5,0.5609756097560976,0.18292682926829268,1.3048780487804879,0.652,3.182926829268293,2.5853658536585367,0.5975609756097562,0.6,0.02,8.5,0.6097560975609756,3.1341463414634148,19.46,81.45,33.109756097560975,9.6
2014,Tampa Bay Lightning,27.1,0.5609756097560976,0.10975609756097561,1.2317073170731707,0.616,2.8292682926829267,2.548780487804878,0.2804878048780486,0.25,-0.06,10.3,0.6097560975609756,3.292682926829268,18.52,80.74,29.829268292682926,9.5
2014,Los Angeles Kings,27.4,0.5609756097560976,0.0975609756097561,1.2195121951219512,0.61,2.4146341463414633,2.048780487804878,0.36585365853658525,0.4,0.01,10.7,0.524390243902439,3.4634146341463414,15.14,83.11,31.646341463414632,7.6
2014,Montreal Canadiens,28.3,0.5609756097560976,0.0975609756097561,1.2195121951219512,0.61,2.548780487804878,2.451219512195122,0.09756097560975618,0.08,-0.05,13,0.5853658536585366,3.402439024390244,17.2,85.12,28.414634146341463,9
2014,Minnesota Wild,27.2,0.524390243902439,0.14634146341463414,1.1951219512195121,0.598,2.426829268292683,2.4146341463414633,0.012195121951219523,0.07,0.05,9.5,0.5487804878048781,3.073170731707317,17.86,78.8,26.585365853658537,9.1
2014,New York Rangers,27.4,0.5487804878048781,0.07317073170731707,1.170731707317073,0.585,2.6097560975609757,2.317073170731707,0.29268292682926855,0.26,-0.04,10,0.5853658536585366,3.2195121951219514,18.18,85.34,33.15853658536585,7.9
2014,Philadelphia Flyers,27.7,0.5121951219512195,0.12195121951219512,1.146341463414634,0.573,2.841463414634146,2.768292682926829,0.07317073170731714,-0.01,-0.02,14.2,0.7073170731707317,3.5853658536585367,19.73,84.81,30.365853658536587,9.4
2014,Columbus Blue Jackets,26.1,0.524390243902439,0.08536585365853659,1.1341463414634145,0.567,2.7560975609756095,2.6097560975609757,0.14634146341463383,0.16,-0.03,11.1,0.6585365853658537,3.4146341463414633,19.29,82.14,29.646341463414632,9.3
2014,Detroit Red Wings,28.6,0.47560975609756095,0.18292682926829268,1.1341463414634145,0.567,2.6463414634146343,2.6951219512195124,-0.04878048780487809,-0.14,-0.04,8.8,0.6097560975609756,3.4390243902439024,17.73,83.05,29.951219512195124,8.8
2014,Dallas Stars,28.2,0.4878048780487805,0.13414634146341464,1.1097560975609757,0.555,2.817073170731707,2.7195121951219514,0.09756097560975574,0.14,0.05,11,0.5609756097560976,3.5365853658536586,15.86,81.37,31.670731707317074,8.9
2014,Washington Capitals,26.5,0.4634146341463415,0.17073170731707318,1.0975609756097562,0.549,2.7439024390243905,2.792682926829268,-0.04878048780487765,-0.08,-0.02,11.6,0.8292682926829268,3.548780487804878,23.37,82.04,29.414634146341463,9.3
