team,elo_rating,year
Washington Capitals,1558.9830638498265,2016
Dallas Stars,1540.101523277845,2016
St. Louis Blues,1547.2176129273755,2016
Pittsburgh Penguins,1569.3532910149102,2016
Chicago Blackhawks,1525.8726395106319,2016
Florida Panthers,1528.6892847249665,2016
Anaheim Ducks,1549.7254199965396,2016
Los Angeles Kings,1532.4952589104278,2016
New York Rangers,1522.178769454311,2016
New York Islanders,1519.6259493150578,2016
San Jose Sharks,1523.2236732719582,2016
Tampa Bay Lightning,1522.3662104747673,2016
Nashville Predators,1507.9030800381154,2016
Philadelphia Flyers,1528.6580479223135,2016
Boston Bruins,1498.213789341478,2016
Detroit Red Wings,1499.7076566258613,2016
Minnesota Wild,1480.4162204380302,2016
Carolina Hurricanes,1468.1954763814997,2016
Ottawa Senators,1489.5075649210555,2016
New Jersey Devils,1483.3749300465006,2016
Colorado Avalanche,1461.4649227204902,2016
Montreal Canadiens,1463.5687714600808,2016
Buffalo Sabres,1491.5274946009167,2016
Arizona Coyotes,1458.0316629516024,2016
Winnipeg Jets,1466.3433397219221,2016
Calgary Flames,1471.1473506770578,2016
Columbus Blue Jackets,1473.8503591905503,2016
Vancouver Canucks,1433.703743505311,2016
Edmonton Oilers,1446.1180268015025,2016
Toronto Maple Leafs,1438.434865927094,2016
Washington Capitals,1585.3849068312104,2017
Pittsburgh Penguins,1544.6069698419742,2017
Chicago Blackhawks,1530.4468624868596,2017
Columbus Blue Jackets,1539.3892426984758,2017
Minnesota Wild,1527.1734612238088,2017
Anaheim Ducks,1545.9881311415404,2017
Edmonton Oilers,1545.8137902141136,2017
Montreal Canadiens,1519.9023814295779,2017
New York Rangers,1526.016267032004,2017
San Jose Sharks,1509.0462222479414,2017
St. Louis Blues,1537.9657566016879,2017
Ottawa Senators,1506.446958142025,2017
Boston Bruins,1534.9461064872667,2017
Toronto Maple Leafs,1519.0603718096943,2017
Calgary Flames,1519.5962424895856,2017
Tampa Bay Lightning,1518.314897771918,2017
Nashville Predators,1519.6077178154783,2017
New York Islanders,1520.2934035461342,2017
Philadelphia Flyers,1489.5370301221794,2017
Winnipeg Jets,1506.2703703917764,2017
Carolina Hurricanes,1478.2632695856123,2017
Los Angeles Kings,1487.3335192651177,2017
Florida Panthers,1467.3248143007036,2017
Dallas Stars,1470.2080813836185,2017
Detroit Red Wings,1437.4934315114515,2017
Buffalo Sabres,1458.5871439843922,2017
Arizona Coyotes,1438.0734915563376,2017
New Jersey Devils,1415.6135345997677,2017
Vancouver Canucks,1418.9265170901306,2017
Colorado Avalanche,1382.3691063976164,2017
Nashville Predators,1575.657156203811,2018
Winnipeg Jets,1571.5952123147083,2018
Tampa Bay Lightning,1537.8990398777735,2018
Boston Bruins,1551.0753191808276,2018
Vegas Golden Knights,1528.9909175692428,2018
Toronto Maple Leafs,1537.5190476073262,2018
Washington Capitals,1539.7166819187557,2018
Minnesota Wild,1530.6903386809006,2018
Anaheim Ducks,1543.3391612177184,2018
Pittsburgh Penguins,1538.0363511609492,2018
San Jose Sharks,1515.036225807032,2018
Los Angeles Kings,1524.4745740079038,2018
Philadelphia Flyers,1523.5112701393386,2018
Columbus Blue Jackets,1524.2793532555406,2018
New Jersey Devils,1515.235543540709,2018
Florida Panthers,1533.1461443745231,2018
Colorado Avalanche,1509.374604214789,2018
St. Louis Blues,1493.1290586362754,2018
Dallas Stars,1500.1752900110062,2018
Calgary Flames,1462.9507414851341,2018
Carolina Hurricanes,1469.1837896546026,2018
New York Islanders,1448.9994798078746,2018
Edmonton Oilers,1468.1480276277193,2018
New York Rangers,1446.3281794500435,2018
Chicago Blackhawks,1448.7132654562554,2018
Vancouver Canucks,1462.4138674596004,2018
Detroit Red Wings,1430.8454816901403,2018
Montreal Canadiens,1442.6798719171288,2018
Arizona Coyotes,1475.51652668781,2018
Ottawa Senators,1431.8324337051974,2018
Buffalo Sabres,1419.5070453393623,2018
Tampa Bay Lightning,1614.695180365272,2019
Calgary Flames,1551.9368920072443,2019
Boston Bruins,1561.597058268445,2019
Washington Capitals,1539.230915169825,2019
New York Islanders,1535.065659083597,2019
San Jose Sharks,1522.7867060104027,2019
Nashville Predators,1519.1809380728184,2019
Toronto Maple Leafs,1510.5377763970116,2019
Pittsburgh Penguins,1523.1271202290693,2019
Winnipeg Jets,1513.2412891334143,2019
Carolina Hurricanes,1543.8335493056393,2019
St. Louis Blues,1544.3898747765402,2019
Columbus Blue Jackets,1533.857689237559,2019
Montreal Canadiens,1514.8351845677971,2019
Dallas Stars,1520.4541313878995,2019
Vegas Golden Knights,1501.579214254757,2019
Colorado Avalanche,1492.4320125038876,2019
Arizona Coyotes,1491.4459616866852,2019
Florida Panthers,1497.6084754960657,2019
Chicago Blackhawks,1481.6541255717948,2019
Minnesota Wild,1471.2908919740366,2019
Philadelphia Flyers,1470.2796703470651,2019
Vancouver Canucks,1458.096135192037,2019
Anaheim Ducks,1469.4626703322128,2019
Edmonton Oilers,1456.0318269659037,2019
New York Rangers,1449.1731047185517,2019
Buffalo Sabres,1424.5180782878456,2019
Detroit Red Wings,1458.5334161626315,2019
New Jersey Devils,1439.8391147622592,2019
Los Angeles Kings,1452.0543622767357,2019
Ottawa Senators,1437.2309754549958,2019
