Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDSV.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2011,quarter-finals,Montreal Canadiens,55.17,64.51,39.75,45.4,20.27,28.04,84.48,7.48,8.39,92.59,0.978,1.87,2.31
2011,quarter-finals,Boston Bruins,64.51,55.17,45.4,39.75,28.04,20.27,82.67,8.39,7.48,94.76,1.022,2.31,1.87
2011,quarter-finals,Tampa Bay Lightning,47.97,69.75,36.64,48.39,21.37,27.37,85.3,9.06,10.38,93.53,1.023,1.95,2.17
2011,quarter-finals,Pittsburgh Penguins,69.75,47.97,48.39,36.64,27.37,21.37,73.82,10.38,9.06,91.26,0.977,2.17,1.95
2011,quarter-finals,Chicago Blackhawks,48.17,59.43,38.09,42.85,20.08,25.12,81.48,8.97,9.4,93.98,1.021,1.99,2.01
2011,quarter-finals,Vancouver Canucks,59.43,48.17,42.85,38.09,25.12,20.08,81.53,9.4,8.97,91.91,0.979,2.01,1.99
2011,quarter-finals,Los Angeles Kings,52.87,64.09,37.71,47.12,20.92,30.89,79.55,8.91,11.32,90.77,1.013,1.92,2.65
2011,quarter-finals,San Jose Sharks,64.09,52.87,47.12,37.71,30.89,20.92,75.99,11.32,8.91,89.45,0.987,2.65,1.92
2011,quarter-finals,Phoenix Coyotes,54.14,67.03,41.22,53.98,26.18,33.65,80.21,8.32,14.87,88.23,0.929,2,2.7
2011,quarter-finals,Detroit Red Wings,67.03,54.14,53.98,41.22,33.65,26.18,94.46,14.87,8.32,95.28,1.071,2.7,2
2011,quarter-finals,Nashville Predators,59.21,49.91,43.53,36.9,25.81,22.21,80.2,12.31,10.19,91.56,1.022,2.58,2.16
2011,quarter-finals,Anaheim Ducks,49.91,59.21,36.9,43.53,22.21,25.81,71.67,10.19,12.31,89.4,0.978,2.16,2.58
2011,semi-finals,New York Rangers,50.4,59.16,32.5,41.91,24.68,28.41,84.82,7.05,12.51,92.41,0.967,1.76,2.65
2011,semi-finals,Washington Capitals,61.06,51.35,42.84,35.08,27.26,25.85,76.47,12.08,8.95,92.25,0.992,2.48,1.98
2011,semi-finals,Buffalo Sabres,54.03,63.36,40.01,46.98,21.04,28.49,83.83,10.45,14.43,90.57,0.973,2.09,2.77
2011,semi-finals,Philadelphia Flyers,60.4,58.4,44.35,42.67,26.99,24.68,77.7,12.07,11.27,89.7,0.967,2.42,2.36
2011,semi-finals,Montreal Canadiens,55.17,64.51,39.75,45.4,20.27,28.04,84.48,7.48,8.39,92.59,0.978,1.87,2.31
2011,semi-finals,Boston Bruins,64.85,55.31,45.94,39.86,28.92,21.73,86.47,9.83,7.74,95.56,1.058,2.47,1.86
2011,semi-finals,Tampa Bay Lightning,49.68,67.75,37.51,46.95,23.6,26.69,85.21,10.07,10.74,93.65,1.037,2.08,2.19
2011,semi-finals,Pittsburgh Penguins,69.75,47.97,48.39,36.64,27.37,21.37,73.82,10.38,9.06,91.26,0.977,2.17,1.95
