"player","position","season","Team","GP","TOI","rel_TM_GF60","rel_TM_GA60","rel_TM_G_diff60","rel_TM_xGF60","rel_TM_xGA60","rel_TM_xG_diff60","rel_TM_SF60","rel_TM_SA60","rel_TM_S_diff60","rel_TM_FF60","rel_TM_FA60","rel_TM_F_diff60","rel_TM_CF60","rel_TM_CA60","rel_TM_C_diff60"
"PIERRE-EDOUARD.BELLEMARE","F","20152016","PHI",74,795.8,-0.65,0.08,-0.73,-0.16,0.11,-0.27,-1.97,0.85,-2.82,-1.33,2.37,-3.7,-2.34,3.18,-5.52
"P.K..SUBBAN","D","20152016","MTL",67,1261.67,0.63,0.09,0.54,0.02,0,0.02,1.5,1.73,-0.23,2.11,1.53,0.58,3.08,0.79,2.29
"QUINTON.HOWDEN","F","20152016","FLA",58,585.07,-0.42,-0.04,-0.38,-0.35,-0.13,-0.22,-2.02,-0.3,-1.73,-2.73,-0.86,-1.87,-3.91,-1.52,-2.39
"RADEK.FAKSA","F","20152016","DAL",45,483.88,0.1,-0.45,0.56,0.15,-0.22,0.37,-0.33,-4.27,3.95,1.48,-3,4.48,0.4,-2.95,3.35
"RADIM.VRBATA","F","20152016","VAN",63,802.13,-0.39,0.6,-0.99,0.12,0.16,-0.05,2.53,1.3,1.23,2.25,0.91,1.34,1.08,1.22,-0.13
"RADKO.GUDAS","D","20152016","PHI",76,1264.07,-0.11,0.06,-0.16,0.03,-0.08,0.11,2.65,-1.36,4.02,3.69,-1.7,5.39,5.31,-2.46,7.77
"RASMUS.RISTOLAINEN","D","20152016","BUF",82,1539.2,-0.11,0.19,-0.3,0,0.11,-0.11,-0.32,1.23,-1.55,-0.79,2.76,-3.56,-0.69,3.67,-4.36
"REID.BOUCHER","F","20152016","N.J",39,468.88,0.05,0.95,-0.9,0.01,0.22,-0.22,0.63,5.79,-5.15,2.2,6.55,-4.34,2.9,8.63,-5.73
"REILLY.SMITH","F","20152016","FLA",82,1090.67,0.06,-0.37,0.43,0.22,0.05,0.17,1.89,-0.63,2.52,1.94,-0.32,2.26,3.74,-1.97,5.71
"RENE.BOURQUE","F","20152016","CBJ",49,494.28,-0.39,0.23,-0.62,-0.22,-0.12,-0.1,-1.48,-1.1,-0.38,-1.32,-2.52,1.2,-2.25,-2.2,-0.05
"RICHARD.PANIK","F","20152016","CHI",30,314.67,0.29,-0.73,1.02,-0.15,0.15,-0.29,-0.66,0.27,-0.93,2.31,-0.3,2.61,0.75,1.35,-0.6
"RICH.CLUNE","F","20152016","TOR",19,149.85,0.12,-0.79,0.91,-0.02,-0.64,0.62,-1.87,-7.02,5.15,-6.29,-6.35,0.05,-5.78,-8.89,3.11
"RICKARD.RAKELL","F","20152016","ANA",72,975.57,0.67,0.44,0.23,0.09,-0.01,0.1,1.82,0.47,1.35,2.12,-0.09,2.21,-0.02,-0.83,0.81
"RICK.NASH","F","20152016","NYR",60,784.67,0.12,0.1,0.02,0.05,0.2,-0.15,0.49,2.56,-2.07,2.05,3,-0.94,2.87,3.92,-1.06
"RILEY.NASH","F","20152016","CAR",64,692.23,-0.12,-0.38,0.26,0.13,-0.21,0.34,-2.31,-2.77,0.46,-2.39,-3.34,0.95,-1.26,-3.42,2.16
"RILEY.SHEAHAN","F","20152016","DET",81,954.38,-0.32,0.36,-0.68,-0.04,0.02,-0.05,-1.1,1.46,-2.56,-1.1,0.37,-1.47,-1.31,0.49,-1.8
"RINAT.VALIEV","D","20152016","TOR",10,121.32,-0.03,-0.61,0.59,-0.79,-0.67,-0.12,0.19,-4.57,4.76,-2.47,-6.38,3.9,-6.4,-4.59,-1.82
"R.J..UMBERGER","F","20152016","PHI",39,370.13,0.42,0.16,0.27,-0.32,0.04,-0.36,-0.55,2.24,-2.79,-2.11,3.39,-5.5,-5.68,3.34,-9.02
"ROBBY.FABBRI","F","20152016","STL",72,845.02,0.38,0.5,-0.12,0.18,0.23,-0.04,1.64,2.19,-0.55,0.91,2.08,-1.17,2.21,1.96,0.25
"ROBERT.BORTUZZO","D","20152016","STL",40,488.08,-0.37,-0.45,0.08,0.03,-0.38,0.4,-0.85,-3.47,2.62,2.49,-3.92,6.41,1.06,-4.47,5.52
"ROB.KLINKHAMMER","F","20152016","EDM",14,125.88,-1.46,0.77,-2.23,-0.61,0.31,-0.92,-7.88,-2.15,-5.73,-10.84,-4.12,-6.72,-10.78,-0.74,-10.05
"ROB.SCUDERI","D","20152016","CHI",17,184.8,-1.07,0.91,-1.98,-0.55,-0.13,-0.42,-2.09,6.04,-8.13,-5.16,2.55,-7.7,-9.8,2.39,-12.19
"ROB.SCUDERI","D","20152016","L.A",21,330.83,0.73,-0.21,0.95,-0.55,-0.22,-0.33,-4.54,-0.72,-3.82,-7.45,0.85,-8.3,-12.22,1.5,-13.72
"ROB.SCUDERI","D","20152016","PIT",25,358.62,-0.2,-0.09,-0.11,-0.28,0.03,-0.31,-4.51,1.45,-5.96,-4.34,2.97,-7.31,-7.01,5.8,-12.8
"ROCCO.GRIMALDI","F","20152016","FLA",20,223.4,-0.46,0.93,-1.39,-0.3,0.07,-0.37,-0.88,2,-2.88,-1.6,0.35,-1.95,-2.22,-3.18,0.96
"ROMAN.JOSI","D","20152016","NSH",81,1538.95,0.05,0.12,-0.07,0.02,0.14,-0.12,0.77,2.9,-2.13,1.4,4.22,-2.82,1.2,6.21,-5
"ROMAN.POLAK","D","20152016","S.J",24,390.8,-1.26,-0.72,-0.54,-0.5,-0.1,-0.41,-3.6,0.6,-4.2,-4.53,-1.68,-2.85,-3.05,-0.27,-2.78
"ROMAN.POLAK","D","20152016","TOR",55,882.67,0.4,-0.54,0.94,-0.05,-0.28,0.23,-1.34,-1.26,-0.07,-3.43,-1.42,-2.01,-3.65,-0.61,-3.05
"RONALDS.KENINS","F","20152016","VAN",8,89.65,-1.15,-1.2,0.04,-0.72,-0.2,-0.52,-2.9,-2.29,-0.61,-3.64,3.76,-7.4,-9.23,1.44,-10.66
"RON.HAINSEY","D","20152016","CAR",81,1527.82,0.11,0.24,-0.13,0.02,-0.03,0.05,0.38,-0.17,0.55,0.38,0.36,0.02,-0.07,0.7,-0.77
"RYAN.CALLAHAN","F","20152016","T.B",73,928.8,-0.18,0.19,-0.38,-0.15,0.1,-0.25,0.05,0.38,-0.33,0.43,0.41,0.02,-0.44,1.39,-1.83
"RYAN.CARTER","F","20152016","MIN",60,547.23,-0.5,-0.1,-0.4,-0.53,0,-0.53,-4.32,0.15,-4.48,-6.17,-0.1,-6.06,-8.11,2.07,-10.18
"RYAN.DZINGEL","F","20152016","OTT",30,312.65,0.63,-0.34,0.97,0.07,-0.08,0.15,-0.16,1.53,-1.7,-3.14,0.35,-3.49,-4.06,-2.17,-1.9
"RYAN.ELLIS","D","20152016","NSH",79,1351.4,0.37,0.12,0.25,0.23,-0.06,0.29,0.32,-1.09,1.41,-0.18,-1.24,1.06,0.65,-3.35,4
"RYAN.GARBUTT","F","20152016","ANA",37,375.67,0.23,0.84,-0.62,-0.23,-0.23,-0.01,-1.57,-2.86,1.29,0.16,-3.81,3.97,0.81,-4.99,5.8
"RYAN.GARBUTT","F","20152016","CHI",43,424.9,-0.78,0.17,-0.95,0.06,-0.08,0.13,1.69,0.04,1.65,5.12,-0.51,5.63,4.07,-0.57,4.63
"RYAN.GETZLAF","F","20152016","ANA",77,1131.28,0.15,-0.18,0.33,0.22,-0.09,0.3,1.02,-1.99,3.01,1.77,-2,3.77,3.29,-1.98,5.27
"RYAN.JOHANSEN","F","20152016","CBJ",38,511.52,-0.25,-0.47,0.22,-0.03,0.08,-0.11,0.28,-1.89,2.17,0.03,-0.19,0.23,-1.08,-0.57,-0.51
"RYAN.JOHANSEN","F","20152016","NSH",42,616.4,0.54,-0.2,0.74,-0.1,0.08,-0.19,-0.45,-0.03,-0.42,-0.66,0.15,-0.8,-2.05,-0.55,-1.49
"RYAN.KESLER","F","20152016","ANA",79,1123.33,0.03,-0.1,0.12,0.15,0.11,0.04,0.17,-0.37,0.53,1.19,-0.33,1.52,1.14,0.5,0.64
"RYAN.MCDONAGH","D","20152016","NYR",73,1263.7,0.82,0.19,0.63,0.24,-0.14,0.38,1.42,-1.59,3.01,1.29,-2.18,3.48,0.87,-0.86,1.73
"RYAN.MURPHY","D","20152016","CAR",35,528.85,0.21,-0.24,0.44,0.01,-0.3,0.31,-0.36,-1.9,1.54,-0.35,-1.3,0.95,-0.05,-0.89,0.84
"RYAN.MURRAY","D","20152016","CBJ",82,1445.9,0.11,-0.02,0.13,0.03,0.11,-0.08,0.26,-0.84,1.1,-0.49,-0.49,0,-0.99,0.56,-1.55
"RYAN.NUGENT-HOPKINS","F","20152016","EDM",55,829.38,0.3,0.2,0.1,-0.17,0.15,-0.32,-0.34,2.52,-2.86,-1.09,2.09,-3.18,0.59,2.68,-2.09
"RYAN.O'REILLY","F","20152016","BUF",71,1105.68,0.19,0.35,-0.17,0.16,0.13,0.03,1.14,-0.72,1.85,2.07,-1.03,3.1,1.66,-0.6,2.26
"RYAN.PULOCK","D","20152016","NYI",15,208.5,1.51,0.99,0.52,-0.22,-0.39,0.17,-2.13,-0.92,-1.2,0.29,-1.29,1.58,-0.71,-2.97,2.26
"RYAN.REAVES","F","20152016","STL",64,511.23,-1.08,-0.45,-0.63,-0.64,-0.2,-0.43,-6.22,-1.05,-5.18,-7.76,-1,-6.76,-9.57,-1.56,-8.01
"RYAN.SPOONER","F","20152016","BOS",80,950.42,0.13,0.23,-0.1,-0.03,0.38,-0.41,-0.38,3.21,-3.6,-1.26,5.17,-6.43,-1.97,4.12,-6.1
"RYAN.STROME","F","20152016","NYI",71,988.32,0.08,0.76,-0.69,0.41,0.26,0.15,3.09,2.23,0.86,4.19,1.92,2.27,4,2.76,1.24
"RYAN.SUTER","D","20152016","MIN",82,1788.63,0.18,-0.05,0.23,0.18,-0.11,0.29,1.85,-0.51,2.36,1.99,-0.65,2.63,1.97,-0.75,2.72
"RYAN.WHITE","F","20152016","PHI",73,762.68,-0.42,0.1,-0.52,-0.17,0.04,-0.21,-3.2,-0.63,-2.57,-3.91,-0.2,-3.71,-4.74,1.35,-6.09
"SAM.BENNETT","F","20152016","CGY",77,984.45,0.04,-0.11,0.15,-0.07,-0.11,0.04,-0.57,0.88,-1.45,-0.27,1.04,-1.31,0.74,0.08,0.66
"SAM.GAGNER","F","20152016","PHI",53,628.27,0.08,-0.07,0.15,-0.11,0,-0.12,0.15,0.24,-0.09,0.22,-0.19,0.41,0.64,-0.41,1.05
"SAMI.VATANEN","D","20152016","ANA",71,1126.03,0.13,0.02,0.11,0.06,0,0.06,-0.48,1.46,-1.94,-0.05,1.69,-1.74,0.81,3.01,-2.19
"SAM.REINHART","F","20152016","BUF",79,1055.72,0.26,0.02,0.24,0.35,-0.13,0.48,2.16,-0.08,2.24,2.36,-1.47,3.83,3.68,-2.65,6.34
"SCOTT.GOMEZ","F","20152016","OTT",13,132.75,-1.04,0.66,-1.7,-0.44,0.94,-1.38,-1.29,10.03,-11.32,-2.71,12.17,-14.88,-3.52,12.5,-16.01
"SCOTT.GOMEZ","F","20152016","STL",21,195.7,-0.92,0.5,-1.42,0.33,0.87,-0.54,3.68,5.79,-2.11,3.73,7.63,-3.9,-1.8,6.44,-8.23
"SCOTT.HARRINGTON","D","20152016","TOR",15,184.72,-0.33,-0.56,0.22,-0.06,-0.21,0.16,-2.27,0.23,-2.5,0.09,-3.64,3.73,-2.85,-3.89,1.04
"SCOTT.HARTNELL","F","20152016","CBJ",79,994.92,0.44,0.44,0.01,0.04,0.15,-0.12,0.95,0.24,0.71,1.61,0.33,1.29,1.99,-0.06,2.05
"SCOTTIE.UPSHALL","F","20152016","STL",70,670.17,-0.04,-0.11,0.06,-0.04,-0.15,0.11,1.03,-1.4,2.43,-0.18,-1.9,1.73,-1.25,-2.07,0.82
"SCOTT.KOSMACHUK","F","20152016","WPG",8,88.68,-0.05,-0.71,0.66,-0.26,-0.21,-0.06,-3.71,5.65,-9.37,-7.87,6.54,-14.41,-10.54,9.38,-19.92
"SCOTT.LAUGHTON","F","20152016","PHI",71,680.73,0.13,0.18,-0.05,0.06,0.12,-0.06,0.3,2.16,-1.85,-1.6,2.45,-4.05,-3.7,2.83,-6.53
"SCOTT.MAYFIELD","D","20152016","NYI",6,90.62,-0.18,2.42,-2.6,-0.63,0.16,-0.79,-1.23,2.2,-3.43,-3.07,1.05,-4.12,-5.97,5.18,-11.16
"SCOTT.WILSON","F","20152016","PIT",24,235.85,-0.52,-0.43,-0.09,-0.08,-0.34,0.26,0.06,-4.8,4.86,-0.98,-5.65,4.67,-0.8,-5.31,4.51
"SEAN.COUTURIER","F","20152016","PHI",63,908.33,0.38,-0.07,0.44,0.23,-0.27,0.5,-0.83,-1.46,0.63,-0.86,-2.79,1.93,1.18,-4.01,5.19
"SEAN.MONAHAN","F","20152016","CGY",81,1186.67,0.41,0.28,0.13,0.12,0.09,0.04,0.26,0.3,-0.04,0.32,0.04,0.28,-0.04,0.06,-0.1
"SERGEI.PLOTNIKOV","F","20152016","ARI",13,133.47,-1.25,-1.64,0.39,-0.38,0.43,-0.81,-1.04,-2.14,1.1,2.7,-6.44,9.14,1.87,-7.26,9.12
