Year,Team1,Team2,Conference,Highest.Seed,Round
2015,New York Rangers,Washington Capitals,eastern,New York Rangers,semi-finals
2015,Minnesota Wild,Chicago Blackhawks,western,Chicago Blackhawks,semi-finals
2015,Anaheim Ducks,Calgary Flames,western,Anaheim Ducks,semi-finals
2015,Tampa Bay Lightning,New York Rangers,eastern,New York Rangers,finals
2015,Chicago Blackhawks,Anaheim Ducks,western,Anaheim Ducks,finals
2015,Chicago Blackhawks,Tampa Bay Lightning,N/A,Tampa Bay Lightning,stanley-cup-final
2016,Florida Panthers,New York Islanders,eastern,Florida Panthers,quarter-finals
2016,Tampa Bay Lightning,Detroit Red Wings,eastern,Tampa Bay Lightning,quarter-finals
2016,Washington Capitals,Philadelphia Flyers,eastern,Washington Capitals,quarter-finals
2016,Pittsburgh Penguins,New York Rangers,eastern,Pittsburgh Penguins,quarter-finals
2016,Dallas Stars,Minnesota Wild,western,Dallas Stars,quarter-finals
2016,St Louis Blues,Chicago Blackhawks,western,St Louis Blues,quarter-finals
2016,Anaheim Ducks,Nashville Predators,western,Anaheim Ducks,quarter-finals
2016,Los Angeles Kings,San Jose Sharks,western,Los Angeles Kings,quarter-finals
2016,New York Islanders,Tampa Bay Lightning,eastern,Tampa Bay Lightning,semi-finals
2016,Washington Capitals,Pittsburgh Penguins,eastern,Washington Capitals,semi-finals
2016,Dallas Stars,St Louis Blues,western,Dallas Stars,semi-finals
2016,Nashville Predators,San Jose Sharks,western,San Jose Sharks,semi-finals
2016,Tampa Bay Lightning,Pittsburgh Penguins,eastern,Pittsburgh Penguins,finals
2016,St Louis Blues,San Jose Sharks,western,St Louis Blues,finals
2016,San Jose Sharks,Pittsburgh Penguins,N/A,Pittsburgh Penguins,stanley-cup-final
2017,Montreal Canadiens,New York Rangers,eastern,Montreal Canadiens,quarter-finals
2017,Ottawa Senators,Boston Bruins,eastern,Ottawa Senators,quarter-finals
2017,Washington Capitals,Toronto Maple Leafs,eastern,Washington Capitals,quarter-finals
2017,Pittsburgh Penguins,Columbus Blue Jackets,eastern,Pittsburgh Penguins,quarter-finals
2017,Chicago Blackhawks,Nashville Predators,western,Chicago Blackhawks,quarter-finals
2017,Minnesota Wild,St Louis Blues,western,Minnesota Wild,quarter-finals
2017,Anaheim Ducks,Calgary Flames,western,Anaheim Ducks,quarter-finals
2017,Edmonton Oilers,San Jose Sharks,western,Edmonton Oilers,quarter-finals
2017,New York Rangers,Ottawa Senators,eastern,Ottawa Senators,semi-finals
2017,Washington Capitals,Pittsburgh Penguins,eastern,Washington Capitals,semi-finals
2017,Nashville Predators,St Louis Blues,western,St Louis Blues,semi-finals
2017,Anaheim Ducks,Edmonton Oilers,western,Anaheim Ducks,semi-finals
2017,Ottawa Senators,Pittsburgh Penguins,eastern,Pittsburgh Penguins,finals
2017,Nashville Predators,Anaheim Ducks,western,Anaheim Ducks,finals
2017,Pittsburgh Penguins,Nashville Predators,N/A,Pittsburgh Penguins,stanley-cup-final
2018,Tampa Bay Lightning,New Jersey Devils,eastern,Tampa Bay Lightning,quarter-finals
2018,Boston Bruins,Toronto Maple Leafs,eastern,Boston Bruins,quarter-finals
2018,Washington Capitals,Columbus Blue Jackets,eastern,Washington Capitals,quarter-finals
2018,Pittsburgh Penguins,Philadelphia Flyers,eastern,Pittsburgh Penguins,quarter-finals
2018,Nashville Predators,Colorado Avalanche,western,Nashville Predators,quarter-finals
2018,Winnipeg Jets,Minnesota Wild,western,Winnipeg Jets,quarter-finals
2018,Vegas Golden Knights,Los Angeles Kings,western,Vegas Golden Knights,quarter-finals
2018,Anaheim Ducks,San Jose Sharks,western,Anaheim Ducks,quarter-finals
2018,Tampa Bay Lightning,Boston Bruins,eastern,Tampa Bay Lightning,semi-finals
2018,Washington Capitals,Pittsburgh Penguins,eastern,Washington Capitals,semi-finals
2018,Nashville Predators,Winnipeg Jets,western,Nashville Predators,semi-finals
2018,Vegas Golden Knights,San Jose Sharks,western,Vegas Golden Knights,semi-finals
2018,Tampa Bay Lightning,Washington Capitals,eastern,Tampa Bay Lightning,finals
2018,Winnipeg Jets,Vegas Golden Knights,western,Winnipeg Jets,finals
2018,Washington Capitals,Vegas Golden Knights,N/A,Vegas Golden Knights,stanley-cup-final
2019,Tampa Bay Lightning,Columbus Blue Jackets,eastern,Tampa Bay Lightning,quarter-finals
2019,Boston Bruins,Toronto Maple Leafs,eastern,Boston Bruins,quarter-finals
2019,Pittsburgh Penguins,New York Islanders,eastern,New York Islanders,quarter-finals
2019,Washington Capitals,Carolina Hurricanes,eastern,Washington Capitals,quarter-finals
2019,Calgary Flames,Colorado Avalanche,western,Calgary Flames,quarter-finals
2019,San Jose Sharks,Vegas Golden Knights,western,San Jose Sharks,quarter-finals
2019,Nashville Predators,Dallas Stars,western,Nashville Predators,quarter-finals
2019,Winnipeg Jets,St Louis Blues,western,Winnipeg Jets,quarter-finals
2019,Boston Bruins,Columbus Blue Jackets,eastern,Boston Bruins,semi-finals
2019,Carolina Hurricanes,New York Islanders,eastern,New York Islanders,semi-finals
2019,Dallas Stars,St Louis Blues,western,St Louis Blues,semi-finals
2019,San Jose Sharks,Colorado Avalanche,western,San Jose Sharks,semi-finals
2019,Carolina Hurricanes,Boston Bruins,eastern,Boston Bruins,finals
2019,San Jose Sharks,St Louis Blues,western,San Jose Sharks,finals
