Year,Up.To.Round,Team,CF.Playoff,CA.Playoff,FenFor.Playoff,FenAga.Playoff,SCF.Playoff,SCA.Playoff,HDCF.Playoff,HDCA.Playoff,SavePercentage.Playoff,PDO.Playoff,xGF.Playoff,xGA.Playoff
2009,finals,Detroit Red Wings,61.28,47.34,47.64,37.15,21.37,16.08,67.5,14.52,1.23,0.61,NA,NA
2009,finals,St Louis Blues,50.15,50.15,38.93,39.26,22.43,27.05,50,8.16,0.99,1.32,NA,NA
2009,finals,Vancouver Canucks,43.78,50.59,32.57,38.44,21.76,23.49,40.74,11.58,1.2,1.74,NA,NA
2009,finals,Calgary Flames,50.66,47.5,37.57,39.9,22.8,19,45.45,13.33,1.9,2.11,NA,NA
2009,finals,Chicago Blackhawks,48.66,49.34,38.8,36.3,18.64,20.16,51.92,15.25,1.67,1.36,NA,NA
2010,quarter-finals,Montreal Canadiens,53.93,79.2,37.72,52.99,24.89,36.4,40.91,13.24,0.94,1.7,1.81,3.06
2010,quarter-finals,Washington Capitals,79.2,53.93,52.99,37.72,36.4,24.89,59.09,10.83,1.7,0.94,3.06,1.81
2010,quarter-finals,Philadelphia Flyers,43.37,56.81,31.76,40.93,20.16,25.96,85.71,13.33,1.22,0.31,1.8,2.06
2010,quarter-finals,New Jersey Devils,56.81,43.37,40.93,31.76,25.96,20.16,14.29,2.63,0.31,1.22,2.06,1.8
2010,quarter-finals,Boston Bruins,63,52.43,45.78,39.32,27,23.87,37.5,7.5,0.98,1.17,2.12,2.15
2010,quarter-finals,Buffalo Sabres,52.43,63,39.32,45.78,23.87,27,62.5,12.2,1.17,0.98,2.15,2.12
2010,quarter-finals,Ottawa Senators,48.98,62.58,36.69,43.77,19.18,26.45,39.13,15.52,1.3,1.68,1.83,2.17
2010,quarter-finals,Pittsburgh Penguins,62.58,48.98,43.77,36.69,26.45,19.18,60.87,17.28,1.68,1.3,2.17,1.83
2010,quarter-finals,Colorado Avalanche,41.44,68.86,31.75,49.28,17.94,29.69,46.67,12.07,1.03,1.44,1.44,2.3
2010,quarter-finals,San Jose Sharks,68.86,41.44,49.28,31.75,29.69,17.94,53.33,8.89,1.44,1.03,2.3,1.44
2010,quarter-finals,Nashville Predators,50.69,56.23,36.52,41.84,23.24,28.78,50,11.48,0.89,1.11,1.9,2.21
2010,quarter-finals,Chicago Blackhawks,56.23,50.69,41.84,36.52,28.78,23.24,50,9.21,1.11,0.89,2.21,1.9
2010,quarter-finals,Los Angeles Kings,49.51,61.37,36.82,45.77,22.88,27.46,21.05,6.06,0.83,1.25,1.76,2.05
