"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Alex Biega","18-19","VAN","D","40","661.43","2","13","15","8","1.36","0.73","18.35","1.66","650","620","30","51.18","2.98","30","30","--","50","6.44","27.71","27.04","0.67","50.61","7.23","9","2","-7","172","15.6","2.64","0.24","2.33","99.95","49.75","33.95","27.3","47.79","28.62","49.74"
"Alex Chiasson","18-19","EDM","R","73","963.92","12","8","20","19","1.24","1.18","13.29","0.83","805","967","-162","45.43","-3.8","32","33","-1","49.23","4.43","35.36","41.39","-6.03","46.07","-1.24","14","10","-4","153","9.52","10.02","0.62","14.29","101.2","47.21","26.87","31.68","48.49","29.21","50.12"
"Alex Debrincat","18-19","CHI","R","80","1086.17","24","20","44","31","2.43","1.71","43.09","2.38","1054","1079","-25","49.41","0.24","66","57","9","53.66","5.33","40.34","50.24","-9.9","44.54","-0.63","6","9","3","280","15.47","11.48","0.63","15.89","101.68","58.65","27.63","30.42","49.33","29.06","50.07"
"Alex Edler","18-19","VAN","D","55","960.53","4","8","12","8","0.75","0.5","13.9","0.87","844","919","-75","47.87","1.39","36","38","-2","48.65","1.24","33.15","36.77","-3.62","47.41","1.95","19","6","-13","173","10.81","2.57","0.16","4.76","99.57","41.89","35.9","27.7","47.79","29.62","50.46"
"Alex Formenton","18-19","OTT","L","9","99.23","1","--","1","1","0.6","0.6","0.14","0.08","73","117","-44","38.42","-5.15","3","5","-2","37.5","-4.92","2.83","3.97","-1.14","41.62","-2.21","3","6","3","25","15.12","1.36","0.82","6.25","100.27","46.55","23.54","29.33","45","28.4","51.08"
"Alex Fortin","18-19","CHI","C","24","239.67","2","3","5","4","1.25","1","6.05","1.51","258","238","20","52.02","1.9","7","13","-6","35","-8.84","10.26","12.79","-2.53","44.51","-0.3","1","2","1","53","13.27","2.2","0.55","7.69","95.9","43.94","21.07","28.19","48.52","28.4","50.55"
"Alex Galchenyuk","18-19","ARI","C","71","842.95","9","9","18","13","1.28","0.93","14.11","1","760","843","-83","47.41","-0.46","25","38","-13","39.68","-9.02","31.34","37.99","-6.65","45.2","-4.72","13","13","--","173","12.31","9.43","0.67","10.47","97.78","62.02","24.73","29.44","49.44","28.68","50.24"
"Alex Goligoski","18-19","ARI","D","75","1236.58","1","11","12","6","0.58","0.29","13.94","0.68","1188","1291","-103","47.92","-1","46","49","-3","48.42","1.95","52.87","49.55","3.32","51.62","3.32","5","6","1","180","8.73","2.81","0.14","1.27","99.42","48.89","34.2","27.25","49.09","28.76","50.16"
"Alex Iafallo","18-19","L.A","C","82","1168.9","11","14","25","19","1.28","0.98","20.54","1.05","1006","1116","-110","47.41","-1.17","43","51","-8","45.74","0.67","38.53","47.64","-9.11","44.71","-4.62","9","5","-4","182","9.34","10.11","0.52","10.09","99.42","44.08","29.08","32.2","46.82","29.49","50.37"
"Alex Kerfoot","18-19","COL","C","76","922.22","9","13","22","18","1.43","1.17","26.01","1.69","892","840","52","51.5","2.23","32","35","-3","47.76","-4.53","35.48","29.59","5.89","54.53","6.32","15","11","-4","156","10.15","9.12","0.59","9.18","98.69","54.92","25.87","29.19","48.25","28.72","49.99"
"Alex Killorn","18-19","T.B","C","82","917.37","12","15","27","23","1.77","1.5","38.49","2.52","932","771","161","54.73","4.11","44","27","17","61.97","6.65","37.11","29.14","7.97","56.02","4.3","16","9","-7","236","15.44","10.51","0.69","9.84","102.67","46.12","23.44","28.74","49.82","28.64","49.97"
"Alex Nylander","18-19","BUF","L","12","132.95","1","2","3","3","1.35","1.35","4.31","1.95","142","112","30","55.91","5.05","4","6","-2","40","11.79","4.73","5.64","-0.91","45.61","0.05","2","3","1","23","10.38","1.04","0.47","10","97.02","68.48","21.84","29.34","50.08","28.79","49.91"
"Alex Ovechkin","18-19","WSH","L","80","1215.08","27","20","47","41","2.32","2.02","49.45","2.44","1175","1215","-40","49.16","-0.13","73","58","15","55.73","1.56","49.6","60.98","-11.38","44.85","-3.31","15","13","-2","374","18.47","16.63","0.82","13.85","102.82","57.34","31.64","31.04","48.99","29.46","49.9"
"Alex Petrovic","18-19","FLA/ EDM","D","35","514.13","--","1","1","--","0.12","--","0.7","0.08","501","528","-27","48.69","-1.76","9","28","-19","24.32","-22.52","16.51","24.14","-7.63","40.62","-9.66","10","3","-7","105","12.25","1.88","0.22","--","93.88","51.52","30.68","27.17","49.14","28.26","49.09"
"Alex Pietrangelo","18-19","STL","D","71","1272.9","6","12","18","11","0.85","0.52","35.67","1.68","1291","1125","166","53.44","2.67","61","52","9","53.98","-0.27","55.98","49.15","6.83","53.25","-0.63","10","11","1","244","11.5","5.04","0.24","5.13","99.98","50","36.89","27.59","50.91","29.3","50.08"
"Alex Radulov","18-19","DAL","R","70","1090.73","17","22","39","30","2.15","1.65","44.49","2.45","1104","1081","23","50.53","2.58","60","36","24","62.5","20.83","49.74","42.87","6.87","53.71","5.03","25","14","-11","264","14.52","13.96","0.77","11.56","103.37","58.95","31.88","31.66","46.91","29.41","50.18"
"Alex Steen","18-19","STL","L","65","780.17","7","11","18","12","1.38","0.92","25.64","1.97","727","654","73","52.64","1.06","30","27","3","52.63","-1.21","26.24","23.72","2.52","52.52","-2.36","7","14","7","147","11.31","6.38","0.49","7.69","99.52","45.1","24.65","30.06","51.03","29.41","49.9"
"Alex Texier","18-19","CBJ","C","2","25.53","1","--","1","1","2.35","2.35","1.24","2.91","18","27","-9","40","-12.9","3","--","3","100","42.86","0.83","1.02","-0.19","44.86","-10.33","--","--","--","8","18.8","0.4","0.94","16.67","123.08","25","22.43","28.89","50.12","28.03","45.71"
"Alex Tuch","18-19","VGK","R","74","1009.58","14","28","42","25","2.5","1.49","50.69","3.01","1055","914","141","53.58","-0.39","56","38","18","59.57","9.81","51.24","39.45","11.79","56.5","1.03","3","10","7","262","15.57","14.44","0.86","9.86","101.85","55.35","27.98","30.02","53.98","28.98","49.87"
"Alex Wennberg","18-19","CBJ","C","74","852.38","--","14","14","9","0.99","0.63","13.55","0.95","789","777","12","50.38","0.75","32","38","-6","45.71","-7.46","32.78","36.62","-3.84","47.23","-3.82","2","2","--","75","5.28","4.35","0.31","--","98.23","50.18","23.27","29","49.43","28.56","49.87"
"Anders Bjork","18-19","BOS","L","20","216.62","1","2","3","2","0.83","0.55","2.94","0.81","182","194","-12","48.4","-3.44","4","5","-1","44.44","-14.05","5.47","6.65","-1.18","45.13","-8.51","1","1","--","33","9.14","1.42","0.39","6.67","98.91","62.89","22.65","28.1","52.56","27.89","48.99"
"Anders Lee","18-19","NYI","C","81","1099.72","15","16","31","25","1.69","1.36","34.88","1.9","1033","1066","-33","49.21","1.96","52","29","23","64.2","12.24","49.32","41.65","7.67","54.22","4.29","18","13","-5","230","12.55","15.53","0.85","11.28","104.21","49.51","27.69","30.39","47.38","29.32","50.13"
"Andre Burakovsky","18-19","WSH","L","75","805.98","11","13","24","19","1.79","1.41","23.11","1.72","757","806","-49","48.43","-0.71","34","31","3","52.31","-1.8","27.41","32.08","-4.67","46.07","-1.05","6","6","--","172","12.8","7.58","0.56","11.58","101.18","47.98","22.37","28.88","49.69","28.41","49.77"
"Andreas Athanasiou","18-19","DET","C","76","1036.55","23","13","36","33","2.08","1.91","30.64","1.77","890","1090","-200","44.95","-2.83","42","45","-3","48.28","3.32","37.39","46.58","-9.19","44.53","-0.3","9","23","14","283","16.38","15.63","0.9","14.02","101.56","53.4","27.71","29.14","47","28.87","50.01"
"Andreas Englund","18-19","OTT","D","3","37.78","--","--","--","--","--","--","0.08","0.13","31","24","7","56.36","12.18","--","3","-3","--","-50","0.77","0.75","0.02","50.66","11.15","1","1","--","1","1.59","0.01","0.02","--","72.73","60","24.24","26.55","45.48","28.37","48.23"
"Andreas Johnsson","18-19","TOR","L","73","861.87","15","19","34","26","2.37","1.81","41.47","2.89","965","830","135","53.76","2.3","49","34","15","59.04","6.49","38.41","36.74","1.67","51.11","-0.96","13","12","-1","169","11.77","9.05","0.63","15","102.78","50","23.87","30.04","51.17","28.7","49.85"
"Andreas Martinsen","18-19","CHI","L","24","182.73","1","3","4","4","1.31","1.31","2.62","0.86","156","183","-27","46.02","-4.17","5","11","-6","31.25","-19.35","6.08","8.48","-2.4","41.76","-4.45","5","5","--","34","11.16","1.7","0.56","4.76","95.67","32.48","15.82","26.35","49.55","28.04","50.79"
"Andrei Svechnikov","18-19","CAR","R","81","990.62","13","11","24","16","1.45","0.97","40.6","2.46","1118","865","253","56.38","2.31","37","37","--","50","-2.38","58.72","39.58","19.14","59.74","4.52","22","14","-8","245","14.84","17.81","1.08","8.39","97.96","50.38","25.29","29.66","53.66","28.8","49.61"
"Andrej Sekera","18-19","EDM","D","24","339.95","--","2","2","1","0.35","0.18","3.52","0.62","303","306","-3","49.75","4.33","15","15","--","50","5.71","12.72","14.03","-1.31","47.55","3.82","3","--","-3","60","10.59","0.76","0.13","--","99.89","46.34","27.8","26.33","47.73","28.34","49.31"
"Andrej Sustr","18-19","ANA","D","5","58.6","--","--","--","--","--","--","-0.4","-0.41","44","62","-18","41.51","-0.03","1","1","--","50","-20","1.29","2.72","-1.43","32.17","-13.29","2","--","-2","9","9.22","0.09","0.09","--","101.06","64.29","24.62","26.29","46.66","27.74","49.41"
"Andrew Agozzino","18-19","COL","L","10","72.65","1","1","2","1","1.65","0.83","1.89","1.56","62","71","-9","46.62","-1.98","3","1","2","75","15.62","3.49","2.92","0.57","54.45","0.29","--","--","--","11","9.08","0.45","0.37","12.5","104.69","51.61","15.41","26.65","48.86","28.23","50.64"
"Andrew Cogliano","18-19","ANA/ DAL","C","77","842.2","5","9","14","12","1","0.85","17.45","1.24","775","800","-25","49.21","1.02","20","20","--","50","-1.72","32.66","33.5","-0.84","49.37","3.01","9","13","4","158","11.26","10.18","0.73","5.26","100.26","37.57","22.6","29.82","46.9","29.36","50.52"
"Andrew Copp","18-19","WPG","C","69","729.02","9","13","22","16","1.81","1.32","27.15","2.23","697","659","38","51.4","3.16","35","18","17","66.04","20.42","28.27","26.09","2.18","52.01","5.76","1","4","3","130","10.7","8.99","0.74","11.84","104.76","49.51","21.95","27.7","47.92","28.35","49.95"
"Andrew Ladd","18-19","NYI","L","25","315.28","3","6","9","5","1.71","0.95","5.24","1","264","316","-52","45.52","-1.72","13","12","1","52","-2.79","10.57","14.21","-3.64","42.66","-9.97","7","2","-5","47","8.94","2.21","0.42","10","102.72","44.62","26.02","29.47","47.66","28.73","50.62"
"Andrew Macdonald","18-19","PHI","D","47","658.83","--","6","6","3","0.55","0.27","6.7","0.61","593","642","-49","48.02","0.36","29","35","-6","45.31","-3.59","24.96","26.55","-1.59","48.46","0.55","6","3","-3","101","9.2","1.73","0.16","--","99.38","43.64","29.29","27.34","47.87","28.69","49.98"
"Andrew Mangiapane","18-19","CGY","L","44","437.02","8","5","13","11","1.78","1.51","20.2","2.77","441","363","78","54.85","0.28","22","11","11","66.67","9.52","18.42","13.02","5.4","58.59","6.04","3","3","--","92","12.63","5.82","0.8","13.11","103.58","51.23","20.89","27.1","51.96","28.15","49.21"
"Andrew Shaw","18-19","MTL","C","62","789.4","16","22","38","30","2.89","2.28","41.79","3.18","868","776","92","52.8","-2.43","55","34","21","61.8","14.8","39.81","32.44","7.37","55.1","0.66","19","9","-10","190","14.44","15.42","1.17","14.55","103.77","50.71","25.97","29.86","53.47","28.92","49.62"
"Andy Greene","18-19","N.J","D","82","1298.35","3","9","12","9","0.55","0.42","6.75","0.31","1125","1358","-233","45.31","-2.41","48","67","-19","41.74","-4.41","53.73","59.93","-6.2","47.27","-1.79","6","5","-1","175","8.09","4.27","0.2","3.57","98.42","40.75","33.59","28.14","48.47","29.46","50.34"
"Andy Welinski","18-19","ANA","D","26","385.33","1","3","4","3","0.62","0.47","4.85","0.76","366","373","-7","49.53","2.08","14","17","-3","45.16","0.55","12.23","18.12","-5.89","40.3","-7.52","4","3","-1","70","10.9","1.34","0.21","3.33","99.74","65.79","30.18","27.18","47.38","28.16","49.97"
"Anthony Beauvillier","18-19","NYI","L","80","1000.3","16","8","24","20","1.44","1.2","27.75","1.66","934","961","-27","49.29","1.75","41","40","1","50.62","-7.38","42.97","40.68","2.29","51.37","-0.24","4","10","6","198","11.88","14.54","0.87","12.8","100.23","58.49","25.52","29.86","47.85","28.63","49.85"
"Anthony Bitetto","18-19","NSH/ MIN","D","36","416.6","--","3","3","1","0.43","0.14","4.15","0.6","370","373","-3","49.8","-4.24","11","19","-8","36.67","-8.96","15.02","17.68","-2.66","45.93","-8.66","7","5","-2","69","9.94","1.38","0.2","--","96.45","60","24.23","25.59","51.49","27.92","49.19"
"Anthony Cirelli","18-19","T.B","C","82","921.5","11","15","26","20","1.69","1.3","37.62","2.45","914","770","144","54.28","3.51","45","32","13","58.44","2.3","37.21","29.49","7.72","55.79","4.01","6","13","7","168","10.94","10.3","0.67","11","101.62","40.76","23.55","28.55","50.2","28.66","49.92"
"Anthony Duclair","18-19","CBJ/ OTT","L","74","804.07","12","13","25","17","1.87","1.27","22.87","1.71","710","801","-91","46.99","-1.51","37","35","2","51.39","1.95","30.27","39.41","-9.14","43.44","-5.93","6","14","8","170","12.69","9.94","0.74","11.76","101.75","61.47","21.93","29.3","49.51","28.61","49.81"
"Anthony Greco","18-19","FLA","R","1","9.5","--","--","--","--","--","--","-0.1","-0.63","12","8","4","60","8.61","--","3","-3","--","-33.33","0.37","0.4","-0.03","48.05","7.12","--","--","--","3","18.95","0.07","0.44","--","50","60","17.63","30.08","49","29.79","51.07"
"Anthony Mantha","18-19","DET","R","67","972.7","13","13","26","21","1.6","1.3","36.51","2.25","1002","849","153","54.13","9.64","38","40","-2","48.72","5.14","40.07","39.83","0.24","50.15","8.15","15","15","--","237","14.62","11.23","0.69","9.7","98.51","57.95","29.69","30.64","46.03","29.44","50.27"
"Anthony Peluso","18-19","CGY","R","4","16.45","--","--","--","--","--","--","-0.08","-0.29","13","13","--","50","-2.22","--","1","-1","--","-40","0.33","0.29","0.04","53.23","1.3","2","2","--","1","3.65","0.01","0.04","--","83.33","20","9.02","27.36","52.92","27.84","49.31"
"Anthony Richard","18-19","NSH","C","1","7.37","--","--","--","--","--","--","-0.25","-2.04","5","8","-3","38.46","-18.12","--","1","-1","--","-100","0.13","0.23","-0.1","36.11","-33.18","--","--","--","--","--","--","--","--","80","50","14.26","23.21","51.54","26.88","48.49"
"Antoine Roussel","18-19","VAN","L","65","814.45","9","18","27","23","1.99","1.69","24.82","1.83","748","764","-16","49.47","1.04","36","31","5","53.73","9.65","30.01","30.7","-0.69","49.43","3.76","32","18","-14","144","10.61","8.62","0.64","11.54","101.04","38.03","26.26","29.7","46.36","29.19","50.19"
"Anton Blidh","18-19","BOS","L","1","12.33","--","--","--","--","--","--","0.05","0.24","7","7","--","50","-17.24","--","--","--","--","--","0.12","0.25","-0.13","32.43","-32.93","--","--","--","--","--","--","--","--","100","50","25.36","26.21","52.48","26.41","51.37"
"Anton Lindholm","18-19","COL","D","2","12.68","--","--","--","--","--","--","0.05","0.24","17","14","3","54.84","-0.98","--","1","-1","--","-28.57","1.17","0.54","0.63","68.42","13.62","--","--","--","2","9.46","0.06","0.28","--","85.71","--","16.47","25.39","48.91","27.8","48.85"
"Anton Stralman","18-19","T.B","D","47","796.92","2","12","14","7","1.05","0.53","13.4","1.01","734","793","-59","48.07","-3.37","39","32","7","54.93","0.38","29.3","31.77","-2.47","47.98","-5.6","3","2","-1","116","8.73","1.87","0.14","3.7","102.69","46.51","35.77","27.68","52.49","29.21","50.52"
"Antti Suomela","18-19","S.J","C","27","300.4","3","5","8","6","1.6","1.2","10.96","2.19","320","281","39","53.24","-1.76","8","7","1","53.33","6.8","14.51","12.34","2.17","54.04","-0.06","2","2","--","72","14.38","5.51","1.1","7.32","99.21","61.01","23.22","29.67","55.12","28.3","49.83"
"Anze Kopitar","18-19","L.A","C","81","1307.23","17","17","34","29","1.56","1.33","26.5","1.22","1151","1321","-170","46.56","-2.38","51","61","-10","45.54","-0.54","46.33","56.36","-10.03","45.12","-4.31","12","14","2","196","9","12.25","0.56","15.45","99.56","39.86","32.92","31.51","46.38","29.57","50.43"
"Artem Anisimov","18-19","CHI","C","76","1001.82","11","16","27","20","1.62","1.2","23.84","1.43","933","1012","-79","47.97","-1.89","38","38","--","50","-0.38","39.19","50.55","-11.36","43.67","-2.17","4","5","1","211","12.64","12.91","0.77","9.82","100.92","52.01","26.83","30.23","49.73","29.09","50.07"
"Artemi Panarin","18-19","CBJ","C","78","1247.48","19","39","58","47","2.79","2.26","65.08","3.13","1318","1097","221","54.58","6.43","76","58","18","56.72","9.43","59.19","48.6","10.59","54.91","7.04","6","15","9","229","11.01","10.06","0.48","14.96","101","77.57","32.12","31.44","45.59","29.46","49.83"
"Artturi Lehkonen","18-19","MTL","L","81","986.57","12","20","32","25","1.95","1.52","44.38","2.7","1065","901","164","54.17","-0.33","50","37","13","57.47","4.98","43.02","33.19","9.83","56.45","2.34","13","10","-3","247","15.02","13","0.79","8","101.6","56.34","25.07","29.23","53.54","28.71","49.47"
"Ashton Sautner","18-19","VAN","D","16","224.08","--","1","1","--","0.27","--","2.15","0.58","194","205","-11","48.62","-2.55","6","7","-1","46.15","3.02","6.38","7.34","-0.96","46.5","0.09","1","1","--","35","9.37","0.59","0.16","--","99.19","35.59","27.87","25.87","46.94","28.04","49.02"
"Austin Czarnik","18-19","CGY","C","53","520.28","5","9","14","10","1.61","1.15","19.82","2.29","535","437","98","55.04","-0.77","21","22","-1","48.84","-6.22","21.15","18.53","2.62","53.3","-2.39","2","9","7","93","10.72","5.26","0.61","10.64","98.91","50.5","20.28","28.44","52.52","28.4","49.28"
"Austin Wagner","18-19","L.A","L","62","545.48","12","9","21","18","2.31","1.98","18.86","2.07","497","538","-41","48.02","0.3","23","22","1","51.11","7.96","20.67","21.79","-1.12","48.68","1.36","6","9","3","118","12.98","6.81","0.75","17.91","101.17","54.09","17.94","27.82","49.04","28.02","49.76"
"Austin Watson","18-19","NSH","L","36","439.53","4","8","12","9","1.64","1.23","10.59","1.45","363","424","-61","46.12","-9.38","20","14","6","58.82","6.97","14.32","17.38","-3.06","45.17","-10.05","11","7","-4","97","13.24","4.52","0.62","7.14","103.33","28.27","25.3","29.72","51.87","29.19","49.61"
"Auston Matthews","18-19","TOR","C","68","1019.93","23","23","46","38","2.71","2.24","54.84","3.23","1174","1049","125","52.81","0.81","55","58","-3","48.67","-7.73","52.61","45.66","6.95","53.54","1.68","6","11","5","321","18.88","19.8","1.16","13.14","99.34","57.62","30.15","30.29","51.79","29.34","49.64"
"Barclay Goodrow","18-19","S.J","C","82","765.22","6","6","12","7","0.94","0.55","21.93","1.72","726","586","140","55.34","0.47","26","31","-5","45.61","-6.74","25.04","23.88","1.16","51.19","-3.72","16","10","-6","128","10.04","6.79","0.53","8.11","97.09","51.04","19.22","27.57","53.5","27.92","49.42"
"Ben Chiarot","18-19","WPG","D","78","1285.48","4","13","17","13","0.79","0.61","17.62","0.82","1110","1225","-115","47.54","-2.24","44","41","3","51.76","1.76","41.7","45.68","-3.98","47.72","-0.61","21","6","-15","218","10.18","3.69","0.17","3.88","101.09","54.53","33.98","28.12","50.45","28.88","50"
"Ben Gleason","18-19","DAL","D","4","53.55","--","1","1","1","1.12","1.12","0.52","0.58","42","51","-9","45.16","-0.15","2","2","--","50","-2.94","1.52","1.96","-0.44","43.68","-10.92","--","1","1","3","3.36","0.02","0.02","--","103.12","60.71","27.21","28.16","47.32","29.09","50.2"
"Ben Harpur","18-19","OTT","D","50","740.17","1","4","5","4","0.41","0.32","-5.4","-0.44","566","817","-251","40.93","-5.45","23","36","-13","38.98","-4.37","23.8","32.84","-9.04","42.02","-5.91","14","10","-4","89","7.21","1.26","0.1","2.27","99.31","43.4","29.73","27.31","45.8","28.99","50.18"
"Ben Hutton","18-19","VAN","D","69","1193.47","3","4","7","3","0.35","0.15","0.9","0.05","1071","1281","-210","45.54","-3.77","40","60","-20","40","-10.3","42.24","56.24","-14","42.89","-4.68","8","4","-4","194","9.75","2.69","0.14","3.49","98.76","48.69","36.14","27.48","49.57","29.11","50.43"
"Ben Lovejoy","18-19","N.J/ DAL","D","71","939.65","1","6","7","4","0.45","0.26","6.67","0.43","836","940","-104","47.07","-2.11","32","39","-7","45.07","-3.97","37.03","37.83","-0.8","49.47","-0.67","16","4","-12","172","10.98","2.83","0.18","1.15","99.25","41.42","27.66","26.97","47.67","28.36","50.01"
"Ben Street","18-19","ANA","C","21","208.52","3","--","3","3","0.86","0.86","-0.55","-0.16","162","226","-64","41.75","-3.59","3","10","-7","23.08","-36.54","3.73","10.67","-6.94","25.9","-16.65","1","1","--","42","12.09","1.18","0.34","17.65","96","54.05","20.77","28.29","47.23","27.87","49.49"
"Blake Coleman","18-19","N.J","C","78","1011.35","13","11","24","19","1.42","1.13","25.28","1.5","916","966","-50","48.67","2.24","40","54","-14","42.55","-3.86","43.89","44.06","-0.17","49.9","1.76","25","19","-6","272","16.14","15.98","0.95","7.65","97.18","39.15","27.49","29.45","46.37","29.4","50.33"
"Blake Comeau","18-19","DAL","L","77","1010.83","7","10","17","12","1.01","0.71","13.1","0.78","849","953","-104","47.11","-0.98","30","35","-5","46.15","-7.61","36.92","37.78","-0.86","49.42","-1.38","15","11","-4","158","9.38","8.18","0.49","7.78","99.72","31.21","26.96","30.16","47.28","29.34","50.2"
"Blake Lizotte","18-19","L.A","C","1","11.2","--","--","--","--","--","--","0.32","1.71","16","9","7","64","29.28","--","1","-1","--","-75","0.95","0.44","0.51","68.35","27.04","--","--","--","2","10.71","0.38","2.04","--","80","40","22.18","27.39","48.39","28.2","54.36"
"Blake Pietila","18-19","N.J","L","19","222.8","--","1","1","1","0.27","0.27","-3.9","-1.05","155","252","-97","38.08","-8.95","4","10","-6","28.57","-9.13","6.13","8.65","-2.52","41.47","-5.95","3","2","-1","37","9.96","1.41","0.38","--","97.19","41.23","24.03","27.95","45.63","28.28","50.32"
