"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Adrian Aucoin","11-12","ARI","D","64","1071.8","1","7","8","1","0.45","0.06","15.1","0.85","985","942","43","51.12","1.72","42","31","11","57.53","6.16","39.87","41.46","-1.59","49.02","-1.29","19","7","-12","172","9.63","2.59","0.14","1.32","102.58","49.44","34.73","28.17","48.38","28.99","50.13"
"Akim Aliu","11-12","CGY","R","2","21.37","2","1","3","2","8.42","5.62","3.08","8.65","16","18","-2","47.06","-3.43","3","--","3","100","33.33","1.19","1.14","0.05","51.07","-2.34","2","5","3","4","11.23","0.31","0.87","66.67","127.27","36.36","24.03","29.79","47.69","29.55","50.68"
"Alec Martinez","11-12","L.A","D","51","630.05","3","2","5","5","0.48","0.48","23.45","2.23","687","417","270","62.23","8.11","18","18","--","50","-1.18","23.28","15.66","7.62","59.78","5.69","4","5","1","116","11.05","2.51","0.24","5.56","96.86","55.59","26.24","26.24","51.62","27.9","49"
"Ales Hemsky","11-12","EDM","R","69","1007.92","9","15","24","19","1.43","1.13","25.64","1.53","919","905","14","50.38","3.59","31","36","-5","46.27","0.2","39.22","40.93","-1.71","48.93","2.62","13","10","-3","212","12.62","10.85","0.65","7.69","99.4","49.73","30.68","30.99","46.5","29.6","50.39"
"Alex Bolduc","11-12","ARI","C","2","14.27","--","--","--","--","--","--","-0.12","-0.5","14","15","-1","48.28","7.37","--","1","-1","--","-42.86","0.88","0.68","0.2","56.41","19.44","--","--","--","2","8.41","0.08","0.34","--","90","83.33","14.76","25.46","48.76","28.15","51.84"
"Alex Burmistrov","11-12","WPG","C","76","984.33","9","12","21","16","1.28","0.98","27.83","1.7","935","826","109","53.09","3.44","37","32","5","53.62","5.62","40.2","34.36","5.84","53.92","3.82","16","16","--","184","11.22","9.32","0.57","9.38","100.16","58.91","27.27","30","49.79","28.95","49.5"
"Alex Burrows","11-12","VAN","L","80","1095.1","21","16","37","33","2.03","1.81","57.13","3.13","1147","835","312","57.87","7.09","52","32","20","61.9","10.9","43.85","39.52","4.33","52.6","5.7","25","24","-1","268","14.68","15.78","0.86","13.55","102.34","75.41","29.12","31.4","52.32","29.94","49.6"
"Alex Edler","11-12","VAN","D","82","1375.38","5","16","21","13","0.92","0.57","33.15","1.45","1331","1199","132","52.61","-0.11","52","60","-8","46.43","-12.66","48.65","56.04","-7.39","46.47","-3.5","13","6","-7","286","12.48","4.92","0.21","3.94","99.16","58","35.82","27.78","52.95","29.36","49.68"
"Alexei Emelin","11-12","MTL","D","67","1010.8","2","3","5","4","0.3","0.24","5.3","0.31","916","986","-70","48.16","0.09","33","56","-23","37.08","-19.05","36.13","39.05","-2.92","48.06","1.04","12","23","11","121","7.18","1.85","0.11","4.17","96.69","48.06","32.65","27.36","47.88","28.69","49.78"
"Alexei Ponikarovsky","11-12","CAR/ N.J","L","82","1049.53","9","15","24","16","1.37","0.91","34.85","1.99","966","821","145","54.06","5.51","33","36","-3","47.83","1.25","42.37","37.92","4.45","52.77","4.65","12","14","2","232","13.26","13.12","0.75","6.72","98.8","46.11","26.74","29.38","48.36","28.9","50.01"
"Alex Giroux","11-12","CBJ","L","9","87.3","1","--","1","1","0.69","0.69","2.23","1.53","86","76","10","53.09","3.89","4","4","--","50","8.33","3.98","2.39","1.59","62.48","7.45","2","1","-1","22","15.12","1.4","0.96","6.67","97.39","47.17","21.63","28.92","47.75","29","51"
"Alex Goligoski","11-12","DAL","D","71","1211.55","7","10","17","13","0.84","0.64","32.27","1.6","1212","1027","185","54.13","6.98","50","48","2","51.02","0.68","44.03","38.29","5.74","53.49","8.89","8","10","2","240","11.89","3.47","0.17","7.22","99.03","49.24","36.36","27.8","48.14","28.93","49.94"
"Alex Ovechkin","11-12","WSH","L","78","1193.78","19","15","34","27","1.71","1.36","36.11","1.81","1099","1217","-118","47.45","-2.36","48","50","-2","48.98","-2.71","42.07","46.11","-4.04","47.71","-3.54","12","21","9","423","21.26","17.31","0.87","9.22","100.91","52.25","31.84","30.03","49.19","29.45","49.61"
"Alex Picard","11-12","PIT","D","17","208.77","--","3","3","2","0.86","0.57","7.25","2.08","205","140","65","59.42","5.16","13","9","4","59.09","13.81","8.45","6.56","1.89","56.3","1.13","2","2","--","18","5.17","0.66","0.19","--","99.82","68.91","27.43","26.27","54.21","28.19","50.24"
"Alex Pietrangelo","11-12","STL","D","81","1393.67","4","14","18","12","0.77","0.52","40.1","1.73","1384","1134","250","54.96","3.29","45","35","10","56.25","-0.99","57.01","45.63","11.38","55.54","1.79","6","6","--","304","13.09","5.45","0.23","2.99","100.65","52.9","36.76","28.11","50.78","29.56","50.04"
"Alex Plante","11-12","EDM","D","3","30.78","--","1","1","1","1.95","1.95","0.6","1.17","25","28","-3","47.17","2.95","2","2","--","50","-12.5","1.97","1.85","0.12","51.57","5.46","1","1","--","1","1.95","--","--","--","100","46.15","23.99","26.45","47.07","28.51","49.06"
"Alex Radulov","11-12","NSH","R","9","153.48","3","3","6","5","2.35","1.95","6.6","2.58","142","138","4","50.71","1.46","9","6","3","60","3.48","7.22","4.79","2.43","60.12","7.82","--","--","--","32","12.51","2.28","0.89","15","102.77","45.24","33.71","30.78","47.85","29.5","51.5"
"Alex Semin","11-12","WSH","R","77","1052.47","18","23","41","33","2.34","1.88","45.26","2.58","1044","969","75","51.86","4.19","52","39","13","57.14","10.66","41.5","38.89","2.61","51.62","2.77","21","13","-8","316","18.01","11.43","0.65","11.76","101.87","50.43","28.38","29.6","47.12","28.91","49.65"
"Alex Steen","11-12","STL","C","43","592.13","12","10","22","19","2.23","1.93","40.57","4.11","664","434","230","60.47","9.61","31","10","21","75.61","27.22","25.34","15.22","10.12","62.48","9.27","6","13","7","204","20.67","7.85","0.8","10.91","104.32","52.39","29.33","30.71","51.28","29.71","49.97"
"Alex Sulzer","11-12","VAN/ BUF","D","27","444.72","3","4","7","4","0.94","0.54","11.97","1.61","433","391","42","52.55","2.58","25","15","10","62.5","14.4","17.35","17.49","-0.14","49.8","3.04","4","3","-1","73","9.85","1.58","0.21","9.68","104.4","48.97","33.23","27.49","49.23","28.57","49.27"
"Alex Tanguay","11-12","CGY","L","64","859.47","11","19","30","26","2.09","1.82","21.15","1.48","724","867","-143","45.51","-3.08","43","31","12","58.11","15.44","33.3","34.3","-1","49.26","-0.83","8","8","--","104","7.26","6.39","0.45","19.64","104.7","49.7","28.27","31.25","47.56","29.9","50.16"
"Alex Urbom","11-12","N.J","D","5","64.67","--","--","--","--","--","--","-0.6","-0.56","41","51","-10","44.57","-2.65","4","4","--","50","-3.33","2.11","2.73","-0.62","43.6","-4.26","3","1","-2","4","3.71","0.1","0.09","--","102.36","51.35","27.52","27.21","50.23","28.48","48.47"
"Andreas Engqvist","11-12","MTL","C","12","65.42","--","--","--","--","--","--","-0.07","-0.06","60","63","-3","48.78","-0.79","1","2","-1","33.33","-17.73","1.49","1.8","-0.31","45.29","-7.39","1","--","-1","11","10.09","0.34","0.31","--","96.9","59.09","11.86","26.21","47.42","27.08","49.74"
"Andreas Lilja","11-12","PHI","D","46","573.88","--","5","5","3","0.52","0.31","5.35","0.56","501","576","-75","46.52","-4.82","23","12","11","65.71","13.57","24.57","23.48","1.09","51.13","-2.67","14","5","-9","52","5.44","0.95","0.1","--","103.72","47.62","27.87","27.62","51.11","28.2","49.39"
"Andreas Nodl","11-12","PHI/ CAR","R","60","659.58","3","5","8","7","0.73","0.64","7.59","0.69","575","636","-61","47.48","-2.2","11","16","-5","40.74","-10.08","22.38","24.63","-2.25","47.61","-3.25","2","5","3","120","10.92","6.03","0.55","4.84","98.79","44.69","22.94","29.61","47.47","29.06","49.66"
"Andre Deveaux","11-12","NYR","C","9","46.68","--","1","1","--","1.29","--","0.98","1.26","36","32","4","52.94","9.66","4","1","3","80","20","1.48","0.98","0.5","60.16","8.53","6","4","-2","3","3.86","0.14","0.18","--","120.78","37.93","11.44","25.49","46.18","26.77","48.71"
"Andrei Kostitsyn","11-12","MTL/ NSH","L","72","943.03","11","19","30","20","1.91","1.27","25.76","1.64","843","904","-61","48.25","-0.34","45","40","5","52.94","4.25","33.6","35.14","-1.54","48.88","-1.19","11","7","-4","204","12.98","8.8","0.56","10","101.53","53.49","27.73","29.93","47.85","29.27","50.76"
"Andrei Loktionov","11-12","L.A","C","39","446.53","2","4","6","6","0.81","0.81","11.68","1.57","436","374","62","53.83","-1.46","11","12","-1","47.83","-0.86","15.97","17.01","-1.04","48.42","-5.77","2","4","2","99","13.3","3.69","0.5","3.77","98.81","61.26","24.87","29.18","53.84","28.2","49.42"
"Andrei Markov","11-12","MTL","D","13","163.72","--","1","1","1","0.37","0.37","0.88","0.32","150","156","-6","49.02","5.95","4","9","-5","30.77","-34.75","6.5","6.35","0.15","50.58","4.54","--","2","2","20","7.33","0.36","0.13","--","96.08","54.55","27.38","27.09","47.44","28.84","49.44"
"Andrej Meszaros","11-12","PHI","D","62","981.17","5","16","21","15","1.28","0.92","25.9","1.58","993","944","49","51.26","-0.59","48","41","7","53.93","1.98","45.68","40.57","5.11","52.96","-1.04","18","9","-9","173","10.58","3.2","0.2","6.25","100.37","51.45","35.45","27.22","49.26","28.84","49.49"
"Andrej Sekera","11-12","BUF","D","69","1109.93","2","6","8","5","0.43","0.27","15.22","0.82","955","930","25","50.66","3.16","44","40","4","52.38","2.08","35.72","37.97","-2.25","48.47","1.12","7","5","-2","150","8.11","3.44","0.19","2.99","100.16","48.93","33.49","27.44","48.02","29.48","50.15"
"Andre Petersson","11-12","OTT","R","1","5.03","--","--","--","--","--","--","0.05","0.6","2","1","1","66.67","14.98","--","--","--","--","--","0.03","0.02","0.01","60","18.69","--","--","--","--","--","--","--","--","--","100","10.4","27.37","50.62","27.93","47.6"
"Andrew Alberts","11-12","VAN","D","44","570.68","2","1","3","2","0.32","0.21","1.43","0.15","443","514","-71","46.29","-7.02","22","18","4","55","2.01","17.68","21.6","-3.92","45.01","-4.47","14","8","-6","61","6.41","0.64","0.07","10.53","103.46","39.71","27.96","26.53","51.81","28.34","49.14"
"Andrew Brunette","11-12","CHI","L","78","864.3","7","11","18","16","1.25","1.11","14.61","1.01","762","781","-19","49.38","-4.42","30","45","-15","40","-13.31","30.73","34.07","-3.34","47.42","-5.67","3","4","1","89","6.18","7.07","0.49","12.07","96.9","63.39","23","29.95","54.35","28.74","50.01"
"Andrew Cogliano","11-12","ANA","C","82","991.22","11","12","23","19","1.39","1.15","21.41","1.3","841","920","-79","47.76","-1.05","40","43","-3","48.19","1.3","31.7","38.83","-7.13","44.95","-2.91","4","10","6","185","11.2","8.04","0.49","10.89","99.79","47.41","25.48","29.13","48","28.71","50.08"
"Andrew Desjardins","11-12","S.J","C","76","655.68","4","12","16","12","1.46","1.1","21.48","1.97","635","602","33","51.33","-0.79","22","19","3","53.66","1.77","24.67","19.7","4.97","55.6","0.6","10","14","4","129","11.8","5.29","0.48","5.06","99.35","49.41","17.85","27.48","51.06","27.75","49.39"
"Andrew Ebbett","11-12","VAN","C","18","145.32","2","1","3","2","1.24","0.83","4.84","2","135","115","20","54","1.47","5","5","--","50","1.02","6.1","6.16","-0.06","49.76","1.86","3","1","-2","31","12.8","2.25","0.93","9.09","99.25","37.88","18.46","27.98","50.01","28.24","49.85"
"Andrew Ference","11-12","BOS","D","72","1127.67","4","15","19","10","1.01","0.53","19.27","1.03","999","1061","-62","48.5","-7.28","50","44","6","53.19","-4.96","33.29","40.14","-6.85","45.34","-12.51","10","8","-2","191","10.16","2.94","0.16","4.82","102.46","50.55","32.43","26.72","54.63","28.57","49.54"
"Andrew Gordon","11-12","ANA","R","37","315.02","2","3","5","4","0.95","0.76","2.37","0.45","259","318","-59","44.89","-2.9","5","14","-9","26.32","-16.18","9.37","12.15","-2.78","43.54","0.65","1","4","3","67","12.76","2.61","0.5","5.71","95.46","57.89","18.8","27.24","46.36","28.07","49.86"
"Andrew Joudrey","11-12","CBJ","C","1","9.27","--","--","--","--","--","--","-0.02","-0.13","4","8","-4","33.33","-0.95","--","--","--","--","--","0.12","0.24","-0.12","33.33","-12.22","--","--","--","1","6.47","0.01","0.06","--","100","--","18.6","24.82","46.88","25.62","52.28"
"Andrew Ladd","11-12","WPG","L","82","1181.22","21","12","33","28","1.68","1.42","49.69","2.52","1269","1050","219","54.72","6.47","48","55","-7","46.6","-3.64","53.38","48.55","4.83","52.37","2.26","19","17","-2","339","17.22","19.52","0.99","10","97.53","58.08","30.31","31.95","49.69","29.51","49.61"
"Andrew Macdonald","11-12","NYI","D","75","1400.77","4","9","13","5","0.56","0.21","11.82","0.51","1214","1360","-146","47.16","-0.73","43","50","-7","46.24","7.03","55.3","57.19","-1.89","49.16","1.26","9","14","5","154","6.6","3.16","0.14","7.27","99.29","48.64","37.94","28.69","48.31","29.5","49.94"
"Andrew Murray","11-12","S.J","C","39","278.57","1","3","4","3","0.86","0.65","6.95","1.5","238","223","15","51.63","0.12","9","6","3","60","3.93","9.68","7.63","2.05","55.92","-0.21","1","4","3","49","10.55","2.2","0.47","3.23","101.21","62.41","15.05","25.91","50.42","27.1","49.51"
"Andrew Shaw","11-12","CHI","C","37","469.95","10","5","15","13","1.92","1.66","19.25","2.46","422","371","51","53.22","-1.67","21","24","-3","46.67","-1.98","16.76","16.6","0.16","50.24","-2.05","12","18","6","111","14.17","7.29","0.93","16.13","97.87","41.85","26.07","30.44","52.53","29.29","50.12"
"Andy Greene","11-12","N.J","D","56","911.5","1","13","14","7","0.92","0.46","17.18","1.13","697","681","16","50.58","0.58","42","38","4","52.5","5.6","28.33","29.4","-1.07","49.07","-2.82","5","5","--","102","6.71","1.65","0.11","2.33","100.79","52.35","33.89","28.73","51.06","29.39","49.82"
"Andy Mcdonald","11-12","STL","C","25","335.88","6","9","15","10","2.68","1.79","18.55","3.31","330","272","58","54.82","3","17","12","5","58.62","9.64","15.39","11.81","3.58","56.58","4.67","--","7","7","76","13.58","4.81","0.86","13.33","102","50.79","29.34","31.01","52.1","29.89","49.66"
"Andy Miele","11-12","ARI","C","7","50.52","--","--","--","--","--","--","-1.73","-2.05","43","66","-23","39.45","-8.25","--","3","-3","--","-57.69","0.74","2.68","-1.94","21.64","-29.88","2","--","-2","7","8.31","0.26","0.31","--","91.89","69.57","15.5","29.2","48.22","27.85","49.54"
"Andy Sutton","11-12","EDM","D","52","755.35","3","7","10","6","0.79","0.48","11.32","0.9","689","702","-13","49.53","3.12","30","25","5","54.55","11.69","30.94","30.23","0.71","50.58","5.42","24","9","-15","77","6.12","1.83","0.15","7.32","101.22","49.37","30.6","27.54","46.13","28.56","49.96"
"Anthony Stewart","11-12","CAR","R","77","591.85","9","8","17","14","1.72","1.42","11.71","1.19","479","576","-97","45.4","-3.69","23","26","-3","46.94","-0.38","19.83","25.57","-5.74","43.68","-4.6","8","8","--","99","10.04","5.29","0.54","15","101.38","56.62","16.16","27.58","47.84","27.62","49.1"
"Antoine Vermette","11-12","CBJ/ ARI","C","82","1058.43","6","19","25","19","1.42","1.08","31.29","1.77","974","917","57","51.51","3.58","44","49","-5","47.31","1.39","45.55","39.72","5.83","53.42","6.04","9","16","7","181","10.26","10.47","0.59","5.5","98.89","47.24","27.39","29.75","47.26","29.26","49.76"
"Anton Babchuk","11-12","CGY","D","32","371.7","1","5","6","4","0.97","0.65","6.72","1.08","310","354","-44","46.69","-1.74","13","9","4","59.09","12.1","11.19","13.65","-2.46","45.05","-4.78","1","1","--","75","12.11","0.87","0.14","3.45","103.33","50.46","24.02","26.6","47.91","27.88","49.37"
"Anton Lander","11-12","EDM","C","56","482.38","1","4","5","1","0.62","0.12","-0.22","-0.03","352","465","-113","43.08","-4.98","10","18","-8","35.71","-11.93","13.25","18.07","-4.82","42.31","-4.16","4","5","1","76","9.45","3.65","0.45","2.13","97.39","52.44","18.6","27.46","46.61","27.66","49.7"
"Anton Stralman","11-12","NYR","D","53","776.03","2","8","10","6","0.77","0.46","10.85","0.84","639","685","-46","48.26","-0.15","30","23","7","56.6","3.71","32.93","28.86","4.07","53.29","0.46","8","2","-6","88","6.8","2.05","0.16","4.55","102.2","51.89","30.59","28.02","47.32","28.52","49.76"
"Anton Volchenkov","11-12","N.J","D","72","1034.4","2","8","10","6","0.58","0.35","15.65","0.91","774","745","29","50.95","0.48","32","35","-3","47.76","-3.06","35.31","29.16","6.15","54.77","4.24","16","10","-6","142","8.24","2.4","0.14","3.33","98.75","48.01","29.96","27.7","50.04","28.95","49.58"
"Antti Miettinen","11-12","WPG","R","45","442.15","3","5","8","6","1.09","0.81","7.27","0.99","394","433","-39","47.64","-4.3","12","16","-4","42.86","-6.15","14.18","19.14","-4.96","42.56","-10.45","--","2","2","89","12.08","4.08","0.55","6.25","98.62","46.44","19.92","28.69","49.02","28.68","49.58"
"Anze Kopitar","11-12","L.A","C","82","1189.47","14","27","41","30","2.07","1.51","62.88","3.17","1362","977","385","58.23","5.25","53","45","8","54.08","6.64","50.62","38.14","12.48","57.03","6.15","8","16","8","275","13.87","14.48","0.73","9.21","98.9","51.66","31.25","31.62","52.54","30.1","50.03"
"Arron Asham","11-12","PIT","R","64","583.65","5","11","16","14","1.64","1.44","13.23","1.36","476","489","-13","49.33","-5.2","23","27","-4","46","-11.39","19.37","20.66","-1.29","48.39","-7.19","22","16","-6","90","9.25","3.51","0.36","10.2","99.7","49.15","19.48","27.7","53.81","27.96","49.51"
"Artem Anisimov","11-12","NYR","C","79","962.02","10","17","27","20","1.68","1.25","26.11","1.63","817","868","-51","48.49","1.33","37","27","10","57.81","6.34","41.44","33.94","7.5","54.97","4.64","9","6","-3","195","12.16","10.69","0.67","9.8","101.87","52.78","25.69","31.37","47.78","29.21","50.06"
"Arturs Kulda","11-12","WPG","D","9","96.3","--","--","--","--","--","--","0.15","0.09","73","99","-26","42.44","-9.03","4","2","2","66.67","12.5","4.11","3.48","0.63","54.15","-0.26","2","3","1","14","8.72","0.23","0.14","--","103.86","60","24.32","26.44","50.13","27.97","49.5"
"Barret Jackman","11-12","STL","D","81","1307.55","1","10","11","5","0.5","0.23","25.77","1.18","1220","1099","121","52.61","-0.51","46","30","16","60.53","5.04","50.02","42.99","7.03","53.78","-1.05","20","19","-1","164","7.53","2.64","0.12","1.33","101.37","47.9","34.43","27.85","53.03","29.17","49.84"
"Ben Eager","11-12","EDM","L","63","533.03","8","5","13","12","1.46","1.35","7.41","0.83","403","520","-117","43.66","-4.28","16","15","1","51.61","6.61","16.41","20.56","-4.15","44.39","-2.18","33","18","-15","121","13.62","6.22","0.7","11.59","101.94","49.11","18","27.52","46.24","27.56","49.76"
"Ben Holmstrom","11-12","PHI","C","5","30.23","--","--","--","--","--","--","-0.04","-0.08","18","26","-8","40.91","-13.04","1","1","--","50","14.29","0.58","0.56","0.02","50.88","-3.35","--","--","--","4","7.94","0.08","0.16","--","103.42","47.62","12.62","25.61","48.79","27.39","49.71"
"Ben Lovejoy","11-12","PIT","D","34","416.92","1","3","4","2","0.58","0.29","10.97","1.58","423","347","76","54.94","1.75","14","13","1","51.85","-1.34","15.57","12.48","3.09","55.51","6.31","5","1","-4","96","13.82","1.56","0.22","2.22","98.73","58.72","25.62","26.72","53.9","28.55","49.44"
"Ben Maxwell","11-12","WPG/ ANA","C","15","94.23","1","5","6","5","3.82","3.18","5.2","3.31","74","87","-13","45.96","-5.86","6","2","4","75","39.81","3.03","4.6","-1.57","39.71","-7.93","1","2","1","14","8.91","0.64","0.41","10","108.57","65.71","14.37","26.8","47.86","27.61","49.26"
"Benn Ferriero","11-12","S.J","R","35","396.35","7","1","8","7","1.21","1.06","10.96","1.66","385","389","-4","49.74","-1.67","12","12","--","50","0.52","15.96","12.8","3.16","55.49","1.12","4","3","-1","101","15.29","6.11","0.92","10.61","99.09","49.55","23.51","30.5","52.13","28.97","49.46"
"Benoit Pouliot","11-12","BOS","L","74","808.7","14","14","28","22","2.08","1.63","36.16","2.68","811","676","135","54.54","1.28","40","24","16","62.5","7.28","30.5","24.43","6.07","55.53","1.22","13","11","-2","156","11.57","9.33","0.69","14.43","103.42","57.58","22.49","29.42","51.81","28.61","49.57"
"Ben Smith","11-12","CHI","R","13","121.55","2","--","2","2","0.99","0.99","2.06","1.02","106","108","-2","49.53","-4.74","4","10","-6","28.57","-13.53","4.28","4.07","0.21","51.26","-2.13","--","--","--","23","11.35","1.57","0.77","11.11","89.61","46.88","19.65","27.76","52.52","27.82","48.27"
"Bill Sweatt","11-12","VAN","L","2","10.15","--","--","--","--","--","--","--","--","6","9","-3","40","-5.53","--","--","--","--","--","0.09","0.41","-0.32","18","-35.5","--","--","--","3","17.73","0.03","0.18","--","100","50","11.18","27.39","49.36","27.25","49.69"
"Bill Thomas","11-12","FLA","R","7","57.73","1","--","1","1","1.04","1.04","2.15","2.23","55","41","14","57.29","9.68","1","1","--","50","13.16","1.16","1.79","-0.63","39.32","-0.53","--","--","--","17","17.67","0.35","0.36","11.11","99.89","51.85","17.25","27.49","48.54","27.98","49.19"
"B J..crombeen","11-12","STL","R","40","324.42","1","2","3","3","0.55","0.55","6.54","1.21","261","231","30","53.05","1","4","6","-2","40","-17.89","8.71","7.75","0.96","52.92","-1.15","17","13","-4","81","14.98","3.05","0.56","2.08","97.91","52.11","17.48","26.42","51.97","27.62","49.54"
"Blair Jones","11-12","T.B/ CGY","C","43","408.02","2","4","6","4","0.88","0.59","6.39","0.94","317","355","-38","47.17","-0.61","7","9","-2","43.75","-10.58","13.1","14.19","-1.09","48","0.58","5","9","4","75","11.03","4.19","0.62","4.17","98.85","44.44","20.32","28.5","47.96","28.15","49.91"
"Blake Comeau","11-12","NYI/ CGY","L","74","965.18","5","9","14","9","0.87","0.56","16.77","1.04","822","833","-11","49.67","3.72","21","31","-10","40.38","-6.38","29.98","37.36","-7.38","44.52","-3.79","10","10","--","249","15.48","8.3","0.52","4.24","98.29","49.5","27.26","29.18","46.93","29.06","50.21"
"Blake Geoffrion","11-12","NSH/ MTL","C","35","345.18","2","3","5","4","0.87","0.7","2.08","0.36","259","330","-71","43.97","-3.53","8","8","--","50","2.78","9.48","12.41","-2.93","43.31","-6.62","11","9","-2","62","10.78","2.33","0.41","7.41","101.91","41.09","21.78","27.32","45.59","28.03","49.06"
"Blake Wheeler","11-12","WPG","R","80","1231.1","11","30","41","30","2","1.46","50.99","2.49","1314","1153","161","53.26","4.52","61","61","--","50","1.41","59.87","50.99","8.88","54.01","5.02","17","20","3","298","14.52","16.96","0.83","6.36","98.99","57.67","32.45","32","49.76","29.48","49.51"
"Bobby Butler","11-12","OTT","R","56","583.92","5","9","14","8","1.44","0.82","20.18","2.07","604","541","63","52.75","1.69","30","22","8","57.69","6.1","23.67","26.4","-2.73","47.27","-0.1","6","7","1","152","15.62","5.89","0.61","6.41","102.24","56.14","22.24","30.04","52.11","28.58","49.69"
"Bobby Ryan","11-12","ANA","R","82","1198.75","25","17","42","40","2.1","2","45.58","2.28","1059","1059","--","50","2.11","52","46","6","53.06","8.73","43.58","45.91","-2.33","48.7","2.29","15","22","7","286","14.31","14.48","0.72","15.15","101.13","47.47","30.81","31.86","49.37","29.86","50.07"
