"player","position","season","Team","GP","TOI_all","TOI_EV","TOI_PP","TOI_SH","EV_GAR","PP_GAR","SH_GAR","Pens_GAR","GAR","WAR"
"TOBIAS.LINDBERG","F","20152016","TOR",6,95,77.7,9.9,3.9,0.6,0,0,-0.2,0.3,0.1
"TOBIAS.RIEDER","F","20152016","ARI",82,1419,1051.3,181.4,156.6,3.8,-2.4,0.7,4.1,6.1,1.2
"TOMAS.FLEISCHMANN","F","20152016","CHI",19,269.6,221,7.1,37.6,0.6,-0.1,-0.5,0.2,0.3,0.1
"TOMAS.FLEISCHMANN","F","20152016","MTL",57,886.7,747.9,35.4,72.8,3.1,-0.6,-0.4,-0.2,1.8,0.4
"TOMAS.HERTL","F","20152016","S.J",81,1292.5,1143.9,132.2,2.2,11.2,1.3,0,2.5,14.9,2.9
"TOMAS.JURCO","F","20152016","DET",44,402.6,383.5,15.6,1.3,0.3,-0.5,0,-0.3,-0.5,-0.1
"TOMAS.NOSEK","F","20152016","DET",6,60.8,51.6,0.4,8.8,-0.2,0,-0.1,-0.2,-0.5,-0.1
"TOMAS.PLEKANEC","F","20152016","MTL",82,1519.6,1110.4,211.7,127.3,4.5,1.7,-0.4,0.1,5.9,1.2
"TOMAS.TATAR","F","20152016","DET",81,1162.5,951.7,187.7,0.1,7.2,1.6,0,0.6,9.4,1.8
"TOM.GILBERT","D","20152016","MTL",45,758.9,651.8,6.8,77.8,-1.3,-0.1,-0.6,-0.1,-2,-0.4
"TOM.KUHNHACKL","F","20152016","PIT",42,506.5,465.9,1.3,40,2.5,0,-0.5,0.8,2.7,0.5
"TOMMY.WINGELS","F","20152016","S.J",68,925.9,791.5,47.5,76.8,-3.7,0.1,0.6,1.9,-1,-0.2
"TOM.WILSON","F","20152016","WSH",82,1058.8,905.1,8.3,128.1,5.7,0.3,1.2,-2.3,4.9,1
"TOREY.KRUG","D","20152016","BOS",81,1743.5,1397.3,263.5,49.3,4.3,1.7,0.5,2.6,9.1,1.8
"TORREY.MITCHELL","F","20152016","MTL",71,900.7,758.9,6.9,111.4,2.1,-0.1,-2.3,-1,-1.3,-0.3
"TRAVIS.HAMONIC","D","20152016","NYI",72,1715.3,1461.7,60,161.8,-1.2,-1.8,-1,2.2,-1.8,-0.4
"TRAVIS.MOEN","F","20152016","DAL",23,188.3,177.3,0.6,9.2,-1.9,0,-0.2,0.6,-1.4,-0.3
"TRAVIS.ZAJAC","F","20152016","N.J",74,1469.4,1035.5,181,197.8,2.4,3.6,2,1.5,9.5,1.9
"TREVOR.DALEY","D","20152016","CHI",29,428,374.4,44.1,1.4,0,-0.5,0,0.1,-0.4,-0.1
"TREVOR.DALEY","D","20152016","PIT",53,1084.2,910.5,108.3,52.5,4,1.8,1.3,1,8.1,1.6
"TREVOR.LEWIS","F","20152016","L.A",75,1091.1,938.9,26.2,114.4,0.8,-0.6,-3.4,0.1,-3.2,-0.6
"TREVOR.VAN RIEMSDYK","D","20152016","CHI",82,1637.5,1429,47.4,139.5,6,0.3,-1.2,1.8,6.8,1.3
"TROY.BROUWER","F","20152016","STL",82,1387.8,1087.1,146.9,119,1.4,1.8,-0.5,-0.3,2.5,0.5
"TUOMO.RUUTU","F","20152016","N.J",33,379.7,364.1,6,7.5,-2.4,0,-0.1,0.1,-2.5,-0.5
"TYLER.BOZAK","F","20152016","TOR",57,986.5,798.4,151.6,10.5,1.9,1.3,-0.1,0.2,3.3,0.6
"TYLER.ENNIS","F","20152016","BUF",23,415.5,339.4,62.9,0.3,-3.6,0.7,0,-0.1,-3,-0.6
"TYLER.GAUDET","F","20152016","ARI",14,148.4,128.3,0.6,18.9,0.8,0,-0.4,0.2,0.6,0.1
"TYLER.JOHNSON","F","20152016","T.B",69,1182.6,918.9,183,42.1,3.6,2.5,0.2,2.3,8.6,1.7
