"player","position","season","Team","GP","TOI","G_60","A1_60","A2_60","Points_60","iSF_60","iFF_60","iCF_60","ixG_60","Sh_perc","F_Sh_perc","xFSH_perc","iBLK_60","iHF_60","iHA_60","GIVE_60","TAKE_60","iPENT2_60","iPEND2_60","iPENT5_60","iPEND5_60","FOW","FOL","FO_diff"
"DRAYSON.BOWMAN","F","20112012","CAR",37,455.3,0.79,0.4,0.4,1.58,8.7,10.81,14.89,0.89,9.09,7.32,8.27,1.19,7.12,6.33,1.05,1.32,0.26,0.66,0,0,0,0,0
"DREW.DOUGHTY","D","20112012","L.A",77,1427.03,0.29,0.34,0.21,0.84,4.75,7.02,10.09,0.28,6.19,4.19,3.95,2.31,4.2,4.79,1.81,0.92,0.8,0.5,0.04,0.04,0,0,0
"DREW.MILLER","F","20112012","DET",80,855.52,0.98,0.56,0.21,1.75,8.63,10.73,12.97,0.85,11.38,9.15,7.97,2.81,5.4,8.63,0.56,1.05,0.56,0.7,0,0,4,15,-11
"DREW.STAFFORD","F","20112012","BUF",80,1129.17,0.8,1.06,0.21,2.07,9.83,12.91,16.26,0.8,8.11,6.17,6.18,1.01,4.89,3.67,1.7,1.65,0.9,0.58,0,0,31,28,3
"DUNCAN.KEITH","D","20112012","CHI",74,1546.25,0.12,0.35,0.43,0.89,4.46,7.1,10.48,0.17,2.61,1.64,2.42,3.61,1.47,4.11,1.59,1.44,0.5,0.23,0,0,0,0,0
"DUSTIN.BROWN","F","20112012","L.A",82,1214.68,0.49,0.59,0.49,1.58,7.76,11.02,15.16,0.7,6.37,4.48,6.39,1.04,11.71,6.57,1.83,1.33,0.74,1.83,0.05,0.05,13,15,-2
"DUSTIN.BYFUGLIEN","D","20112012","WPG",66,1293.87,0.37,0.51,0.6,1.48,7.56,11.87,15.72,0.39,4.91,3.12,3.28,2.36,4.36,3.2,2.18,2.18,0.97,0.19,0,0,0,0,0
"DUSTIN.JEFFREY","F","20112012","PIT",26,283.7,0.63,0.21,0.21,1.06,6.34,8.04,11,0.64,10,7.89,7.92,1.27,4.02,2.54,0.85,1.27,0.21,0.21,0,0,94,107,-13
"DUSTIN.PENNER","F","20112012","L.A",65,820.4,0.44,0.51,0.22,1.17,8.04,11.48,14.33,0.61,5.45,3.82,5.34,1.17,6.36,4.39,2.27,1.9,1.02,0.59,0,0.07,9,8,1
"DWIGHT.KING","F","20112012","L.A",27,343.18,0.87,0.52,0.7,2.1,6.82,9.09,10.32,0.74,12.82,9.62,8.19,0.87,6.12,6.12,0.52,1.05,0.87,0,0,0,2,1,1
"DYLAN.OLSEN","D","20112012","CHI",28,334.58,0,0,0.18,0.18,2.87,4.12,6.28,0.09,0,0,2.09,3.59,7.35,8.43,3.05,1.08,0.36,0.54,0,0,0,0,0
