Year,Up.To.Round,Team,CF.Playoff.PK,CA.Playoff.PK,FenFor.Playoff.PK,FenAga.Playoff.PK,SCF.Playoff.PK,SCA.Playoff.PK,HDSV.Playoff.PK,HDCF.Playoff.PK,HDCA.Playoff.PK,SavePercentage.Playoff.PK,PDO.Playoff.PK,xGF.Playoff.PK,xGA.Playoff.PK
2011,finals,Chicago Blackhawks,13.4,111.66,11.17,75.93,11.17,55.83,77.78,8.93,20.1,83.33,1.033,1.5,6.53
2011,finals,Vancouver Canucks,10.46,85.25,9.41,67.99,6.28,47.07,77.42,3.66,19.35,86,0.96,0.69,7.04
2011,finals,Los Angeles Kings,12.35,131.22,9.26,100.34,6.17,63.29,92.31,0,27.79,95.65,0.957,0.45,8.71
2011,finals,San Jose Sharks,13.32,90.74,11.34,63.12,5.92,42.9,79.17,2.47,15.29,81.25,0.813,0.68,5.71
2011,finals,Phoenix Coyotes,14.26,116.96,8.56,102.69,2.85,48.49,100,0,19.97,82.61,0.826,0.24,6.88
2011,finals,Detroit Red Wings,9.67,123.96,7.03,90.55,6.15,64.18,76.19,1.76,23.74,85.14,0.851,0.65,9.08
2011,finals,Anaheim Ducks,5.14,105.47,5.14,73.31,2.57,60.45,73.33,1.29,27.01,85.37,1.854,0.4,6.76
2011,finals,Nashville Predators,10.02,95.62,9.11,71.03,3.64,56.46,58.33,3.64,24.59,81.25,1.013,0.33,7.07
2012,quarter-finals,Ottawa Senators,14.78,86.59,13.73,70.75,5.28,50.69,82.35,2.11,26.4,89.58,0.896,0.71,6.92
2012,quarter-finals,New York Rangers,17.43,98.37,12.45,62.26,12.45,39.85,100,3.74,14.94,88.57,0.886,0.71,5.02
2012,quarter-finals,Washington Capitals,8.65,106.69,5.77,66.32,2.88,36.04,85.71,1.44,12.98,93.1,0.931,0.15,5.06
2012,quarter-finals,Boston Bruins,13.03,98.66,7.45,68.87,3.72,40.95,85.71,0,18.61,90.32,0.903,0.28,5.37
2012,quarter-finals,New Jersey Devils,14.95,112.97,11.63,86.39,6.65,58.14,50,1.66,14.95,78.05,0.78,0.65,7.71
2012,quarter-finals,Florida Panthers,12.16,93.21,12.16,85.1,5.4,60.79,80,2.7,33.77,90,1.025,0.63,10.01
