"player","position","season","Team","GP","TOI","TOI_GP","TOI_perc","OZS","NZS","DZS","OZS_perc","NZS_perc","DZS_perc","ZS_rate"
"TOBY.PETERSEN","F","20072008","DAL",8,57.55,7.19,16.04,16,15,13,36.36,34.09,29.55,55.17
"TODD.BERTUZZI","F","20072008","ANA",68,836.87,12.31,28.03,232,270,172,34.42,40.06,25.52,57.43
"TODD.FEDORUK","F","20072008","DAL",11,74.9,6.81,14.91,16,23,12,31.37,45.1,23.53,57.14
"TODD.FEDORUK","F","20072008","MIN",58,521.43,8.99,19.21,114,160,135,27.87,39.12,33.01,45.78
"TODD.MARCHANT","F","20072008","ANA",75,793.45,10.58,23.7,193,268,233,27.81,38.62,33.57,45.31
"TODD.WHITE","F","20072008","ATL",74,962.53,13.01,27.76,242,362,258,28.07,42,29.93,48.4
"TOMAS.FLEISCHMANN","F","20072008","WSH",75,813.85,10.85,23.34,252,276,165,36.36,39.83,23.81,60.43
"TOMAS.HOLMSTROM","F","20072008","DET",59,753.57,12.77,28.26,228,250,151,36.25,39.75,24.01,60.16
"TOMAS.KABERLE","D","20072008","TOR",82,1428.92,17.43,38.74,432,595,383,30.64,42.2,27.16,53.01
"TOMAS.KOPECKY","F","20072008","DET",77,684.68,8.89,19.57,224,225,120,39.37,39.54,21.09,65.12
"TOMAS.PLEKANEC","F","20072008","MTL",81,1022.48,12.62,27.6,266,389,300,27.85,40.73,31.41,47
"TOMAS.PLIHAL","F","20072008","S.J",22,209.98,9.54,19.99,52,61,39,34.21,40.13,25.66,57.14
"TOM.GILBERT","D","20072008","EDM",82,1395.45,17.02,36.74,324,463,373,27.93,39.91,32.16,46.48
"TOM.KOSTOPOULOS","F","20072008","MTL",67,627.65,9.37,20.24,134,227,167,25.38,42.99,31.63,44.52
"TOM.POTI","D","20072008","WSH",71,1181.05,16.63,35.8,359,426,305,32.94,39.08,27.98,54.07
"TOM.PREISSING","D","20072008","L.A",77,1071.65,13.92,30.23,320,404,290,31.56,39.84,28.6,52.46
"TONI.LYDMAN","D","20072008","BUF",82,1375.68,16.78,36.48,351,549,376,27.51,43.03,29.47,48.28
"TORREY.MITCHELL","F","20072008","S.J",82,871.88,10.63,23.3,185,287,197,27.65,42.9,29.45,48.43
"TRAVIS.MOEN","F","20072008","ANA",77,937.92,12.18,27.64,220,357,282,25.61,41.56,32.83,43.82
"TRAVIS.ZAJAC","F","20072008","N.J",82,1038.08,12.66,27.8,244,341,208,30.77,43,26.23,53.98
"TRENT.HUNTER","F","20072008","NYI",82,1017.45,12.41,27.14,227,367,332,24.51,39.63,35.85,40.61
"TREVOR.DALEY","D","20072008","DAL",82,1278.2,15.59,34.45,297,406,280,30.21,41.3,28.48,51.47
"TREVOR.LETOWSKI","F","20072008","CAR",75,561.67,7.49,16.79,160,208,163,30.13,39.17,30.7,49.54
"TREVOR.LINDEN","F","20072008","VAN",59,509.12,8.63,19.4,101,151,167,24.11,36.04,39.86,37.69
"TUOMO.RUUTU","F","20072008","CAR",17,202.82,11.93,27.72,62,82,46,32.63,43.16,24.21,57.41
"TUOMO.RUUTU","F","20072008","CHI",60,747.75,12.46,28.34,184,253,152,31.24,42.95,25.81,54.76
"TYLER.ARNASON","F","20072008","COL",70,876.35,12.52,26.84,230,292,196,32.03,40.67,27.3,53.99
"TYLER.KENNEDY","F","20072008","PIT",55,580.23,10.55,23.5,123,204,184,24.07,39.92,36.01,40.07
"VALTTERI.FILPPULA","F","20072008","DET",78,1063.47,13.63,29.93,324,383,199,35.76,42.27,21.96,61.95
"VERNON.FIDDLER","F","20072008","NSH",79,837.55,10.6,23.47,232,309,268,28.68,38.2,33.13,46.4
"VIKTOR.KOZLOV","F","20072008","WSH",81,1157.2,14.29,30.95,352,388,247,35.66,39.31,25.03,58.76
"VILLE.KOISTINEN","D","20072008","NSH",47,596.42,12.69,27.54,181,221,140,33.39,40.77,25.83,56.39
"VILLE.PELTONEN","F","20072008","FLA",56,703.78,12.57,27.26,198,215,202,32.2,34.96,32.85,49.5
"VINCENT.LECAVALIER","F","20072008","T.B",81,1351.57,16.69,35.09,465,541,291,35.85,41.71,22.44,61.51
"VINNY.PROSPAL","F","20072008","PHI",18,239.18,13.29,28.48,86,78,59,38.57,34.98,26.46,59.31
"VINNY.PROSPAL","F","20072008","T.B",62,1016.8,16.4,34.49,315,392,233,33.51,41.7,24.79,57.48
"VITALY.VISHNEVSKI","D","20072008","N.J",69,910.43,13.19,29.03,228,273,165,34.23,40.99,24.77,58.02
"VLADIMIR.SOBOTKA","F","20072008","BOS",48,392.55,8.18,17.51,118,139,67,36.42,42.9,20.68,63.78
"VYACHESLAV.KOZLOV","F","20072008","ATL",82,1033.07,12.6,26.74,256,360,335,26.92,37.85,35.23,43.32
"WADE.BELAK","F","20072008","FLA",17,68.4,4.02,8.62,19,21,24,29.69,32.81,37.5,44.19
"WADE.BELAK","F","20072008","TOR",30,116.88,3.9,8.85,30,32,24,34.88,37.21,27.91,55.56
"WADE.BROOKBANK","D","20072008","CAR",32,113.13,3.54,7.78,32,54,16,31.37,52.94,15.69,66.67
"WADE.REDDEN","D","20072008","OTT",80,1311.4,16.39,35.89,431,501,288,35.33,41.07,23.61,59.94
"WAYNE.PRIMEAU","F","20072008","CGY",43,445.27,10.36,22.82,125,169,111,30.86,41.73,27.41,52.97
"WES.WALZ","F","20072008","MIN",10,117.62,11.76,26.32,26,48,31,24.76,45.71,29.52,45.61
"WILLIE.MITCHELL","D","20072008","VAN",72,1267.68,17.61,39.65,226,457,371,21.44,43.36,35.2,37.86
"WOJTEK.WOLSKI","F","20072008","COL",77,1002.85,13.02,27.63,247,303,220,32.08,39.35,28.57,52.89
"WYATT.SMITH","F","20072008","COL",25,222.98,8.92,19.65,48,74,69,25.13,38.74,36.13,41.03
"YANIC.PERREAULT","F","20072008","CHI",52,503.63,9.69,21.55,134,155,132,31.83,36.82,31.35,50.38
"YAN.STASTNY","F","20072008","STL",12,102.85,8.57,17.95,20,46,17,24.1,55.42,20.48,54.05
"ZACH.PARISE","F","20072008","N.J",81,1085.4,13.4,29.4,274,382,186,32.54,45.37,22.09,59.57
"ZACK.STORTINI","F","20072008","EDM",66,525.9,7.97,17.48,117,193,131,26.53,43.76,29.71,47.18
"ZBYNEK.MICHALEK","D","20072008","ARI",75,1368.12,18.24,38.67,422,443,353,34.65,36.37,28.98,54.45
"ZDENO.CHARA","D","20072008","BOS",77,1391.63,18.07,39.1,419,523,430,30.54,38.12,31.34,49.35
