BlocksatES,FaceoffWinPercentage,GiveAways,HitsatES,OT_Losses_Lead1P,OT_Losses_Lead2P,TakeAways,WinPercent_Lead1P,WinPercent_Lead2P,WinPercent_Trail1P,WinPercent_Trail2P
-164,2.799999999999997,94,-41,-1,0,-200,0.09699999999999998,-0.029000000000000026,0.07799999999999999,0.12100000000000002
228,1.7000000000000028,115,156,1,-3,-110,-0.10599999999999998,0.121,0.029000000000000026,0.009999999999999981
-165,-0.5,-3,70,3,2,-147,-0.01100000000000001,0.014000000000000012,-0.164,-0.11199999999999999
-73,-0.19999999999999574,-191,0,0,-2,-177,0.11699999999999999,0.134,0.09899999999999998,0.0020000000000000018
170,-0.29999999999999716,88,592,1,1,130,0.07499999999999996,-0.017000000000000015,-0.08100000000000002,-0.022000000000000006
116,-6.199999999999996,-69,-580,-3,0,-206,0.050000000000000044,0.029000000000000026,0.24200000000000002,0.035999999999999976
-372,5.5,37,245,0,-1,-106,0.119,0.025000000000000022,-0.08600000000000002,0.02300000000000002
199,0.8000000000000043,-19,170,1,-2,-212,-0.03699999999999992,0.14600000000000002,0.067,-0.04400000000000001
-44,-3.1999999999999957,-167,142,0,0,-33,0.03500000000000003,0.018000000000000016,0.119,0.08199999999999999
-84,2.8999999999999986,-199,-206,-2,-3,-187,0.19300000000000006,0.125,-0.07,0.08100000000000002
-420,7.199999999999996,98,-144,-1,-2,55,0.08899999999999997,0,-0.16200000000000003,0.06600000000000003
-244,0.10000000000000142,-478,-149,1,0,-148,-0.06299999999999994,0.031000000000000028,0.28500000000000003,-0.094
154,0.9000000000000057,537,-650,-1,-1,168,0.22399999999999998,0.02400000000000002,-0.052000000000000046,-0.032
-224,0,-30,-268,1,-1,-234,0.139,0.08999999999999997,0.11199999999999999,-0.036000000000000004
37,0.8000000000000043,-255,227,2,3,-177,-0.16599999999999993,-0.08599999999999997,0.129,0.186
167,4,165,284,1,4,97,0.06799999999999995,-0.09499999999999997,0.313,0.09300000000000001
-281,3.8999999999999986,229,-439,4,6,-62,0.07400000000000007,-0.06499999999999995,0.16699999999999998,0.21200000000000002
-135,2.799999999999997,157,-296,0,0,86,0.08099999999999996,0.061000000000000054,0.014000000000000012,0.04099999999999998
58,-3.1999999999999957,-289,-32,0,1,-43,0.04200000000000004,-0.02100000000000002,0.025000000000000022,0.0040000000000000036
-122,-0.29999999999999716,-17,109,1,1,-167,0.139,0.02300000000000002,0.268,-0.132
-169,2.6000000000000014,358,-277,-1,-3,298,0.17799999999999994,0.10999999999999999,-0.08100000000000002,-0.14200000000000002
-60,5.300000000000004,-62,-278,4,6,-31,0.028000000000000025,-0.15299999999999991,0.33699999999999997,0.22600000000000003
147,3.799999999999997,239,-205,0,-1,89,-0.04600000000000004,0.05500000000000005,-0.06,0.05399999999999999
86,-2.1999999999999957,149,223,2,3,-197,0,-0.10299999999999998,0.17099999999999999,0.07400000000000001
-105,7,195,-40,2,2,-43,0.007000000000000006,-0.04399999999999993,0.046999999999999986,0.20800000000000002
-539,6,-44,-459,2,1,-23,0.133,0.052000000000000046,-0.01200000000000001,0.009000000000000008
-191,1.7999999999999972,-150,189,2,1,96,0.08499999999999996,0.050000000000000044,0.16499999999999998,0.243
-291,-0.7000000000000028,31,-207,1,-2,-73,0.026999999999999913,0.06099999999999994,0.04099999999999998,0.05399999999999999
24,-4,346,-547,-2,-2,93,0.04700000000000004,0.21399999999999997,0.033,0.09100000000000001
-11,0,-134,215,1,2,-313,-0.07099999999999995,-0.118,0.10700000000000001,0.154
-164,7.899999999999999,164,366,1,1,-121,0.06299999999999994,0.07299999999999995,0.09500000000000003,0.024999999999999994
61,3.1999999999999957,-237,136,6,3,6,-0.244,0.026000000000000023,-0.09099999999999997,0.17400000000000002
1,0.7999999999999972,-237,-623,-1,-2,153,0.02400000000000002,0.03499999999999992,-0.028000000000000025,0.07900000000000001
56,-1.1000000000000014,-385,-170,-5,-2,-176,0.31499999999999995,0.09300000000000008,-0.169,0.065
-162,-0.4000000000000057,-287,612,0,-1,-174,0.136,0.009000000000000008,-0.044999999999999984,0.121
-282,2.5,-189,128,2,-1,-172,-0.05500000000000005,-0.09599999999999997,-0.05400000000000002,0.002999999999999989
148,4.5,5,-38,-1,1,-17,0.17799999999999994,0.05400000000000005,-0.009000000000000008,0.031
76,1,-28,56,5,3,113,-0.125,-0.07299999999999995,0.028000000000000025,-0.044999999999999984
-90,0.3999999999999986,-246,265,-1,0,-3,0.15300000000000002,0.04300000000000004,-0.025999999999999968,-0.02099999999999999
-5,3.200000000000003,260,379,-2,2,-120,0.10699999999999998,-0.019000000000000017,0.006000000000000005,-0.07700000000000001
-187,2.299999999999997,-114,-252,4,0,124,-0.07200000000000006,0.015000000000000013,0.10499999999999998,0.169
-44,3.8999999999999986,247,-448,3,3,53,0.039000000000000035,-0.09399999999999997,0.15300000000000002,0.04500000000000001
149,2.5999999999999943,-38,400,1,2,4,0.04500000000000004,0.031000000000000028,-0.059,-0.12200000000000001
-100,2.8999999999999986,-196,78,-1,-3,-95,-0.03299999999999992,0.049000000000000044,0.04200000000000001,0.159
