ResultProper,PlayerPoints,Points,WeightedGoalieSavePercntage,WeightedGPS,H2H,Q1Record,Q2Record,Q3Record,Q4Record,SDRecord
L,-31,2,0.005658727855579748,3.927217597541384,-0.75,-0.19999999999999996,0.35,0.10000000000000003,-0.045454545454545525,0.04318871157454138
W,61,24,-0.0015185296059873066,-2.1508367940910302,0.25,-0.19999999999999996,-0.25,-0.04999999999999993,-0.1363636363636364,-0.038626084229480315
W,-13,14,0.002732754545081262,-0.6056779453744685,-0.5,-0.15000000000000002,0,0.10000000000000003,-0.2727272727272728,-0.08368256872968532
L,-20,3,0.008624465902350442,2.8234861966023903,0.25,0,0.09999999999999998,0.10000000000000003,-0.18181818181818182,-0.01865562376817343
L,-108,5,0.014108191080794308,1.3061441638671232,-0.25,0,-0.19999999999999996,0,0.27272727272727276,0.0011307143916365475
L,48,9,0.004126814715065152,-2.468313903108081,1,-0.04999999999999993,0,0.14999999999999997,0.13636363636363635,0.022684519860606128
W,92,5,0.00494930403427063,-4.152713312966361,-0.25,0.19999999999999996,-0.29999999999999993,-0.14999999999999997,0,-0.024734397387549317
W,65,20,0.0011969330104923959,-1.6945924132364798,1,-0.1499999999999999,-0.25,-0.14999999999999997,0.045454545454545414,0.0018523365324255442
L,-55,11,8.295282395661685e-4,2.550527893475823,0,0.10000000000000003,-0.1499999999999999,-0.14999999999999997,0.3636363636363637,0.0367035472500354
W,17,7,0.002655249206667043,-4.417388797950757,-0.25,0.19999999999999996,-0.24999999999999994,-0.14999999999999997,-0.045454545454545525,-0.051036194844601146
W,48,18,8.340718435547734e-4,-2.3921553295058837,0.5,-0.24999999999999994,-0.050000000000000044,0,-0.1363636363636364,0.04363503641712267
W,28,13,-0.008712168716121793,-1.0266136563694044,NA,-0.29999999999999993,-0.050000000000000044,0,0,0.04769220978207386
W,93,23,0.017511648117060963,3.320733633419083,0.6666666666666667,-0.09999999999999998,-0.15000000000000002,-0.20000000000000007,-0.1363636363636364,0.019030890783152482
W,163,13,-0.01185190193379182,-5.732086109156444,0.5,0.09999999999999998,-0.25,-0.19999999999999996,0,0.00807288053803297
L,19,9,0.004228783530304203,-4.393191334703019,-0.5,0,0.14999999999999997,0.25,-0.09090909090909083,-0.012064092240064925
W,30,0,-0.005403660719705994,-0.38870321444404077,0.3333333333333333,-0.09999999999999998,0.20000000000000007,0.09999999999999998,-0.2272727272727273,-0.11160329004033656
L,44,26,0.0022619498723251974,1.0595930113473422,0.3333333333333333,0.30000000000000004,0.19999999999999996,0.19999999999999996,-0.13636363636363635,0.03203509712784139
W,208,20,-0.00944071080183928,-3.2244198974519964,0,-0.24999999999999994,-0.24999999999999994,0.04999999999999993,-0.045454545454545414,-0.017223604254768432
W,58,8,0.007383926568227173,0.24178307169038504,0.5,-0.14999999999999997,-0.10000000000000003,0.04999999999999999,0,0.02384318582423213
W,28,6,0.011164507306755,-3.04585552911508,1,0.050000000000000044,0,0.04999999999999993,-0.09090909090909088,0.02014573376938686
L,90,19,0.013304993485990457,0.5214041441466097,1,0.09999999999999998,0.35000000000000003,0.050000000000000044,-0.09090909090909083,0.009845441289389759
L,11,9,-0.005849873343771961,-3.0393512747712927,0.5,-0.04999999999999993,0.4,0.09999999999999998,-0.18181818181818188,-0.06380389461065715
W,136,21,-0.012964028031830943,-2.398319145443459,0.5,-0.19999999999999996,-0.19999999999999996,-0.15000000000000002,0.09090909090909094,0.009130065372316018
L,-52,-4,0.001026069495670745,0.44018896483422054,0,0.09999999999999998,-0.2,-0.10000000000000003,0.13636363636363635,0.05191500797821716
W,61,2,-0.004376795111039611,-1.6070185100083751,0,-0.04999999999999993,0.10000000000000003,0,-0.045454545454545525,-0.05981959298933319
W,79,8,-0.01610552691490519,-2.2548237942432294,0.3333333333333333,-0.19999999999999996,-0.04999999999999993,0,0,-0.024677840721459204
L,94,13,-0.011919651836737044,-4.046942962032823,0,0.09999999999999998,0.35,0.050000000000000044,-0.18181818181818188,-0.07154036305473029
L,270,33,-0.007415048835359261,-3.132471608892435,0,0.14999999999999997,0.09999999999999998,0.39999999999999997,0.09090909090909094,0.09772019935583372
L,-32,15,0.01039509704106334,7.888566281533567,-0.6666666666666667,0.09999999999999998,0.4,-0.25,0.09090909090909088,0.020008001430808275
L,101,9,0.0015867378692325795,5.096046574718448,-0.3333333333333333,0.19999999999999996,0,0.10000000000000003,0,-0.04670404310206733
